date,capital_start,capital_end,equity_start,equity_end,daily_pnl_realized,daily_return,early_exits_today,allocation_mode,budget_pre_caps,budget_post_caps,mpt_used,mpt_fallback_used,mpt_weights,exits_today,investments_made,H,initial_capital,initial_training_days,allow_overlap,early_exit_enabled,seed,model_save_path,min_sequence_length,max_sequence_length,kelly_fraction,sector_confidence_threshold,retrain_interval,max_day_gap,mpt_window_days,mpt_lambda,mpt_ridge_eps,mpt_max_weight,mpt_long_only,mpt_use_equal_fallback,mpt_only_budget_fraction,max_total_utilization,max_new_daily_utilization,max_ticker_utilization,max_sector_utilization,max_position_size,max_positions_per_ticker,min_trade_dollars,kelly_trade_cap,drawdown_throttle_levels,model_feature_set,model_feature_group,model_mcc_mean,model_sequence_length,model_hidden1,model_hidden2,model_num_layers,model_dropout,model_inter_rnn_drop,model_learning_rate,model_weight_decay,model_batch_size,model_max_epochs,model_early_patience,model_early_min_delta,model_lr_patience,model_lr_factor
2017-04-11,100000.0,70000.0,100000.0,100000.0,0.0,0.0,0,HYBRID_KELLY_MPT,61142.33432724611,30000.0,True,False,"{'XOM': 0.277257783404073, 'AGFS': 0.3000000000000001, 'PM': 0.0, 'BSAC': 0.12274221659592677, 'AMGN': 0.0, 'HON': 0.0, 'CHTR': 0.3000000000000001, 'VZ': 0.0, 'SRE': 5.898059818321147e-17}",[],"[{'ticker': 'XOM', 'sector': 'Basic Matierials', 'expected_rise': 0.01150132879304298, 'prob_up': 0.836962890625, 'investment_fraction': 0.1315399071973495, 'investment_amount': 16952.188087723018, 'predicted_prob': 0.836962890625, 'allocated_amount': 10000.0, 'exit_date': Timestamp('2017-04-19 00:00:00')}, {'ticker': 'BSAC', 'sector': 'Financial', 'expected_rise': 0.010570274563866867, 'prob_up': 0.6956521739130435, 'investment_fraction': 0.08161581874197259, 'investment_amount': 7504.745643175411, 'predicted_prob': 0.6956521739130435, 'allocated_amount': 7504.745643175411, 'exit_date': Timestamp('2017-04-19 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'expected_rise': 0.013230157726963692, 'prob_up': 0.6923076923076923, 'investment_fraction': 0.08921689801929417, 'investment_amount': 18342.70029817384, 'predicted_prob': 0.6923076923076923, 'allocated_amount': 10000.0, 'exit_date': Timestamp('2017-04-19 00:00:00')}, {'ticker': 'AGFS', 'sector': 'Conglomerates', 'expected_rise': 0.030266921064626355, 'prob_up': 0.6666666666666666, 'investment_fraction': 0.07988911313640408, 'investment_amount': 18342.70029817384, 'predicted_prob': 0.6666666666666666, 'allocated_amount': 2495.254356824589, 'exit_date': Timestamp('2017-04-19 00:00:00')}]",5,100000.0,853,True,True,42,/mnt/primary/simulation/trained_models_meta,12,12,0.2,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-12,70000.0,40000.0,100000.0,100000.0,0.0,0.0,0,HYBRID_KELLY_MPT,42833.01284822411,30000.0,True,False,"{'XOM': 0.2765470995076949, 'AGFS': 0.29999999999999954, 'PM': 0.0, 'BSAC': 0.12345290049230562, 'AMGN': 4.553649124439116e-18, 'HON': 0.0, 'CHTR': 0.2999999999999999, 'VZ': 0.0, 'SRE': 0.0}",[],"[{'ticker': 'XOM', 'sector': 'Basic Matierials', 'expected_rise': 0.011478503473172457, 'prob_up': 0.836962890625, 'investment_fraction': 0.13148390700488022, 'investment_amount': 11845.345466352208, 'predicted_prob': 0.836962890625, 'allocated_amount': 10000.0, 'exit_date': Timestamp('2017-04-20 00:00:00')}, {'ticker': 'BSAC', 'sector': 'Financial', 'expected_rise': 0.010582094259800143, 'prob_up': 0.6956521739130435, 'investment_fraction': 0.08170708166565982, 'investment_amount': 5287.859672937459, 'predicted_prob': 0.6956521739130435, 'allocated_amount': 5287.859672937459, 'exit_date': Timestamp('2017-04-20 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'expected_rise': 0.013190360068004071, 'prob_up': 0.6923076923076923, 'investment_fraction': 0.08912126408317093, 'investment_amount': 12849.90385446723, 'predicted_prob': 0.6923076923076923, 'allocated_amount': 10000.0, 'exit_date': Timestamp('2017-04-20 00:00:00')}, {'ticker': 'AGFS', 'sector': 'Conglomerates', 'expected_rise': 0.030765797906482796, 'prob_up': 0.6666666666666666, 'investment_fraction': 0.08041175804807205, 'investment_amount': 12849.903854467215, 'predicted_prob': 0.6666666666666666, 'allocated_amount': 4712.1403270625415, 'exit_date': Timestamp('2017-04-20 00:00:00')}]",5,100000.0,853,True,True,42,/mnt/primary/simulation/trained_models_meta,12,12,0.2,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-13,40000.0,29999.999999999993,100000.0,100000.0,0.0,0.0,0,HYBRID_KELLY_MPT,24633.084674655955,10000.000000000007,True,False,"{'XOM': 0.27289850515173286, 'AGFS': 0.29999999999999993, 'PM': 0.0, 'BSAC': 0.1271014948482667, 'NVS': 1.561251128379126e-16, 'HON': 3.885780586188047e-16, 'CHTR': 0.29999999999999993, 'VZ': 1.7260498585969226e-16, 'SRE': 2.081668171172168e-17}",[],"[{'ticker': 'XOM', 'sector': 'Basic Matierials', 'expected_rise': 0.011455059779663756, 'prob_up': 0.836962890625, 'investment_fraction': 0.13142620727430185, 'investment_amount': 6722.33198498967, 'predicted_prob': 0.836962890625, 'allocated_amount': 6722.33198498967, 'exit_date': Timestamp('2017-04-21 00:00:00')}, {'ticker': 'BSAC', 'sector': 'Financial', 'expected_rise': 0.010594713366159431, 'prob_up': 0.6956521739130435, 'investment_fraction': 0.08180451704362303, 'investment_amount': 3130.901884872701, 'predicted_prob': 0.6956521739130435, 'allocated_amount': 3130.901884872701, 'exit_date': Timestamp('2017-04-21 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'expected_rise': 0.013158610550804419, 'prob_up': 0.6923076923076923, 'investment_fraction': 0.08904470308453066, 'investment_amount': 7389.925402396785, 'predicted_prob': 0.6923076923076923, 'allocated_amount': 146.76613013763563, 'exit_date': Timestamp('2017-04-21 00:00:00')}]",5,100000.0,853,True,True,42,/mnt/primary/simulation/trained_models_meta,12,12,0.2,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-17,30000.0,29999.999999999993,100000.0,100000.0,0.0,0.0,0,HYBRID_KELLY_MPT,18463.68584741119,0.0,True,False,"{'XOM': 0.2718329516041703, 'AGFS': 0.2999999999999998, 'PM': 4.2327252813834093e-16, 'BSAC': 0.12816704839582935, 'NVS': 9.71445146547012e-17, 'HON': 1.1275702593849246e-16, 'CHTR': 0.2999999999999997, 'VZ': 5.551115123125783e-17, 'SRE': 8.023096076392733e-18}",[],[],5,100000.0,853,True,True,42,/mnt/primary/simulation/trained_models_meta,12,12,0.2,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-18,30000.0,29999.999999999993,100000.0,100000.0,0.0,0.0,0,HYBRID_KELLY_MPT,18479.38014530722,0.0,True,False,"{'XOM': 0.27334134054422843, 'AGFS': 0.29999999999999977, 'PM': 0.0, 'BSAC': 0.12665865945577157, 'NVS': 0.0, 'HON': 1.163891032163189e-16, 'CHTR': 0.3, 'VZ': 0.0, 'SRE': 2.0816681711721685e-16}",[],[],5,100000.0,853,True,True,42,/mnt/primary/simulation/trained_models_meta,12,12,0.2,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-19,59798.964714760245,29939.68941442808,99798.96471476025,99798.96471476025,-201.0352852397407,-0.002010352852397479,0,HYBRID_KELLY_MPT,38017.82965125914,29859.275300332163,True,False,"{'XOM': 0.27713430917066645, 'AGFS': 0.2999999999999999, 'PM': 0.0, 'BSAC': 0.12286569082933387, 'NVS': 0.0, 'DHR': 0.0, 'CHTR': 0.29999999999999993, 'VZ': 2.363560736018399e-17, 'PCG': 0.0}","[{'date': Timestamp('2017-04-11 00:00:00'), 'exit_date': Timestamp('2017-04-19 00:00:00'), 'ticker': 'XOM', 'sector': 'Basic Matierials', 'allocated_amount': 10000.0, 'prob_up': 0.836962890625, 'expected_rise': 0.01150132879304298, 'actual_return': -0.02836791542095196, 'pnl': -283.6791542095196, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-11 00:00:00'), 'exit_date': Timestamp('2017-04-19 00:00:00'), 'ticker': 'BSAC', 'sector': 'Financial', 'allocated_amount': 7504.745643175411, 'prob_up': 0.6956521739130435, 'expected_rise': 0.010570274563866867, 'actual_return': -0.04677419543444339, 'pnl': -351.0284393996742, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-11 00:00:00'), 'exit_date': Timestamp('2017-04-19 00:00:00'), 'ticker': 'CHTR', 'sector': 'Services', 'allocated_amount': 10000.0, 'prob_up': 0.6923076923076923, 'expected_rise': 0.013230157726963692, 'actual_return': 0.003942211999116818, 'pnl': 39.42211999116818, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-11 00:00:00'), 'exit_date': Timestamp('2017-04-19 00:00:00'), 'ticker': 'AGFS', 'sector': 'Conglomerates', 'allocated_amount': 2495.254356824589, 'prob_up': 0.6666666666666666, 'expected_rise': 0.030266921064626355, 'actual_return': 0.15799999999999992, 'pnl': 394.25018837828486, 'exit_reason': 'scheduled'}]","[{'ticker': 'XOM', 'sector': 'Basic Matierials', 'expected_rise': 0.011456038036370493, 'prob_up': 0.836962890625, 'investment_fraction': 0.13143743101046562, 'investment_amount': 10536.04495656978, 'predicted_prob': 0.836962890625, 'allocated_amount': 9979.896471476026, 'exit_date': Timestamp('2017-04-26 00:00:00')}, {'ticker': 'AGFS', 'sector': 'Conglomerates', 'expected_rise': 0.041112856298235856, 'prob_up': 0.7419354838709677, 'investment_fraction': 0.10759785892187829, 'investment_amount': 11405.348895377738, 'predicted_prob': 0.7419354838709677, 'allocated_amount': 9979.896471476026, 'exit_date': Timestamp('2017-04-26 00:00:00')}, {'ticker': 'BSAC', 'sector': 'Financial', 'expected_rise': 0.010540961122584083, 'prob_up': 0.6956521739130435, 'investment_fraction': 0.08163299852876482, 'investment_amount': 4671.086903933888, 'predicted_prob': 0.6956521739130435, 'allocated_amount': 4671.086903933888, 'exit_date': Timestamp('2017-04-26 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'expected_rise': 0.01319184662162107, 'prob_up': 0.6923076923076923, 'investment_fraction': 0.08926961254941213, 'investment_amount': 11405.34889537774, 'predicted_prob': 0.6923076923076923, 'allocated_amount': 5228.395453446225, 'exit_date': Timestamp('2017-04-26 00:00:00')}]",5,100000.0,853,True,True,42,/mnt/primary/simulation/trained_models_meta,12,12,0.2,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-20,60120.17365956311,30126.338971594527,99979.44895989528,99979.44895989528,180.48424513502243,0.0018084781305185427,0,HYBRID_KELLY_MPT,38485.36790708899,29993.83468796858,True,False,"{'XOM': 0.10000000000000088, 'AGFS': 0.2999999999999999, 'PM': 1.0333530905959339e-15, 'BSAC': 0.29999999999999905, 'NVS': 0.0, 'HON': 0.0, 'CHTR': 0.2999999999999991, 'VZ': 0.0, 'PCG': 0.0}","[{'date': Timestamp('2017-04-12 00:00:00'), 'exit_date': Timestamp('2017-04-20 00:00:00'), 'ticker': 'XOM', 'sector': 'Basic Matierials', 'allocated_amount': 10000.0, 'prob_up': 0.836962890625, 'expected_rise': 0.011478503473172457, 'actual_return': -0.023622983926443464, 'pnl': -236.22983926443464, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-12 00:00:00'), 'exit_date': Timestamp('2017-04-20 00:00:00'), 'ticker': 'BSAC', 'sector': 'Financial', 'allocated_amount': 5287.859672937459, 'prob_up': 0.6956521739130435, 'expected_rise': 0.010582094259800143, 'actual_return': -0.04247568942053759, 'pnl': -224.605485167077, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-12 00:00:00'), 'exit_date': Timestamp('2017-04-20 00:00:00'), 'ticker': 'CHTR', 'sector': 'Services', 'allocated_amount': 10000.0, 'prob_up': 0.6923076923076923, 'expected_rise': 0.013190360068004071, 'actual_return': 0.0030486564206575473, 'pnl': 30.486564206575473, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-12 00:00:00'), 'exit_date': Timestamp('2017-04-20 00:00:00'), 'ticker': 'AGFS', 'sector': 'Conglomerates', 'allocated_amount': 4712.1403270625415, 'prob_up': 0.6666666666666666, 'expected_rise': 0.030765797906482796, 'actual_return': 0.12962962962962954, 'pnl': 610.8330053599586, 'exit_reason': 'scheduled'}]","[{'ticker': 'XOM', 'sector': 'Basic Matierials', 'expected_rise': 0.011452470606799872, 'prob_up': 0.836962890625, 'investment_fraction': 0.13139650117271678, 'investment_amount': 3848.536790708933, 'predicted_prob': 0.836962890625, 'allocated_amount': 3848.536790708933, 'exit_date': Timestamp('2017-04-27 00:00:00')}, {'ticker': 'BSAC', 'sector': 'Financial', 'expected_rise': 0.01325684830254044, 'prob_up': 0.75, 'investment_fraction': 0.10266580678859816, 'investment_amount': 11545.61037212666, 'predicted_prob': 0.75, 'allocated_amount': 9997.944895989529, 'exit_date': Timestamp('2017-04-27 00:00:00')}, {'ticker': 'CHTR', 'sector': 'Services', 'expected_rise': 0.013154672667517107, 'prob_up': 0.6923076923076923, 'investment_fraction': 0.08918007788029231, 'investment_amount': 11545.610372126663, 'predicted_prob': 0.6923076923076923, 'allocated_amount': 9997.944895989529, 'exit_date': Timestamp('2017-04-27 00:00:00')}, {'ticker': 'AGFS', 'sector': 'Conglomerates', 'expected_rise': 0.031187608058279897, 'prob_up': 0.6666666666666666, 'investment_fraction': 0.08102967305614514, 'investment_amount': 11545.610372126694, 'predicted_prob': 0.6666666666666666, 'allocated_amount': 6149.408105280589, 'exit_date': Timestamp('2017-04-27 00:00:00')}]",5,100000.0,853,True,True,42,/mnt/primary/simulation/trained_models_meta,12,12,0.2,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-21,39909.562130443665,29928.80163562332,99762.6721187444,99762.6721187444,-216.7768411508829,-0.002168214002037816,0,HYBRID_KELLY_MPT,25555.848501461052,9980.760494820339,True,False,"{'XOM': 0.09999999999999759, 'AGFS': 0.3000000000000001, 'PM': 1.8624424918956003e-15, 'BSAC': 0.3000000000000001, 'NVS': 0.0, 'HON': 1.6891869847324164e-16, 'CHTR': 0.3, 'VZ': 0.0, 'PCG': 1.1579279202145192e-16}","[{'date': Timestamp('2017-04-13 00:00:00'), 'exit_date': Timestamp('2017-04-21 00:00:00'), 'ticker': 'XOM', 'sector': 'Basic Matierials', 'allocated_amount': 6722.33198498967, 'prob_up': 0.836962890625, 'expected_rise': 0.011455059779663756, 'actual_return': -0.012241400116503875, 'pnl': -82.29075554423027, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-13 00:00:00'), 'exit_date': Timestamp('2017-04-21 00:00:00'), 'ticker': 'BSAC', 'sector': 'Financial', 'allocated_amount': 3130.901884872701, 'prob_up': 0.6956521739130435, 'expected_rise': 0.010594713366159431, 'actual_return': -0.04415901244480125, 'pnl': -138.2575352975453, 'exit_reason': 'scheduled'}, {'date': Timestamp('2017-04-13 00:00:00'), 'exit_date': Timestamp('2017-04-21 00:00:00'), 'ticker': 'CHTR', 'sector': 'Services', 'allocated_amount': 146.76613013763563, 'prob_up': 0.6923076923076923, 'expected_rise': 0.013158610550804419, 'actual_return': 0.02569700303030298, 'pnl': 3.771449690892664, 'exit_reason': 'scheduled'}]","[{'ticker': 'XOM', 'sector': 'Basic Matierials', 'expected_rise': 0.011450766506045928, 'prob_up': 0.836962890625, 'investment_fraction': 0.13137694968165414, 'investment_amount': 2555.5848501460437, 'predicted_prob': 0.836962890625, 'allocated_amount': 2555.5848501460437, 'exit_date': Timestamp('2017-04-28 00:00:00')}, {'ticker': 'BSAC', 'sector': 'Financial', 'expected_rise': 0.013246040540996514, 'prob_up': 0.75, 'investment_fraction': 0.10258210759153688, 'investment_amount': 7666.754550438318, 'predicted_prob': 0.75, 'allocated_amount': 7425.175644674295, 'exit_date': Timestamp('2017-04-28 00:00:00')}]",5,100000.0,853,True,True,42,/mnt/primary/simulation/trained_models_meta,12,12,0.2,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-24,29928.801635623327,29928.80163562332,99762.6721187444,99762.6721187444,0.0,0.0,0,HYBRID_KELLY_MPT,17092.16263721277,0.0,True,False,"{'XOM': 0.2999999999999997, 'AGFS': 0.2999999999999997, 'PM': 0.10000000000000026, 'BSAC': 0.2999999999999995, 'NVS': 1.231653667943533e-16, 'HON': 1.0408340855860841e-16, 'CHTR': 2.1684043449710086e-16, 'VZ': 6.591949208711867e-17, 'PCG': 2.393918396847994e-16}",[],[],5,100000.0,853,True,True,42,/mnt/primary/simulation/trained_models_meta,12,12,0.2,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
2017-04-25,29928.801635623327,29928.80163562332,99762.6721187444,99762.6721187444,0.0,0.0,0,HYBRID_KELLY_MPT,18274.353117861167,0.0,True,False,"{'XOM': 0.2999999999999996, 'AGFS': 0.29999999999999993, 'PM': 0.09999999999999988, 'BSAC': 0.2999999999999999, 'UNH': 1.3444106938820255e-16, 'HON': 9.00972005335454e-17, 'CHTR': 8.510987054011209e-17, 'VZ': 9.931291899967219e-17, 'PCG': 1.5048726154098802e-16}",[],[],5,100000.0,853,True,True,42,/mnt/primary/simulation/trained_models_meta,12,12,0.2,0.3,200,5,60,1.0,0.0001,0.3,True,True,0.3,0.7,0.3,0.5,0.5,0.1,3,100.0,0.5,"[[0.08, 0.6], [0.15, 0.35]]",meta,base,0.1451768429443134,15,128,32,1,0.6000000000000001,0.0,0.001415745628709,2.5137050405220336e-07,32.0,50,10,0.0046437191828983,10,0.8
