number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,state
0,-1.0,2026-02-27 16:17:48.912288,2026-02-27 16:17:50.129086,0 days 00:00:01.216798,64,0.1,0.0006505159298527952,10,base,256,64,1,0.4239958350058539,0.1,5.34293726127978e-05,0.8,5,50,BiLSTM,1,5,1.4618962793704944e-06,COMPLETE
63,-1.0,2026-02-27 16:18:45.500658,2026-02-27 16:18:46.517818,0 days 00:00:01.017160,32,0.4,0.0009225885248569263,10,base,64,32,1,1.0597962994541552,0.0,0.0019317352177788156,0.8,10,50,BiLSTM,1,10,2.4268649230598314e-06,COMPLETE
73,-1.0,2026-02-27 16:18:54.145374,2026-02-27 16:18:55.250438,0 days 00:00:01.105064,64,0.0,0.0011563899800855902,15,base,128,128,1,1.3328255722501572,0.2,3.7881174792526163e-06,0.8,5,50,BiLSTM,1,10,7.0903311508209226e-06,COMPLETE
72,-1.0,2026-02-27 16:18:53.398310,2026-02-27 16:18:54.144857,0 days 00:00:00.746547,32,0.1,0.0036993033690609725,10,base,128,64,1,0.5572362592033209,0.1,4.011357546324924e-06,0.8,10,30,LSTM,1,5,2.7418336042794252e-06,COMPLETE
71,-1.0,2026-02-27 16:18:52.578779,2026-02-27 16:18:53.397888,0 days 00:00:00.819109,64,0.1,0.0018902838770412022,15,base,256,64,1,1.5261870679151324,0.2,2.5102916557226357e-05,0.8,5,50,BiLSTM,2,10,3.85786576275677e-07,COMPLETE
70,-1.0,2026-02-27 16:18:51.650019,2026-02-27 16:18:52.578336,0 days 00:00:00.928317,32,0.7000000000000001,0.001447164364414687,20,base,64,32,1,1.0985660890912965,0.2,1.5070149639883156e-06,0.4,5,20,GRU,2,20,0.0004950852271180563,COMPLETE
69,-1.0,2026-02-27 16:18:50.801839,2026-02-27 16:18:51.649610,0 days 00:00:00.847771,32,0.2,0.005502195236165281,10,base,256,64,1,0.9309669007437822,0.0,2.7618904355866863e-06,0.8,7,20,LSTM,1,10,4.647867005971576e-06,COMPLETE
68,-1.0,2026-02-27 16:18:49.993410,2026-02-27 16:18:50.801407,0 days 00:00:00.807997,64,0.6000000000000001,0.006611407769489293,20,base,64,64,1,0.22869150586441345,0.0,0.0005514411869711552,0.8,7,30,BiLSTM,2,5,5.719878779329139e-05,COMPLETE
67,-1.0,2026-02-27 16:18:49.181063,2026-02-27 16:18:49.993021,0 days 00:00:00.811958,32,0.0,0.0009011598910210199,10,base,256,64,1,0.4754033176770504,0.1,8.341420096487385e-05,0.8,10,20,BiGRU,1,5,8.844896898047713e-07,COMPLETE
66,-1.0,2026-02-27 16:18:48.280549,2026-02-27 16:18:49.180643,0 days 00:00:00.900094,32,0.6000000000000001,0.0008669487567592227,10,base,256,128,1,1.0865598844591127,0.0,0.0022050331362864074,0.4,10,50,GRU,1,15,3.030596516067003e-06,COMPLETE
