company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric,isotonic_used
AAPL,Consumer Goods,LSTM,classification,1,,,,-0.0678326525517921,0.20512820512820512,0.36363636363636365,0.14285714285714285,0.515625,0.6428571428571429,0.31622776601683794,0.5454545454545454,0.75,0.42857142857142855,1198,398,42,64,21,0.4149999999999999,0.31622776601683794,True
ABB,Industrial Goods,LSTM,classification,1,,,,0.0,0.72,0.5625,1.0,0.5625,0.5476190476190477,0.3615507630310936,0.6122448979591837,0.4411764705882353,1.0,1198,398,42,64,21,0.05,0.3615507630310936,True
ABBV,Healthcare,LSTM,classification,1,,,,0.2104783392780247,0.6753246753246753,0.6046511627906976,0.7647058823529411,0.609375,0.6666666666666666,0.3348554112644579,0.65,0.6190476190476191,0.6842105263157895,1117,398,42,64,24,0.30499999999999994,0.3348554112644579,True
AEP,Utilities,LSTM,classification,1,,,,0.0,0.7450980392156863,0.59375,1.0,0.59375,0.6190476190476191,0.25674162013381635,0.7333333333333333,0.5945945945945946,0.9565217391304348,1198,398,42,64,21,0.33499999999999996,0.25674162013381635,True
AGFS,Conglomerates,LSTM,classification,1,,,,0.20672455764868075,0.5882352941176471,0.4166666666666667,1.0,0.453125,0.6428571428571429,0.41416109397758005,0.6808510638297872,0.5333333333333333,0.9411764705882353,641,115,42,64,26,0.08499999999999999,0.41416109397758005,True
AMGN,Healthcare,LSTM,classification,1,,,,0.11927667558259851,0.30434782608695654,0.7,0.19444444444444445,0.5,0.7142857142857143,0.38030436528708195,0.45454545454545453,0.8333333333333334,0.3125,1198,398,42,64,21,0.5049999999999999,0.38030436528708195,True
AMZN,Services,LSTM,classification,1,,,,0.05336656748043667,0.10526315789473684,0.6666666666666666,0.05714285714285714,0.46875,0.6428571428571429,0.3006232385408722,0.6666666666666666,0.6,0.75,1198,398,42,64,21,0.33499999999999996,0.3006232385408722,True
BA,Industrial Goods,LSTM,classification,1,,,,0.3298091914191387,0.4897959183673469,0.8571428571428571,0.34285714285714286,0.609375,0.6428571428571429,0.3189712384239927,0.6666666666666666,0.5769230769230769,0.7894736842105263,1198,398,42,64,21,0.29,0.3189712384239927,True
BABA,Services,LSTM,classification,1,,,,0.17407765595569782,0.11428571428571428,1.0,0.06060606060606061,0.515625,0.6904761904761905,0.3072549338995135,0.48,0.6666666666666666,0.375,685,159,42,64,21,0.41999999999999993,0.3072549338995135,True
BAC,Financial,LSTM,classification,1,,,,0.04054846624431496,0.3,0.46153846153846156,0.2222222222222222,0.5625,0.5952380952380952,0.16803361008336118,0.5142857142857142,0.5294117647058824,0.5,1198,398,42,64,21,0.38499999999999995,0.16803361008336118,True
