company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric,isotonic_used
AAPL,Consumer Goods,LSTM,classification,5,,,,0.058362172604259924,0.4827586206896552,0.5185185185185185,0.45161290322580644,0.53125,0.6190476190476191,0.28643577734887543,0.68,0.5666666666666667,0.85,1189,398,42,64,21,0.33499999999999996,0.28643577734887543,True
ABB,Industrial Goods,LSTM,classification,5,,,,0.2596059785840372,0.2,1.0,0.1111111111111111,0.625,0.7142857142857143,0.47193990372426947,0.6666666666666666,0.5454545454545454,0.8571428571428571,1189,398,42,64,21,0.25499999999999995,0.47193990372426947,True
ABBV,Healthcare,LSTM,classification,5,,,,0.15231225557722924,0.5757575757575758,0.5,0.6785714285714286,0.5625,0.7857142857142857,0.3753785967647742,0.3076923076923077,1.0,0.18181818181818182,1108,398,42,64,24,0.42999999999999994,0.3753785967647742,True
AEP,Utilities,LSTM,classification,5,,,,0.31445669017230515,0.7555555555555555,0.6296296296296297,0.9444444444444444,0.65625,0.7857142857142857,0.570087712549569,0.8524590163934426,0.7428571428571429,1.0,1189,398,42,64,21,0.05,0.570087712549569,True
AGFS,Conglomerates,LSTM,classification,5,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,0.6904761904761905,0.5270462766947299,0.6976744186046512,0.5357142857142857,1.0,632,110,42,64,21,0.05,0.5270462766947299,True
AMGN,Healthcare,LSTM,classification,5,,,,0.16637976944997757,0.49122807017543857,0.7,0.3783783783783784,0.546875,0.8809523809523809,0.7779866052154991,0.8484848484848485,0.7368421052631579,1.0,1189,398,42,64,28,0.05,0.7779866052154991,True
AMZN,Services,LSTM,classification,5,,,,0.13399778516057587,0.5,0.7619047619047619,0.37209302325581395,0.5,0.6190476190476191,0.3466876226407682,0.6,0.8571428571428571,0.46153846153846156,1189,398,42,64,24,0.5449999999999999,0.3466876226407682,True
BA,Industrial Goods,LSTM,classification,5,,,,0.19120444499264716,0.125,1.0,0.06666666666666667,0.5625,0.7380952380952381,0.5181036310903636,0.7441860465116279,0.8888888888888888,0.64,1189,398,42,64,21,0.5049999999999999,0.5181036310903636,True
BABA,Services,LSTM,classification,5,,,,0.09759000729485331,0.04878048780487805,1.0,0.025,0.390625,0.7380952380952381,0.35124824777497,0.5217391304347826,0.6,0.46153846153846156,676,154,42,64,21,0.33499999999999996,0.35124824777497,True
BAC,Financial,LSTM,classification,5,,,,0.03975947419755525,0.1,0.6666666666666666,0.05405405405405406,0.4375,0.7619047619047619,0.45883146774112354,0.4444444444444444,1.0,0.2857142857142857,1189,398,42,64,21,0.42999999999999994,0.45883146774112354,True
BBL,Basic Matierials,LSTM,classification,5,,,,0.08106219430942421,0.41935483870967744,0.28888888888888886,0.7647058823529411,0.4375,0.8095238095238095,0.6020768134647814,0.7333333333333333,0.8461538461538461,0.6470588235294118,1189,398,42,64,22,0.20999999999999996,0.6020768134647814,True
BCH,Financial,LSTM,classification,5,,,,0.15114173098063566,0.5,0.34615384615384615,0.9,0.4375,0.6666666666666666,0.42817441928883765,0.7586206896551724,0.6111111111111112,1.0,1189,398,42,64,21,0.05,0.42817441928883765,True
BHP,Basic Matierials,LSTM,classification,5,,,,0.17650092658394914,0.45901639344262296,0.3181818181818182,0.8235294117647058,0.484375,0.7619047619047619,0.48148148148148145,0.6666666666666666,0.6666666666666666,0.6666666666666666,1189,398,42,64,21,0.22499999999999998,0.48148148148148145,True
BP,Basic Matierials,LSTM,classification,5,,,,0.13452132697638328,0.5411764705882353,0.3709677419354839,1.0,0.390625,0.7857142857142857,0.5882352941176471,0.64,1.0,0.47058823529411764,1189,398,42,64,35,0.41999999999999993,0.5882352941176471,True
BRK-A,Financial,LSTM,classification,5,,,,0.15876227390051378,0.6588235294117647,0.5185185185185185,0.9032258064516129,0.546875,0.5952380952380952,0.31622776601683794,0.6046511627906976,0.4642857142857143,0.8666666666666667,1189,398,42,64,21,0.185,0.31622776601683794,True
BSAC,Financial,LSTM,classification,5,,,,0.2467512910905137,0.5614035087719298,0.47058823529411764,0.6956521739130435,0.609375,0.7857142857142857,0.5773502691896257,0.7692307692307693,0.7142857142857143,0.8333333333333334,1189,398,42,64,21,0.15999999999999998,0.5773502691896257,True
BUD,Consumer Goods,LSTM,classification,5,,,,0.1962671679947149,0.20408163265306123,1.0,0.11363636363636363,0.390625,0.6904761904761905,0.3922322702763681,0.6486486486486487,0.5714285714285714,0.75,1189,398,42,64,21,0.29,0.3922322702763681,True
C,Financial,LSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.453125,0.7380952380952381,0.33397374378603706,0.26666666666666666,1.0,0.15384615384615385,1189,398,42,64,21,0.5049999999999999,0.33397374378603706,True
CAT,Industrial Goods,LSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.484375,0.7142857142857143,0.4457893447634325,0.45454545454545453,1.0,0.29411764705882354,1189,398,42,64,34,0.5049999999999999,0.4457893447634325,True
CELG,Healthcare,LSTM,classification,5,,,,0.1585904793531203,0.5846153846153846,0.6129032258064516,0.5588235294117647,0.578125,0.8809523809523809,0.7595062429158977,0.8648648648648649,0.8421052631578947,0.8888888888888888,1189,398,42,64,28,0.135,0.7595062429158977,True
CHL,Technology,LSTM,classification,5,,,,0.1495148637622428,0.49382716049382713,0.32786885245901637,1.0,0.359375,0.6666666666666666,0.4412209491013838,0.7083333333333334,0.5666666666666667,0.9444444444444444,1189,398,42,64,21,0.25499999999999995,0.4412209491013838,True
CHTR,Services,LSTM,classification,5,,,,0.0,0.6382978723404256,0.46875,1.0,0.46875,0.8333333333333334,0.6516946235415336,0.8679245283018868,0.8214285714285714,0.92,1189,398,42,64,22,0.22499999999999998,0.6516946235415336,True
CMCSA,Services,LSTM,classification,5,,,,-0.21821789023599236,0.18181818181818182,0.25,0.14285714285714285,0.4375,0.8571428571428571,0.7083333333333334,0.875,0.875,0.875,1189,398,42,64,22,0.5049999999999999,0.7083333333333334,True
CODI,Conglomerates,LSTM,classification,5,,,,0.16976428667549412,0.5714285714285714,0.4444444444444444,0.8,0.53125,0.7380952380952381,0.4385290096535146,0.6451612903225806,0.6666666666666666,0.625,1189,398,42,64,21,0.4049999999999999,0.4385290096535146,True
CSCO,Technology,LSTM,classification,5,,,,0.2234378315935356,0.6753246753246753,0.5909090909090909,0.7878787878787878,0.609375,0.5714285714285714,0.2773500981126146,0.7,0.5384615384615384,1.0,1189,398,42,64,21,0.05,0.2773500981126146,True
CVX,Basic Matierials,LSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.5,0.5476190476190477,0.26444294267397256,0.24,1.0,0.13636363636363635,1189,398,42,64,21,0.59,0.26444294267397256,True
D,Utilities,LSTM,classification,5,,,,0.1259881576697424,0.6736842105263158,0.5079365079365079,1.0,0.515625,0.7142857142857143,0.4714045207910316,0.8,0.6666666666666666,1.0,1189,398,42,64,21,0.05,0.4714045207910316,True
DHR,Industrial Goods,LSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.515625,0.7380952380952381,0.4448396935314749,0.6206896551724138,0.75,0.5294117647058824,1189,398,42,64,22,0.38499999999999995,0.4448396935314749,True
DIS,Services,LSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.46875,0.6428571428571429,0.32025630761017426,0.2857142857142857,1.0,0.16666666666666666,1189,398,42,64,21,0.5049999999999999,0.32025630761017426,True
DUK,Utilities,LSTM,classification,5,,,,0.22176638128637186,0.6881720430107527,0.5245901639344263,1.0,0.546875,0.7380952380952381,0.49507377148833714,0.819672131147541,0.6944444444444444,1.0,1189,398,42,64,21,0.05,0.49507377148833714,True
EXC,Utilities,LSTM,classification,5,,,,0.030467917928916295,0.5789473684210527,0.4782608695652174,0.7333333333333333,0.5,0.7142857142857143,0.5222329678670935,0.6,1.0,0.42857142857142855,1189,398,42,64,21,0.605,0.5222329678670935,True
FB,Technology,LSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.40625,0.5,0.2401922307076307,0.2222222222222222,1.0,0.125,1189,398,42,64,21,0.5399999999999999,0.2401922307076307,True
GD,Industrial Goods,LSTM,classification,5,,,,0.14856415213808927,0.5909090909090909,0.41935483870967744,1.0,0.4375,0.5,0.2401922307076307,0.631578947368421,0.46153846153846156,1.0,1189,398,42,64,21,0.05,0.2401922307076307,True
GE,Industrial Goods,LSTM,classification,5,,,,0.1495148637622428,0.1276595744680851,1.0,0.06818181818181818,0.359375,0.7619047619047619,0.5194508009153318,0.782608695652174,0.782608695652174,0.782608695652174,1189,398,42,64,21,0.33499999999999996,0.5194508009153318,True
GOOG,Technology,LSTM,classification,5,,,,0.16050272309770905,0.13333333333333333,1.0,0.07142857142857142,0.390625,0.8095238095238095,0.6155606407322655,0.8260869565217391,0.8260869565217391,0.8260869565217391,1189,398,42,64,21,0.5049999999999999,0.6155606407322655,True
