company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric,isotonic_used
AAPL,Consumer Goods,GRU,classification,1,,,,-0.009523809523809525,0.2857142857142857,0.42857142857142855,0.21428571428571427,0.53125,0.6904761904761905,0.40406101782088427,0.6285714285714286,0.7857142857142857,0.5238095238095238,1193,398,42,64,16,0.5049999999999999,0.40406101782088427,True
ABB,Industrial Goods,GRU,classification,1,,,,0.0,0.72,0.5625,1.0,0.5625,0.4523809523809524,0.2418254167033372,0.5660377358490566,0.39473684210526316,1.0,1193,398,42,64,16,0.05,0.2418254167033372,True
ABBV,Healthcare,GRU,classification,1,,,,0.269827208948756,0.4583333333333333,0.7857142857142857,0.3235294117647059,0.59375,0.6190476190476191,0.30515145240827973,0.2727272727272727,1.0,0.15789473684210525,1112,398,42,64,16,0.575,0.30515145240827973,True
AEP,Utilities,GRU,classification,1,,,,0.03952833350118504,0.2857142857142857,0.6363636363636364,0.18421052631578946,0.453125,0.6666666666666666,0.3348554112644579,0.6818181818181818,0.7142857142857143,0.6521739130434783,1193,398,42,64,16,0.43999999999999995,0.3348554112644579,True
AGFS,Conglomerates,GRU,classification,1,,,,0.0,0.5617977528089888,0.390625,1.0,0.390625,0.5238095238095238,0.30313675443913407,0.6296296296296297,0.4594594594594595,1.0,636,110,42,64,16,0.05,0.30313675443913407,True
AMGN,Healthcare,GRU,classification,1,,,,0.06753674153942565,0.19047619047619047,0.6666666666666666,0.1111111111111111,0.46875,0.6904761904761905,0.3535533905932738,0.3157894736842105,1.0,0.1875,1193,398,42,64,16,0.39499999999999996,0.3535533905932738,True
AMZN,Services,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.453125,0.5714285714285714,0.23452078799117146,0.18181818181818182,1.0,0.1,1193,398,42,64,16,0.5349999999999999,0.23452078799117146,True
BA,Industrial Goods,GRU,classification,1,,,,0.20186484220860829,0.15789473684210525,1.0,0.08571428571428572,0.5,0.6666666666666666,0.34553775743707094,0.6666666666666666,0.6086956521739131,0.7368421052631579,1193,398,42,64,16,0.31499999999999995,0.34553775743707094,True
BABA,Services,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.484375,0.7142857142857143,0.38030436528708195,0.45454545454545453,0.8333333333333334,0.3125,680,154,42,64,18,0.44499999999999995,0.38030436528708195,True
BAC,Financial,GRU,classification,1,,,,0.04054846624431496,0.3,0.46153846153846156,0.2222222222222222,0.5625,0.5952380952380952,0.17951965741648493,0.5405405405405406,0.5263157894736842,0.5555555555555556,1193,398,42,64,16,0.36499999999999994,0.17951965741648493,True
