company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric,isotonic_used
AAPL,Consumer Goods,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.5625,0.5238095238095238,0.15617376188860607,0.09090909090909091,1.0,0.047619047619047616,1188,398,42,64,16,0.5049999999999999,0.15617376188860607,True
ABB,Industrial Goods,LSTM,classification,1,,,,-0.009523809523809525,0.6511627906976745,0.56,0.7777777777777778,0.53125,0.6428571428571429,0.2581988897471611,0.5454545454545454,0.5,0.6,1188,398,42,64,20,0.29,0.2581988897471611,True
ABBV,Healthcare,LSTM,classification,1,,,,-0.028215384400198253,0.6593406593406593,0.5263157894736842,0.8823529411764706,0.515625,0.6666666666666666,0.32723112128146453,0.631578947368421,0.631578947368421,0.631578947368421,1107,398,42,64,19,0.30499999999999994,0.32723112128146453,True
AEP,Utilities,LSTM,classification,1,,,,0.07116958850708793,0.65,0.6190476190476191,0.6842105263157895,0.5625,0.6904761904761905,0.37818063801003227,0.7547169811320755,0.6666666666666666,0.8695652173913043,1188,398,42,64,16,0.4049999999999999,0.37818063801003227,True
AGFS,Conglomerates,LSTM,classification,1,,,,0.0,0.5617977528089888,0.390625,1.0,0.390625,0.5952380952380952,0.4,0.6666666666666666,0.5,1.0,631,105,42,64,17,0.05,0.4,True
AMGN,Healthcare,LSTM,classification,1,,,,-0.035451483867683334,0.5217391304347826,0.5454545454545454,0.5,0.484375,0.5952380952380952,0.24733877696033693,0.5853658536585366,0.48,0.75,1188,398,42,64,29,0.3499999999999999,0.46860921309188386,True
AMZN,Services,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.453125,0.7380952380952381,0.5163289402246043,0.6451612903225806,0.9090909090909091,0.5,1188,398,42,64,34,0.5049999999999999,0.5163289402246043,True
BA,Industrial Goods,LSTM,classification,1,,,,0.4776427193748234,0.7384615384615385,0.8,0.6857142857142857,0.734375,0.6666666666666666,0.43261200122172483,0.72,0.5806451612903226,0.9473684210526315,1188,398,42,64,28,0.25499999999999995,0.43261200122172483,True
BABA,Services,LSTM,classification,1,,,,0.17407765595569782,0.11428571428571428,1.0,0.06060606060606061,0.515625,0.7142857142857143,0.381356384904845,0.6,0.6428571428571429,0.5625,675,149,42,64,18,0.33499999999999996,0.381356384904845,True
BAC,Financial,LSTM,classification,1,,,,0.0,0.5934065934065934,0.421875,1.0,0.421875,0.5476190476190477,0.2177581933061626,0.6274509803921569,0.48484848484848486,0.8888888888888888,1188,398,42,64,17,0.22499999999999998,0.2177581933061626,True
BBL,Basic Matierials,LSTM,classification,1,,,,0.224179415327122,0.5614035087719298,0.5,0.64,0.609375,0.6904761904761905,0.39284657334702455,0.7450980392156863,0.6551724137931034,0.8636363636363636,1188,398,42,64,17,0.33499999999999996,0.39284657334702455,True
BCH,Financial,LSTM,classification,1,,,,0.05479966243511909,0.56,0.4375,0.7777777777777778,0.484375,0.6190476190476191,0.2201917371487821,0.7037037037037037,0.6129032258064516,0.8260869565217391,1188,398,42,64,23,0.4499999999999999,0.43261200122172483,True
BHP,Basic Matierials,LSTM,classification,1,,,,0.1972421118046462,0.5806451612903226,0.5294117647058824,0.6428571428571429,0.59375,0.7142857142857143,0.4365641250653994,0.7391304347826086,0.68,0.8095238095238095,1188,398,42,64,25,0.24,0.4365641250653994,True
BP,Basic Matierials,LSTM,classification,1,,,,0.0,0.4482758620689655,0.40625,0.5,0.5,0.6190476190476191,0.40646942234853023,0.7037037037037037,0.5428571428571428,1.0,1188,398,42,64,19,0.05,0.40646942234853023,True
BRK-A,Financial,LSTM,classification,1,,,,0.0,0.6086956521739131,0.4375,1.0,0.4375,0.5952380952380952,0.26556245212371693,0.6792452830188679,0.5454545454545454,0.9,1188,398,42,64,16,0.22499999999999998,0.26556245212371693,True
BSAC,Financial,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.5625,0.6666666666666666,0.2850438562747845,0.2222222222222222,1.0,0.125,1188,398,42,64,17,0.3549999999999999,0.2850438562747845,True
BUD,Consumer Goods,LSTM,classification,1,,,,0.0,0.30434782608695654,0.5,0.21875,0.5,0.6666666666666666,0.2850438562747845,0.2222222222222222,1.0,0.125,1188,398,42,64,20,0.41999999999999993,0.2850438562747845,True
C,Financial,LSTM,classification,1,,,,0.0,0.5777777777777777,0.40625,1.0,0.40625,0.5238095238095238,0.21320071635561041,0.6666666666666666,0.5,1.0,1188,398,42,64,17,0.05,0.21320071635561041,True
CAT,Industrial Goods,LSTM,classification,1,,,,0.15819299929208316,0.5423728813559322,0.5925925925925926,0.5,0.578125,0.5952380952380952,0.2908872369413698,0.2608695652173913,1.0,0.15,1188,398,42,64,18,0.5049999999999999,0.2908872369413698,True
CELG,Healthcare,LSTM,classification,1,,,,0.08272012902459445,0.24390243902439024,0.625,0.15151515151515152,0.515625,0.7142857142857143,0.39222431416585346,0.6,0.6923076923076923,0.5294117647058824,1188,398,42,64,16,0.4049999999999999,0.39222431416585346,True
CHL,Technology,LSTM,classification,1,,,,0.20089174191687223,0.3076923076923077,0.75,0.1935483870967742,0.578125,0.7142857142857143,0.4305283859114459,0.7,0.6666666666666666,0.7368421052631579,1188,398,42,64,16,0.33499999999999996,0.4305283859114459,True
CHTR,Services,LSTM,classification,1,,,,0.05006261743217589,0.20512820512820512,0.5714285714285714,0.125,0.515625,0.7619047619047619,0.5172935265326569,0.6666666666666666,0.8333333333333334,0.5555555555555556,1188,398,42,64,29,0.4049999999999999,0.5172935265326569,True
CMCSA,Services,LSTM,classification,1,,,,0.14400244857369446,0.425531914893617,0.5882352941176471,0.3333333333333333,0.578125,0.5476190476190477,0.29488391230979427,0.6666666666666666,0.5,1.0,1188,398,42,64,25,0.05,0.29488391230979427,True
CODI,Conglomerates,LSTM,classification,1,,,,0.00853312789059399,0.2857142857142857,0.46153846153846156,0.20689655172413793,0.53125,0.5714285714285714,0.10902726334449736,0.25,0.6,0.15789473684210525,1188,398,42,64,28,0.43499999999999994,0.10902726334449736,True
CSCO,Technology,LSTM,classification,1,,,,0.0325644804512918,0.43636363636363634,0.5217391304347826,0.375,0.515625,0.6428571428571429,0.38005847503304596,0.6511627906976745,0.5185185185185185,0.875,1188,398,42,64,30,0.25499999999999995,0.38005847503304596,True
CVX,Basic Matierials,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.53125,0.5952380952380952,0.32444284226152503,0.32,1.0,0.19047619047619047,1188,398,42,64,17,0.5249999999999999,0.32444284226152503,True
D,Utilities,LSTM,classification,1,,,,-0.06454972243679027,0.5277777777777778,0.475,0.59375,0.46875,0.7380952380952381,0.48346919127704885,0.7441860465116279,0.8,0.6956521739130435,1188,398,42,64,18,0.4549999999999999,0.48346919127704885,True
