company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,BiGRU,classification,1,,,,0.14858083138673644,0.23529411764705882,0.6666666666666666,0.14285714285714285,0.59375,0.5714285714285714,0.2773500981126146,0.25,1.0,0.14285714285714285,1188,398,42,64,21,0.58,0.2773500981126146
ABB,Industrial Goods,BiGRU,classification,1,,,,0.13951311175942296,0.6301369863013698,0.6216216216216216,0.6388888888888888,0.578125,0.47619047619047616,0.2,0.56,0.4,0.9333333333333333,1188,398,42,64,22,0.6399999999999999,0.2
ABBV,Healthcare,BiGRU,classification,1,,,,0.13945994111797608,0.5333333333333333,0.6153846153846154,0.47058823529411764,0.5625,0.5714285714285714,0.1718284961594735,0.1,1.0,0.05263157894736842,1107,398,42,64,29,0.9049999999999999,0.1718284961594735
AEP,Utilities,BiGRU,classification,1,,,,-0.0821440096816907,0.7142857142857143,0.5833333333333334,0.9210526315789473,0.5625,0.6190476190476191,0.25674162013381635,0.7333333333333333,0.5945945945945946,0.9565217391304348,1188,398,42,64,21,0.31499999999999995,0.25674162013381635
AGFS,Conglomerates,BiGRU,classification,1,,,,0.0,0.5617977528089888,0.390625,1.0,0.390625,0.5952380952380952,0.4,0.6666666666666666,0.5,1.0,631,105,42,64,21,0.36499999999999994,0.4
AMGN,Healthcare,BiGRU,classification,1,,,,0.21039790769253672,0.40816326530612246,0.7692307692307693,0.2777777777777778,0.546875,0.7142857142857143,0.3942307692307692,0.625,0.625,0.625,1188,398,42,64,22,0.36999999999999994,0.3942307692307692
AMZN,Services,BiGRU,classification,1,,,,0.0,0.0,0.0,0.0,0.453125,0.6428571428571429,0.3855498004780299,0.4,1.0,0.25,1188,398,42,64,22,0.42499999999999993,0.3855498004780299
BA,Industrial Goods,BiGRU,classification,1,,,,0.4425941852276055,0.7272727272727273,0.7741935483870968,0.6857142857142857,0.71875,0.5238095238095238,0.2520816345981441,0.6551724137931034,0.48717948717948717,1.0,1188,398,42,64,21,0.24999999999999994,0.2520816345981441
BABA,Services,BiGRU,classification,1,,,,0.0,0.0,0.0,0.0,0.484375,0.6904761904761905,0.30697030675746023,0.43478260869565216,0.7142857142857143,0.3125,675,149,42,64,21,0.74,0.30697030675746023
BAC,Financial,BiGRU,classification,1,,,,0.13078700560091738,0.6046511627906976,0.4406779661016949,0.9629629629629629,0.46875,0.5,0.2401922307076307,0.631578947368421,0.46153846153846156,1.0,1188,398,42,64,21,0.24,0.2401922307076307
BBL,Basic Matierials,BiGRU,classification,1,,,,0.004034850217792016,0.41509433962264153,0.39285714285714285,0.44,0.515625,0.6666666666666666,0.3919647479510927,0.5882352941176471,0.8333333333333334,0.45454545454545453,1188,398,42,64,27,0.4649999999999999,0.3919647479510927
BCH,Financial,BiGRU,classification,1,,,,0.0,0.0,0.0,0.0,0.578125,0.6190476190476191,0.40646942234853023,0.4666666666666667,1.0,0.30434782608695654,1188,398,42,64,32,0.6699999999999999,0.40646942234853023
BHP,Basic Matierials,BiGRU,classification,1,,,,0.047619047619047616,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.53125,0.6904761904761905,0.48507125007266594,0.5517241379310345,1.0,0.38095238095238093,1188,398,42,64,22,0.4549999999999999,0.48507125007266594
BP,Basic Matierials,BiGRU,classification,1,,,,0.16511700362686718,0.5423728813559322,0.48484848484848486,0.6153846153846154,0.578125,0.47619047619047616,0.14194527943608679,0.6333333333333333,0.4634146341463415,1.0,1188,398,42,64,23,0.43499999999999994,0.14194527943608679
BRK-A,Financial,BiGRU,classification,1,,,,0.0,0.6086956521739131,0.4375,1.0,0.4375,0.5476190476190477,0.26444294267397256,0.6779661016949152,0.5128205128205128,1.0,1188,398,42,64,21,0.21999999999999997,0.26444294267397256
BSAC,Financial,BiGRU,classification,1,,,,-0.09626669171599594,0.5542168674698795,0.41818181818181815,0.8214285714285714,0.421875,0.5,0.17069718549972973,0.5714285714285714,0.42424242424242425,0.875,1188,398,42,64,22,0.5449999999999999,0.17069718549972973
BUD,Consumer Goods,BiGRU,classification,1,,,,0.03537745688386125,0.3673469387755102,0.5294117647058824,0.28125,0.515625,0.7142857142857143,0.3721042037676254,0.5714285714285714,0.6666666666666666,0.5,1188,398,42,64,31,0.6,0.3721042037676254
C,Financial,BiGRU,classification,1,,,,0.2324766006178762,0.5555555555555556,0.5357142857142857,0.5769230769230769,0.625,0.6190476190476191,0.23636363636363636,0.6,0.6,0.6,1188,398,42,64,22,0.69,0.23636363636363636
CAT,Industrial Goods,BiGRU,classification,1,,,,0.1259881576697424,0.06060606060606061,1.0,0.03125,0.515625,0.5476190476190477,0.16379642332078845,0.09523809523809523,1.0,0.05,1188,398,42,64,21,0.635,0.16379642332078845
CELG,Healthcare,BiGRU,classification,1,,,,0.1241446725317693,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.5625,0.7142857142857143,0.39222431416585346,0.6,0.6923076923076923,0.5294117647058824,1188,398,42,64,22,0.635,0.39222431416585346
CHL,Technology,BiGRU,classification,1,,,,0.0,0.6526315789473685,0.484375,1.0,0.484375,0.5,0.20323471117426511,0.6440677966101694,0.475,1.0,1188,398,42,64,24,0.37499999999999994,0.20323471117426511
CHTR,Services,BiGRU,classification,1,,,,0.0949157995752499,0.5797101449275363,0.5405405405405406,0.625,0.546875,0.7380952380952381,0.46089330092379077,0.6451612903225806,0.7692307692307693,0.5555555555555556,1188,398,42,64,29,0.4149999999999999,0.46089330092379077
CMCSA,Services,BiGRU,classification,1,,,,0.1341246360271594,0.06451612903225806,1.0,0.03333333333333333,0.546875,0.6666666666666666,0.3414178068795598,0.5,0.7777777777777778,0.3684210526315789,1188,398,42,64,22,0.4749999999999999,0.3414178068795598
CODI,Conglomerates,BiGRU,classification,1,,,,-0.032380592972966034,0.5277777777777778,0.4418604651162791,0.6551724137931034,0.46875,0.5952380952380952,0.17576247754451405,0.32,0.6666666666666666,0.21052631578947367,1188,398,42,64,25,0.58,0.17576247754451405
CSCO,Technology,BiGRU,classification,1,,,,0.22473328748774737,0.34146341463414637,0.7777777777777778,0.21875,0.578125,0.6904761904761905,0.32321583473162474,0.5517241379310345,0.6153846153846154,0.5,1188,398,42,64,23,0.6699999999999999,0.32321583473162474
CVX,Basic Matierials,BiGRU,classification,1,,,,0.23498401923230525,0.2777777777777778,0.8333333333333334,0.16666666666666666,0.59375,0.6190476190476191,0.242535625036333,0.5789473684210527,0.6470588235294118,0.5238095238095238,1188,398,42,64,21,0.625,0.242535625036333
D,Utilities,BiGRU,classification,1,,,,0.21650635094610968,0.675,0.5625,0.84375,0.59375,0.6904761904761905,0.37818063801003227,0.7547169811320755,0.6666666666666666,0.8695652173913043,1188,398,42,64,21,0.4099999999999999,0.37818063801003227
DHR,Industrial Goods,BiGRU,classification,1,,,,0.0885319710087594,0.6233766233766234,0.5454545454545454,0.7272727272727273,0.546875,0.6190476190476191,0.3892494720807615,0.7142857142857143,0.5555555555555556,1.0,1188,398,42,64,26,0.20999999999999996,0.3892494720807615
DIS,Services,BiGRU,classification,1,,,,-0.08323699461912869,0.18181818181818182,0.4444444444444444,0.11428571428571428,0.4375,0.6428571428571429,0.3006232385408722,0.6666666666666666,0.6,0.75,1188,398,42,64,21,0.725,0.3006232385408722
