company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,GRU,classification,5,,,,0.021079040716371285,0.39215686274509803,0.5,0.3225806451612903,0.515625,0.6904761904761905,0.38376128944009874,0.6285714285714286,0.7333333333333333,0.55,1189,398,42,64,12,0.615,0.38376128944009874
ABB,Industrial Goods,GRU,classification,5,,,,0.11399931221074287,0.3157894736842105,0.5454545454545454,0.2222222222222222,0.59375,0.7857142857142857,0.5198752449100363,0.5263157894736842,1.0,0.35714285714285715,1189,398,42,64,11,0.8799999999999999,0.5198752449100363
ABBV,Healthcare,GRU,classification,5,,,,0.1467418177209373,0.5915492957746479,0.4883720930232558,0.75,0.546875,0.8333333333333334,0.544656513504933,0.5333333333333333,1.0,0.36363636363636365,1108,398,42,64,12,0.825,0.544656513504933
AEP,Utilities,GRU,classification,5,,,,-0.09535908376272667,0.0975609756097561,0.4,0.05555555555555555,0.421875,0.6190476190476191,0.38760854559127644,0.5789473684210527,0.9166666666666666,0.4230769230769231,1189,398,42,64,11,0.62,0.38760854559127644
AGFS,Conglomerates,GRU,classification,5,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,0.7380952380952381,0.5847053462046862,0.7317073170731707,0.5769230769230769,1.0,632,110,42,64,11,0.82,0.5847053462046862
AMGN,Healthcare,GRU,classification,5,,,,0.3597023714857364,0.6451612903225806,0.8,0.5405405405405406,0.65625,0.8571428571428571,0.7144345083117603,0.8125,0.7222222222222222,0.9285714285714286,1189,398,42,64,26,0.31499999999999995,0.7144345083117603
AMZN,Services,GRU,classification,5,,,,0.2087926435000765,0.42105263157894735,0.8571428571428571,0.27906976744186046,0.484375,0.7142857142857143,0.4135850959342555,0.8125,0.6842105263157895,1.0,1189,398,42,64,11,0.3,0.4135850959342555
BA,Industrial Goods,GRU,classification,5,,,,0.07656639446725212,0.17142857142857143,0.6,0.1,0.546875,0.47619047619047616,0.15335153459862078,0.26666666666666666,0.8,0.16,1189,398,42,64,11,0.9149999999999999,0.15335153459862078
BABA,Services,GRU,classification,5,,,,0.02740326026847311,0.38596491228070173,0.6470588235294118,0.275,0.453125,0.7142857142857143,0.2332573806517552,0.14285714285714285,1.0,0.07692307692307693,676,154,42,64,11,0.4649999999999999,0.2332573806517552
BAC,Financial,GRU,classification,5,,,,-0.1061220450937076,0.13636363636363635,0.42857142857142855,0.08108108108108109,0.40625,0.7142857142857143,0.408248290463863,0.625,0.5555555555555556,0.7142857142857143,1189,398,42,64,11,0.8049999999999999,0.408248290463863
BBL,Basic Matierials,GRU,classification,5,,,,0.19210545285208808,0.46153846153846156,0.34285714285714286,0.7058823529411765,0.5625,0.7619047619047619,0.4971505638153174,0.6666666666666666,0.7692307692307693,0.5882352941176471,1189,398,42,64,15,0.5299999999999999,0.4971505638153174
BCH,Financial,GRU,classification,5,,,,0.3161856107455693,0.5660377358490566,0.45454545454545453,0.75,0.640625,0.7619047619047619,0.5282450493547782,0.7916666666666666,0.7307692307692307,0.8636363636363636,1189,398,42,64,11,0.6849999999999999,0.5282450493547782
BHP,Basic Matierials,GRU,classification,5,,,,0.06284697584427718,0.4067796610169492,0.2857142857142857,0.7058823529411765,0.453125,0.8095238095238095,0.5795492139869115,0.6666666666666666,0.8888888888888888,0.5333333333333333,1189,398,42,64,11,0.57,0.5795492139869115
BP,Basic Matierials,GRU,classification,5,,,,0.08179544372087522,0.5142857142857142,0.3829787234042553,0.782608695652174,0.46875,0.5952380952380952,0.3067859955389482,0.6382978723404256,0.5,0.8823529411764706,1189,398,42,64,11,0.37499999999999994,0.3067859955389482
BRK-A,Financial,GRU,classification,5,,,,0.0,0.6526315789473685,0.484375,1.0,0.484375,0.6428571428571429,0.4714045207910317,0.6666666666666666,0.5,1.0,1189,398,42,64,11,0.12,0.4714045207910317
