company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,LSTM,classification,1,,,,-0.0678326525517921,0.20512820512820512,0.36363636363636365,0.14285714285714285,0.515625,0.6428571428571429,0.31622776601683794,0.5454545454545454,0.75,0.42857142857142855,1198,398,42,64,21,0.5449999999999999,0.31622776601683794
ABB,Industrial Goods,LSTM,classification,1,,,,0.0,0.72,0.5625,1.0,0.5625,0.5238095238095238,0.3333333333333333,0.6,0.42857142857142855,1.0,1198,398,42,64,21,0.585,0.3333333333333333
ABBV,Healthcare,LSTM,classification,1,,,,0.17785945835997752,0.6486486486486487,0.6,0.7058823529411765,0.59375,0.6666666666666666,0.32899236021053324,0.5333333333333333,0.7272727272727273,0.42105263157894735,1117,398,42,64,24,0.63,0.32899236021053324
AEP,Utilities,LSTM,classification,1,,,,-0.10421364855284106,0.7326732673267327,0.5873015873015873,0.9736842105263158,0.578125,0.6190476190476191,0.25674162013381635,0.7333333333333333,0.5945945945945946,0.9565217391304348,1198,398,42,64,21,0.38999999999999996,0.25674162013381635
AGFS,Conglomerates,LSTM,classification,1,,,,0.20672455764868075,0.5882352941176471,0.4166666666666667,1.0,0.453125,0.6428571428571429,0.41416109397758005,0.6808510638297872,0.5333333333333333,0.9411764705882353,641,115,42,64,26,0.25999999999999995,0.41416109397758005
AMGN,Healthcare,LSTM,classification,1,,,,0.11927667558259851,0.30434782608695654,0.7,0.19444444444444445,0.5,0.7142857142857143,0.38030436528708195,0.45454545454545453,0.8333333333333334,0.3125,1198,398,42,64,21,0.5599999999999999,0.38030436528708195
AMZN,Services,LSTM,classification,1,,,,0.05336656748043667,0.10526315789473684,0.6666666666666666,0.05714285714285714,0.46875,0.6190476190476191,0.2571104222523257,0.6521739130434783,0.5769230769230769,0.75,1198,398,42,64,21,0.32499999999999996,0.2571104222523257
BA,Industrial Goods,LSTM,classification,1,,,,0.3298091914191387,0.4897959183673469,0.8571428571428571,0.34285714285714286,0.609375,0.6428571428571429,0.3189712384239927,0.6666666666666666,0.5769230769230769,0.7894736842105263,1198,398,42,64,21,0.5349999999999999,0.3189712384239927
BABA,Services,LSTM,classification,1,,,,0.17407765595569782,0.11428571428571428,1.0,0.06060606060606061,0.515625,0.6904761904761905,0.3072549338995135,0.48,0.6666666666666666,0.375,685,159,42,64,21,0.6,0.3072549338995135
BAC,Financial,LSTM,classification,1,,,,0.0,0.5934065934065934,0.421875,1.0,0.421875,0.4523809523809524,0.13525044520011484,0.6101694915254238,0.43902439024390244,1.0,1198,398,42,64,21,0.16499999999999998,0.13525044520011484
