company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,LSTM,classification,1,,,,0.035451483867683334,0.4918032786885246,0.45454545454545453,0.5357142857142857,0.515625,0.5714285714285714,0.2773500981126146,0.7,0.5384615384615384,1.0,1193,398,42,64,20,0.4649999999999999,0.2773500981126146
ABB,Industrial Goods,LSTM,classification,1,,,,0.19282872818393804,0.6753246753246753,0.6341463414634146,0.7222222222222222,0.609375,0.5238095238095238,0.2681496363223023,0.5833333333333334,0.42424242424242425,0.9333333333333333,1193,398,42,64,20,0.48999999999999994,0.2681496363223023
ABBV,Healthcare,LSTM,classification,1,,,,0.13957160400219615,0.43137254901960786,0.6470588235294118,0.3235294117647059,0.546875,0.6428571428571429,0.35696473595396144,0.34782608695652173,1.0,0.21052631578947367,1112,398,42,64,20,0.5449999999999999,0.35696473595396144
AEP,Utilities,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.40625,0.5714285714285714,0.2150107550982225,0.47058823529411764,0.7272727272727273,0.34782608695652173,1193,398,42,64,20,0.5499999999999999,0.2150107550982225
AGFS,Conglomerates,LSTM,classification,1,,,,0.005593812935301817,0.13333333333333333,0.4,0.08,0.59375,0.6428571428571429,0.37729688731351946,0.6666666666666666,0.5357142857142857,0.8823529411764706,636,110,42,64,20,0.44499999999999995,0.37729688731351946
AMGN,Healthcare,LSTM,classification,1,,,,0.11617858011292062,0.39215686274509803,0.6666666666666666,0.2777777777777778,0.515625,0.6904761904761905,0.3535533905932738,0.3157894736842105,1.0,0.1875,1193,398,42,64,20,0.44499999999999995,0.3535533905932738
AMZN,Services,LSTM,classification,1,,,,0.11468185313135519,0.05555555555555555,1.0,0.02857142857142857,0.46875,0.6428571428571429,0.3855498004780299,0.4,1.0,0.25,1193,398,42,64,20,0.62,0.3855498004780299
BA,Industrial Goods,LSTM,classification,1,,,,0.0,0.7070707070707071,0.546875,1.0,0.546875,0.5714285714285714,0.33411580702345967,0.6785714285714286,0.5135135135135135,1.0,1193,398,42,64,20,0.3999999999999999,0.33411580702345967
BABA,Services,LSTM,classification,1,,,,0.06702466256013999,0.1111111111111111,0.6666666666666666,0.06060606060606061,0.5,0.4523809523809524,0.21757131728816848,0.5818181818181818,0.41025641025641024,1.0,680,154,42,64,20,0.5199999999999999,0.21757131728816848
BAC,Financial,LSTM,classification,1,,,,0.12253577034896797,0.47058823529411764,0.5,0.4444444444444444,0.578125,0.5238095238095238,0.08492077756084468,0.5454545454545454,0.46153846153846156,0.6666666666666666,1193,398,42,64,20,0.49499999999999994,0.08492077756084468
BBL,Basic Matierials,LSTM,classification,1,,,,0.05707352953442433,0.4642857142857143,0.41935483870967744,0.52,0.53125,0.6190476190476191,0.3892494720807615,0.42857142857142855,1.0,0.2727272727272727,1193,398,42,64,20,0.5149999999999999,0.3892494720807615
BCH,Financial,LSTM,classification,1,,,,0.11399931221074287,0.3157894736842105,0.5454545454545454,0.2222222222222222,0.59375,0.6904761904761905,0.46894399113244,0.6285714285714286,0.9166666666666666,0.4782608695652174,1193,398,42,64,20,0.6399999999999999,0.46894399113244
BHP,Basic Matierials,LSTM,classification,1,,,,0.1250803567515525,0.5671641791044776,0.48717948717948717,0.6785714285714286,0.546875,0.6666666666666666,0.4472135954999579,0.5,1.0,0.3333333333333333,1193,398,42,64,20,0.48499999999999993,0.4472135954999579
BP,Basic Matierials,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.59375,0.6428571428571429,0.35696473595396144,0.34782608695652173,1.0,0.21052631578947367,1193,398,42,64,20,0.575,0.35696473595396144
BRK-A,Financial,LSTM,classification,1,,,,0.19282872818393804,0.5098039215686274,0.5652173913043478,0.4642857142857143,0.609375,0.6666666666666666,0.3440511766019877,0.6818181818181818,0.625,0.75,1193,398,42,64,20,0.5299999999999999,0.3440511766019877
BSAC,Financial,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.5625,0.6666666666666666,0.2850438562747845,0.2222222222222222,1.0,0.125,1193,398,42,64,20,0.5249999999999999,0.2850438562747845
BUD,Consumer Goods,LSTM,classification,1,,,,0.0,0.30434782608695654,0.5,0.21875,0.5,0.4523809523809524,0.08770580193070292,0.5490196078431373,0.4,0.875,1193,398,42,64,20,0.5199999999999999,0.08770580193070292
C,Financial,LSTM,classification,1,,,,-0.10421364855284106,0.0,0.0,0.0,0.578125,0.5476190476190477,0.16379642332078845,0.09523809523809523,1.0,0.05,1193,398,42,64,20,0.7799999999999999,0.16379642332078845
CAT,Industrial Goods,LSTM,classification,1,,,,0.12424730498438732,0.6588235294117647,0.5283018867924528,0.875,0.546875,0.5714285714285714,0.19721066262893963,0.6538461538461539,0.53125,0.85,1193,398,42,64,20,0.5299999999999999,0.19721066262893963
CELG,Healthcare,LSTM,classification,1,,,,0.22124350823336536,0.6031746031746031,0.6333333333333333,0.5757575757575758,0.609375,0.7142857142857143,0.39770583933420295,0.625,0.6666666666666666,0.5882352941176471,1193,398,42,64,20,0.62,0.39770583933420295
CHL,Technology,LSTM,classification,1,,,,0.049980989108788364,0.5974025974025974,0.5,0.7419354838709677,0.515625,0.6190476190476191,0.26220638316754485,0.6363636363636364,0.56,0.7368421052631579,1193,398,42,64,20,0.4099999999999999,0.26220638316754485
CHTR,Services,LSTM,classification,1,,,,0.05006261743217589,0.651685393258427,0.5087719298245614,0.90625,0.515625,0.6904761904761905,0.44467586567566636,0.7111111111111111,0.5925925925925926,0.8888888888888888,1193,398,42,64,20,0.37999999999999995,0.44467586567566636
CMCSA,Services,LSTM,classification,1,,,,0.021794145743990034,0.45614035087719296,0.48148148148148145,0.43333333333333335,0.515625,0.5952380952380952,0.3710541192606408,0.6909090909090909,0.5277777777777778,1.0,1193,398,42,64,20,0.36499999999999994,0.3710541192606408
CODI,Conglomerates,LSTM,classification,1,,,,0.0,0.6236559139784946,0.453125,1.0,0.453125,0.4523809523809524,0.0,0.6229508196721312,0.4523809523809524,1.0,1193,398,42,64,20,0.05,0.0
