company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,GRU,classification,1,,,,0.03253000243161777,0.32558139534883723,0.4666666666666667,0.25,0.546875,0.6904761904761905,0.3922322702763681,0.6486486486486487,0.75,0.5714285714285714,1193,398,42,64,16,0.6449999999999999,0.3922322702763681
ABB,Industrial Goods,GRU,classification,1,,,,0.0,0.72,0.5625,1.0,0.5625,0.42857142857142855,0.20672455764868078,0.5555555555555556,0.38461538461538464,1.0,1193,398,42,64,16,0.5599999999999999,0.20672455764868078
ABBV,Healthcare,GRU,classification,1,,,,0.24077330832022817,0.425531914893617,0.7692307692307693,0.29411764705882354,0.578125,0.6190476190476191,0.30515145240827973,0.2727272727272727,1.0,0.15789473684210525,1112,398,42,64,16,0.7949999999999999,0.30515145240827973
AEP,Utilities,GRU,classification,1,,,,0.03952833350118504,0.2857142857142857,0.6363636363636364,0.18421052631578946,0.453125,0.6666666666666666,0.3348554112644579,0.6818181818181818,0.7142857142857143,0.6521739130434783,1193,398,42,64,16,0.615,0.3348554112644579
AGFS,Conglomerates,GRU,classification,1,,,,0.0,0.5617977528089888,0.390625,1.0,0.390625,0.5952380952380952,0.24733877696033693,0.6046511627906976,0.5,0.7647058823529411,636,110,42,64,16,0.37499999999999994,0.24733877696033693
AMGN,Healthcare,GRU,classification,1,,,,0.13937096857629283,0.1951219512195122,0.8,0.1111111111111111,0.484375,0.6904761904761905,0.3535533905932738,0.3157894736842105,1.0,0.1875,1193,398,42,64,16,0.8049999999999999,0.3535533905932738
AMZN,Services,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.453125,0.5714285714285714,0.23452078799117146,0.18181818181818182,1.0,0.1,1193,398,42,64,16,0.4099999999999999,0.23452078799117146
BA,Industrial Goods,GRU,classification,1,,,,0.20186484220860829,0.15789473684210525,1.0,0.08571428571428572,0.5,0.6666666666666666,0.34553775743707094,0.6666666666666666,0.6086956521739131,0.7368421052631579,1193,398,42,64,16,0.715,0.34553775743707094
BABA,Services,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.484375,0.7142857142857143,0.38030436528708195,0.45454545454545453,0.8333333333333334,0.3125,680,154,42,64,18,0.595,0.38030436528708195
BAC,Financial,GRU,classification,1,,,,-0.0050662305843061466,0.2564102564102564,0.4166666666666667,0.18518518518518517,0.546875,0.5952380952380952,0.16803361008336118,0.5142857142857142,0.5294117647058824,0.5,1193,398,42,64,16,0.705,0.16803361008336118
