company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric,isotonic_used
AAPL,Consumer Goods,BiLSTM,classification,1,,,,0.09759000729485331,0.46153846153846156,0.5,0.42857142857142855,0.5625,0.6904761904761905,0.4472135954999579,0.5806451612903226,0.9,0.42857142857142855,1193,398,42,64,25,0.5049999999999999,0.4472135954999579,True
ABB,Industrial Goods,BiLSTM,classification,1,,,,0.0,0.72,0.5625,1.0,0.5625,0.5,0.23500799597021088,0.5714285714285714,0.4117647058823529,0.9333333333333333,1193,398,42,64,11,0.20499999999999996,0.23500799597021088,True
ABBV,Healthcare,BiLSTM,classification,1,,,,0.43064433753916403,0.6296296296296297,0.85,0.5,0.6875,0.6190476190476191,0.30515145240827973,0.2727272727272727,1.0,0.15789473684210525,1112,398,42,64,21,0.605,0.30515145240827973,True
AEP,Utilities,BiLSTM,classification,1,,,,-0.048647332992624304,0.35714285714285715,0.5555555555555556,0.2631578947368421,0.4375,0.6666666666666666,0.32723112128146453,0.6956521739130435,0.6956521739130435,0.6956521739130435,1193,398,42,64,16,0.43999999999999995,0.32723112128146453,True
AGFS,Conglomerates,BiLSTM,classification,1,,,,-0.17796484599023626,0.0625,0.14285714285714285,0.04,0.53125,0.6666666666666666,0.3835294117647059,0.6666666666666666,0.56,0.8235294117647058,636,110,42,64,14,0.18,0.3835294117647059,True
AMGN,Healthcare,BiLSTM,classification,1,,,,0.21039790769253672,0.40816326530612246,0.7692307692307693,0.2777777777777778,0.546875,0.7142857142857143,0.38030436528708195,0.45454545454545453,0.8333333333333334,0.3125,1193,398,42,64,12,0.33499999999999996,0.38030436528708195,True
AMZN,Services,BiLSTM,classification,1,,,,-0.22384904574224135,0.5,0.4634146341463415,0.5428571428571428,0.40625,0.6428571428571429,0.28426762180748055,0.5714285714285714,0.6666666666666666,0.5,1193,398,42,64,13,0.44499999999999995,0.28426762180748055,True
BA,Industrial Goods,BiLSTM,classification,1,,,,0.16348734079150698,0.10810810810810811,1.0,0.05714285714285714,0.484375,0.6428571428571429,0.3124666267458028,0.4,0.8333333333333334,0.2631578947368421,1193,398,42,64,11,0.4699999999999999,0.3124666267458028,True
BABA,Services,BiLSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.484375,0.7142857142857143,0.3721042037676254,0.5714285714285714,0.6666666666666666,0.5,680,154,42,64,11,0.3,0.3721042037676254,True
BAC,Financial,BiLSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.578125,0.6190476190476191,0.25819888974716115,0.2,1.0,0.1111111111111111,1193,398,42,64,11,0.43499999999999994,0.25819888974716115,True
BBL,Basic Matierials,BiLSTM,classification,1,,,,0.09095880536541953,0.5230769230769231,0.425,0.68,0.515625,0.7142857142857143,0.42727272727272725,0.7272727272727273,0.7272727272727273,0.7272727272727273,1193,398,42,64,15,0.33499999999999996,0.42727272727272725,True
BCH,Financial,BiLSTM,classification,1,,,,0.11918791593025913,0.35,0.5384615384615384,0.25925925925925924,0.59375,0.6428571428571429,0.4408779893967569,0.5161290322580645,1.0,0.34782608695652173,1193,398,42,64,11,0.5049999999999999,0.4408779893967569,True
BHP,Basic Matierials,BiLSTM,classification,1,,,,0.09914003065261924,0.3076923076923077,0.5454545454545454,0.21428571428571427,0.578125,0.6428571428571429,0.31622776601683794,0.5454545454545454,0.75,0.42857142857142855,1193,398,42,64,11,0.4049999999999999,0.31622776601683794,True
BP,Basic Matierials,BiLSTM,classification,1,,,,0.18367958959266126,0.42857142857142855,0.5625,0.34615384615384615,0.625,0.5952380952380952,0.1961242945746519,0.5853658536585366,0.5454545454545454,0.631578947368421,1193,398,42,64,11,0.3549999999999999,0.1961242945746519,True
BRK-A,Financial,BiLSTM,classification,1,,,,0.06753674153942565,0.6046511627906976,0.4482758620689655,0.9285714285714286,0.46875,0.7142857142857143,0.4534492901541017,0.7391304347826086,0.6538461538461539,0.85,1193,398,42,64,11,0.20499999999999996,0.4534492901541017,True
BSAC,Financial,BiLSTM,classification,1,,,,-0.18262637225482492,0.5185185185185185,0.39622641509433965,0.75,0.390625,0.6190476190476191,0.3125,0.6190476190476191,0.5,0.8125,1193,398,42,64,11,0.21499999999999997,0.3125,True
BUD,Consumer Goods,BiLSTM,classification,1,,,,0.1889822365046136,0.6818181818181818,0.5357142857142857,0.9375,0.5625,0.5,0.2192645048267573,0.5882352941176471,0.42857142857142855,0.9375,1193,398,42,64,11,0.25499999999999995,0.2192645048267573,True
C,Financial,BiLSTM,classification,1,,,,0.0,0.5777777777777777,0.40625,1.0,0.40625,0.5714285714285714,0.253012156852495,0.6785714285714286,0.5277777777777778,0.95,1193,398,42,64,11,0.20499999999999996,0.253012156852495,True
CAT,Industrial Goods,BiLSTM,classification,1,,,,0.27185747308321606,0.4444444444444444,0.7692307692307693,0.3125,0.609375,0.6666666666666666,0.34673804626442817,0.5625,0.75,0.45,1193,398,42,64,11,0.5049999999999999,0.34673804626442817,True
CELG,Healthcare,BiLSTM,classification,1,,,,0.24487062584655517,0.37209302325581395,0.8,0.24242424242424243,0.578125,0.7142857142857143,0.4457893447634325,0.45454545454545453,1.0,0.29411764705882354,1193,398,42,64,13,0.5049999999999999,0.4457893447634325,True
CHL,Technology,BiLSTM,classification,1,,,,0.0,0.6526315789473685,0.484375,1.0,0.484375,0.5,0.20323471117426511,0.6440677966101694,0.475,1.0,1193,398,42,64,11,0.3499999999999999,0.2827838665960097,True
CHTR,Services,BiLSTM,classification,1,,,,0.0,0.23809523809523808,0.5,0.15625,0.5,0.7857142857142857,0.56496598177755,0.7096774193548387,0.8461538461538461,0.6111111111111112,1193,398,42,64,17,0.33499999999999996,0.56496598177755,True
CMCSA,Services,BiLSTM,classification,1,,,,0.19120444499264716,0.125,1.0,0.06666666666666667,0.5625,0.6904761904761905,0.4491707759470915,0.48,1.0,0.3157894736842105,1193,398,42,64,19,0.39499999999999996,0.4491707759470915,True
CODI,Conglomerates,BiLSTM,classification,1,,,,0.02431322695419323,0.12121212121212122,0.5,0.06896551724137931,0.546875,0.5952380952380952,0.24602096615832092,0.19047619047619047,1.0,0.10526315789473684,1193,398,42,64,11,0.4499999999999999,0.24602096615832092,True
CSCO,Technology,BiLSTM,classification,1,,,,0.1259881576697424,0.06060606060606061,1.0,0.03125,0.515625,0.6904761904761905,0.3535533905932738,0.3157894736842105,1.0,0.1875,1193,398,42,64,12,0.4099999999999999,0.3535533905932738,True
CVX,Basic Matierials,BiLSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.53125,0.6666666666666666,0.3790712527517176,0.5625,0.8181818181818182,0.42857142857142855,1193,398,42,64,11,0.4699999999999999,0.3790712527517176,True
D,Utilities,BiLSTM,classification,1,,,,0.1889822365046136,0.6818181818181818,0.5357142857142857,0.9375,0.5625,0.6666666666666666,0.32899236021053324,0.7407407407407407,0.6451612903225806,0.8695652173913043,1193,398,42,64,11,0.4049999999999999,0.32899236021053324,True
DHR,Industrial Goods,BiLSTM,classification,1,,,,0.08233222475801151,0.4230769230769231,0.5789473684210527,0.3333333333333333,0.53125,0.6904761904761905,0.3876875590429165,0.6976744186046512,0.6521739130434783,0.75,1193,398,42,64,21,0.33499999999999996,0.3876875590429165,True
DIS,Services,BiLSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.453125,0.6428571428571429,0.28212334693835694,0.5945945945945946,0.6470588235294118,0.55,1193,398,42,64,11,0.44499999999999995,0.28212334693835694,True
DUK,Utilities,BiLSTM,classification,1,,,,0.1474852895742471,0.74,0.5873015873015873,1.0,0.59375,0.6904761904761905,0.43153898470104,0.7636363636363637,0.6363636363636364,0.9545454545454546,1193,398,42,64,15,0.13,0.43153898470104,True
