company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric,isotonic_used
AAPL,Consumer Goods,GRU,classification,1,,,,-0.10722404795288451,0.11428571428571428,0.2857142857142857,0.07142857142857142,0.515625,0.6428571428571429,0.36380343755449945,0.4827586206896552,0.875,0.3333333333333333,1188,398,42,64,26,0.605,0.36380343755449945,True
ABB,Industrial Goods,GRU,classification,1,,,,0.10421364855284106,0.6216216216216216,0.6052631578947368,0.6388888888888888,0.5625,0.5714285714285714,0.33097897779259655,0.6086956521739131,0.45161290322580644,0.9333333333333333,1188,398,42,64,21,0.145,0.33097897779259655,True
ABBV,Healthcare,GRU,classification,1,,,,0.397705839334203,0.56,0.875,0.4117647058823529,0.65625,0.6190476190476191,0.30515145240827973,0.2727272727272727,1.0,0.15789473684210525,1107,398,42,64,23,0.575,0.30515145240827973,True
AEP,Utilities,GRU,classification,1,,,,-0.024049303512194094,0.7021276595744681,0.5892857142857143,0.868421052631579,0.5625,0.6428571428571429,0.3124666267458028,0.7457627118644068,0.6111111111111112,0.9565217391304348,1188,398,42,64,27,0.33499999999999996,0.3124666267458028,True
AGFS,Conglomerates,GRU,classification,1,,,,0.0,0.5617977528089888,0.390625,1.0,0.390625,0.5952380952380952,0.4,0.6666666666666666,0.5,1.0,631,105,42,64,22,0.05,0.4,True
AMGN,Healthcare,GRU,classification,1,,,,0.13937096857629283,0.1951219512195122,0.8,0.1111111111111111,0.484375,0.6190476190476191,0.2571104222523257,0.5789473684210527,0.5,0.6875,1188,398,42,64,21,0.27999999999999997,0.2571104222523257,True
AMZN,Services,GRU,classification,1,,,,0.11468185313135519,0.05555555555555555,1.0,0.02857142857142857,0.46875,0.6904761904761905,0.40789986277743745,0.5806451612903226,0.8181818181818182,0.45,1188,398,42,64,22,0.44499999999999995,0.40789986277743745,True
BA,Industrial Goods,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.453125,0.6190476190476191,0.30515145240827973,0.2727272727272727,1.0,0.15789473684210525,1188,398,42,64,21,0.4599999999999999,0.30515145240827973,True
BABA,Services,GRU,classification,1,,,,0.17407765595569782,0.11428571428571428,1.0,0.06060606060606061,0.515625,0.6904761904761905,0.3362055740676945,0.5806451612903226,0.6,0.5625,675,149,42,64,21,0.26999999999999996,0.3362055740676945,True
BAC,Financial,GRU,classification,1,,,,0.0,0.5934065934065934,0.421875,1.0,0.421875,0.5238095238095238,0.21606040536255616,0.6296296296296297,0.4722222222222222,0.9444444444444444,1188,398,42,64,21,0.25499999999999995,0.21606040536255616,True
