company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,classification,10,1,1,0.7737977238156688,0.6833047696522304,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,2,0.7272421043721875,0.6820484626860845,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,3,0.6599903852496315,0.7080154929842267,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,4,0.7137047504659874,0.9653007075900123,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,5,0.6519618259003414,0.8959388789676485,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,6,0.6511832260007235,1.2456638926551455,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,7,0.6363315168936649,0.8174568130856469,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,8,0.622978084650471,0.9946208284014747,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,9,0.6236975179545244,1.4125872453053792,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,10,0.6146936084157858,1.2858966134843373,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,11,0.5794756455936624,1.1945057312647502,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,12,0.5954239311529763,0.8370410033634731,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,13,0.5643617343063929,1.7117348739079066,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,14,0.5655224496994785,0.9261152460461571,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,15,0.5458140461588624,1.0535965647016252,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,16,0.5517697443614653,0.7833482651483445,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,17,0.5372403416801338,1.1670595010121663,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,18,0.5414086423028055,1.0070725963229226,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,19,0.5405463287279234,1.4766273839133126,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,20,0.5391792572622922,1.16457242057437,398,42,64
AAPL,Consumer Goods,LSTM,classification,10,1,21,0.4779752218843105,1.2474457649957567,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,1,0.716738725726928,0.8000241461254302,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,2,0.711424459464586,2.2090011664799283,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,3,0.6928911182149571,2.6989204315912154,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,4,0.6591659320059733,1.9795394057319278,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,5,0.6538444943164461,3.45277924764724,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,6,0.6447597211928823,3.9605589594159807,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,7,0.6275842249692984,1.9862906138102214,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,8,0.6471421700626162,3.621912751879011,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,9,0.5977601307121354,3.3696473439534507,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,10,0.5877438960362918,4.232609930492583,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,11,0.5731326108002782,5.174820559365409,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,12,0.5599720310326197,5.493982315063477,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,13,0.5389172036444122,6.660333451770601,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,14,0.5583348657617617,5.220627512250628,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,15,0.5210896305103397,8.327084586733864,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,16,0.5153305127692582,5.592518761044457,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,17,0.47479586280770036,8.563312712169829,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,18,0.45917668968588865,7.1408779961722235,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,19,0.4345136981214111,8.861289796375093,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,20,0.43257525907689004,9.105768839518229,398,42,64
ABB,Industrial Goods,LSTM,classification,10,1,21,0.3917746260837095,8.654676528204055,398,42,64
ABBV,Healthcare,LSTM,classification,10,1,1,0.7092737834058215,0.7013159564563206,398,42,64
ABBV,Healthcare,LSTM,classification,10,1,2,0.7018110218958639,1.2449131125495547,398,42,64
ABBV,Healthcare,LSTM,classification,10,1,3,0.671169043186322,0.905780797912961,398,42,64
ABBV,Healthcare,LSTM,classification,10,1,4,0.653614763638482,0.6934280849638439,398,42,64
ABBV,Healthcare,LSTM,classification,10,1,5,0.6634425167462334,0.9314077695210775,398,42,64
