company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric,isotonic_used
AAPL,Consumer Goods,BiGRU,classification,5,,,,0.09379580992210836,0.5396825396825397,0.53125,0.5483870967741935,0.546875,0.6190476190476191,0.3091410387156351,0.6923076923076923,0.5625,0.9,1184,398,42,64,11,0.33499999999999996,0.3091410387156351,True
ABB,Industrial Goods,BiGRU,classification,5,,,,-0.20259206962659404,0.4594594594594595,0.3617021276595745,0.6296296296296297,0.375,0.5,0.31622776601683794,0.5714285714285714,0.4,1.0,1184,398,42,64,11,0.05,0.31622776601683794,True
ABBV,Healthcare,BiGRU,classification,5,,,,0.4603174603174603,0.71875,0.6388888888888888,0.8214285714285714,0.71875,0.8333333333333334,0.544656513504933,0.5333333333333333,1.0,0.36363636363636365,1103,398,42,64,12,0.30999999999999994,0.544656513504933,True
AEP,Utilities,BiGRU,classification,5,,,,0.49265895172303803,0.8,0.7272727272727273,0.8888888888888888,0.75,0.7619047619047619,0.49348842518528757,0.8333333333333334,0.7352941176470589,0.9615384615384616,1184,398,42,64,12,0.33499999999999996,0.49348842518528757,True
AGFS,Conglomerates,BiGRU,classification,5,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,0.7380952380952381,0.5847053462046862,0.7317073170731707,0.5769230769230769,1.0,627,105,42,64,15,0.05,0.5847053462046862,True
AMGN,Healthcare,BiGRU,classification,5,,,,0.2545468267653503,0.34782608695652173,0.8888888888888888,0.21621621621621623,0.53125,0.8095238095238095,0.5773502691896257,0.6,1.0,0.42857142857142855,1184,398,42,64,12,0.26999999999999996,0.5773502691896257,True
AMZN,Services,BiGRU,classification,5,,,,0.1467418177209373,0.5915492957746479,0.75,0.4883720930232558,0.546875,0.7142857142857143,0.381356384904845,0.7777777777777778,0.75,0.8076923076923077,1184,398,42,64,15,0.5049999999999999,0.381356384904845,True
BA,Industrial Goods,BiGRU,classification,5,,,,0.12756275329753713,0.2222222222222222,0.6666666666666666,0.13333333333333333,0.5625,0.7619047619047619,0.5545781024517099,0.7727272727272727,0.8947368421052632,0.68,1184,398,42,64,11,0.5049999999999999,0.5545781024517099,True
BABA,Services,BiGRU,classification,5,,,,0.2,0.18181818181818182,1.0,0.1,0.4375,0.6190476190476191,0.4482758620689655,0.6190476190476191,0.4482758620689655,1.0,671,149,42,64,11,0.05,0.4482758620689655,True
BAC,Financial,BiGRU,classification,5,,,,0.1978273656162033,0.7272727272727273,0.6274509803921569,0.8648648648648649,0.625,0.6190476190476191,0.39285714285714285,0.6190476190476191,0.4642857142857143,0.9285714285714286,1184,398,42,64,11,0.08499999999999999,0.39285714285714285,True
BBL,Basic Matierials,BiGRU,classification,5,,,,0.031199984310868976,0.37735849056603776,0.2777777777777778,0.5882352941176471,0.484375,0.7857142857142857,0.646886032050112,0.7906976744186046,0.6538461538461539,1.0,1184,398,42,64,11,0.05,0.646886032050112,True
BCH,Financial,BiGRU,classification,5,,,,0.1556997888323046,0.3888888888888889,0.4375,0.35,0.65625,0.6190476190476191,0.3892494720807615,0.42857142857142855,1.0,0.2727272727272727,1184,398,42,64,11,0.6699999999999999,0.3892494720807615,True
BHP,Basic Matierials,BiGRU,classification,5,,,,0.059322539724914275,0.36363636363636365,0.2962962962962963,0.47058823529411764,0.5625,0.6666666666666666,0.17916128329552333,0.2222222222222222,0.6666666666666666,0.13333333333333333,1184,398,42,64,11,0.3499999999999999,0.17916128329552333,True
