company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric,isotonic_used
AAPL,Consumer Goods,LSTM,classification,1,,,,-0.019772733298509516,0.47619047619047616,0.42857142857142855,0.5357142857142857,0.484375,0.5714285714285714,0.2773500981126146,0.7,0.5384615384615384,1.0,1193,398,42,64,20,0.05,0.2773500981126146,True
ABB,Industrial Goods,LSTM,classification,1,,,,0.11142851539596063,0.6746987951807228,0.5957446808510638,0.7777777777777778,0.578125,0.5238095238095238,0.2681496363223023,0.5833333333333334,0.42424242424242425,0.9333333333333333,1193,398,42,64,20,0.13,0.2681496363223023,True
ABBV,Healthcare,LSTM,classification,1,,,,0.13064015512799124,0.4528301886792453,0.631578947368421,0.35294117647058826,0.546875,0.7380952380952381,0.5336944082171268,0.5925925925925926,1.0,0.42105263157894735,1112,398,42,64,20,0.36499999999999994,0.5336944082171268,True
AEP,Utilities,LSTM,classification,1,,,,-0.1572471042478079,0.6206896551724138,0.5510204081632653,0.7105263157894737,0.484375,0.6190476190476191,0.2201917371487821,0.7037037037037037,0.6129032258064516,0.8260869565217391,1193,398,42,64,20,0.42999999999999994,0.2201917371487821,True
AGFS,Conglomerates,LSTM,classification,1,,,,-0.10894095588038444,0.12121212121212122,0.25,0.08,0.546875,0.6190476190476191,0.4306443375391641,0.68,0.5151515151515151,1.0,636,110,42,64,20,0.05,0.4306443375391641,True
AMGN,Healthcare,LSTM,classification,1,,,,0.11617858011292062,0.39215686274509803,0.6666666666666666,0.2777777777777778,0.515625,0.6904761904761905,0.3535533905932738,0.3157894736842105,1.0,0.1875,1193,398,42,64,20,0.5049999999999999,0.3535533905932738,True
AMZN,Services,LSTM,classification,1,,,,0.11468185313135519,0.05555555555555555,1.0,0.02857142857142857,0.46875,0.6428571428571429,0.3855498004780299,0.4,1.0,0.25,1193,398,42,64,20,0.43999999999999995,0.3855498004780299,True
BA,Industrial Goods,LSTM,classification,1,,,,0.0,0.7070707070707071,0.546875,1.0,0.546875,0.5714285714285714,0.33411580702345967,0.6785714285714286,0.5135135135135135,1.0,1193,398,42,64,20,0.05,0.33411580702345967,True
BABA,Services,LSTM,classification,1,,,,0.06702466256013999,0.1111111111111111,0.6666666666666666,0.06060606060606061,0.5,0.5,0.2883749003642362,0.6037735849056604,0.43243243243243246,1.0,680,154,42,64,20,0.05,0.2883749003642362,True
BAC,Financial,LSTM,classification,1,,,,0.02858745114794397,0.35555555555555557,0.4444444444444444,0.2962962962962963,0.546875,0.5714285714285714,0.13762047064079508,0.5263157894736842,0.5,0.5555555555555556,1193,398,42,64,20,0.36499999999999994,0.13762047064079508,True
