company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,classification,10,5,1,0.7049496799857173,0.8385956259000868,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,2,0.559571237120796,1.4356277272814797,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,3,0.46667500177220483,2.0757716610318138,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,4,0.3943403638787006,2.466296990712484,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,5,0.3175416052640982,3.4930740083966936,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,6,0.2675770590053731,2.999068260192871,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,7,0.2426632753568678,5.522744178771973,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,8,0.23817031991541684,4.294283935001919,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,9,0.18628275476807926,4.5630874406723745,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,10,0.2083317450243025,6.228408881596157,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,11,0.35047029037421673,4.338472093854632,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,12,0.16814663017814482,6.614047867911203,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,13,0.14960795835633972,6.443211827959333,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,14,0.07783704082570483,6.118044081188383,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,15,0.065818799369449,6.724997384207589,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,16,0.05323723254341576,6.889334542410714,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,17,0.047676254120004834,7.490020479474749,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,18,0.04226206383438565,7.521249816531227,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,19,0.04264386206041628,7.967514810108003,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,20,0.03331537819912086,7.9353741237095425,398,42,64
AAPL,Consumer Goods,GRU,classification,10,5,21,0.0373210544187819,8.7606292452131,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,1,0.6548190790804187,1.1540506425358,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,2,0.5515689520380604,2.181122144063314,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,3,0.49083396253274314,2.904555332093012,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,4,0.4285839417921239,3.1468632448287237,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,5,0.3598012551290905,2.803517841157459,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,6,0.30620431031414014,3.043700252260481,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,7,0.2464739667186186,4.535393578665597,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,8,0.239180943212617,2.9894189948127385,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,9,0.2746350204375521,7.30822263445173,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,10,0.19391668093713685,4.691939467475528,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,11,0.20145087827689684,5.471104917072115,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,12,0.24561049323061004,5.2244279725211005,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,13,0.13147035595871995,4.232575121380034,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,14,0.08882529844047886,5.324111756824312,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,15,0.06984490408894405,5.919988450549898,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,16,0.05758178437212903,6.4640708196730845,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,17,0.05149758928666013,6.234948453449068,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,18,0.049504145224059194,6.923531191689627,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,19,0.03838726083266001,6.752841563451858,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,20,0.03628539957279274,6.728635606311617,398,42,64
ABB,Industrial Goods,GRU,classification,10,5,21,0.032072829997550754,7.277178877875919,398,42,64
ABBV,Healthcare,GRU,classification,10,5,1,0.659687902759667,1.00507991086869,398,42,64
ABBV,Healthcare,GRU,classification,10,5,2,0.5595595746783156,1.3573428960073561,398,42,64
ABBV,Healthcare,GRU,classification,10,5,3,0.4892638568303094,1.8583925338018508,398,42,64
ABBV,Healthcare,GRU,classification,10,5,4,0.40697063872562583,2.0029123851231168,398,42,64
