company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric,isotonic_used
AAPL,Consumer Goods,GRU,classification,5,,,,0.013454429991568964,0.24390243902439024,0.5,0.16129032258064516,0.515625,0.7142857142857143,0.4403855060505442,0.7272727272727273,0.6666666666666666,0.8,1194,398,42,64,21,0.24,0.4403855060505442,True
ABB,Industrial Goods,GRU,classification,5,,,,0.2596059785840372,0.2,1.0,0.1111111111111111,0.625,0.8095238095238095,0.5773502691896257,0.6,1.0,0.42857142857142855,1194,398,42,64,21,0.29,0.5773502691896257,True
ABBV,Healthcare,GRU,classification,5,,,,-0.02262814111007102,0.6,0.43548387096774194,0.9642857142857143,0.4375,0.8333333333333334,0.544656513504933,0.5333333333333333,1.0,0.36363636363636365,1113,398,42,64,29,0.25499999999999995,0.544656513504933,True
AEP,Utilities,GRU,classification,5,,,,0.42857142857142855,0.782608695652174,0.6428571428571429,1.0,0.6875,0.7857142857142857,0.570087712549569,0.8524590163934426,0.7428571428571429,1.0,1194,398,42,64,21,0.05,0.570087712549569,True
AGFS,Conglomerates,GRU,classification,5,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,0.35714285714285715,0.0,0.5263157894736842,0.35714285714285715,1.0,637,115,42,64,21,0.05,0.0,True
AMGN,Healthcare,GRU,classification,5,,,,0.43821088921503637,0.7428571428571429,0.7878787878787878,0.7027027027027027,0.71875,0.7142857142857143,0.5547001962252291,0.7,0.5384615384615384,1.0,1194,398,42,64,25,0.05,0.5547001962252291,True
AMZN,Services,GRU,classification,5,,,,0.15497838448274465,0.13043478260869565,1.0,0.06976744186046512,0.375,0.7619047619047619,0.5516187241049897,0.782608695652174,0.9,0.6923076923076923,1194,398,42,64,21,0.36499999999999994,0.5516187241049897,True
BA,Industrial Goods,GRU,classification,5,,,,0.3509664885977756,0.47619047619047616,0.8333333333333334,0.3333333333333333,0.65625,0.7857142857142857,0.5734966396779716,0.8085106382978723,0.8636363636363636,0.76,1194,398,42,64,21,0.30499999999999994,0.5734966396779716,True
BABA,Services,GRU,classification,5,,,,0.09759000729485331,0.04878048780487805,1.0,0.025,0.390625,0.7619047619047619,0.5296964548820617,0.6875,0.5789473684210527,0.8461538461538461,681,159,42,64,21,0.13,0.5296964548820617,True
BAC,Financial,GRU,classification,5,,,,0.330845379315203,0.7123287671232876,0.7222222222222222,0.7027027027027027,0.671875,0.6190476190476191,0.39285714285714285,0.6190476190476191,0.4642857142857143,0.9285714285714286,1194,398,42,64,21,0.075,0.39285714285714285,True
BBL,Basic Matierials,GRU,classification,5,,,,0.19343593637694353,0.4533333333333333,0.29310344827586204,1.0,0.359375,0.6666666666666666,0.4912131132010272,0.7083333333333334,0.5483870967741935,1.0,1194,398,42,64,21,0.05,0.4912131132010272,True
BCH,Financial,GRU,classification,5,,,,0.1936659327462977,0.5142857142857142,0.36,0.9,0.46875,0.8095238095238095,0.6497881580558778,0.7894736842105263,0.9375,0.6818181818181818,1194,398,42,64,21,0.5049999999999999,0.6497881580558778,True
BHP,Basic Matierials,GRU,classification,5,,,,0.33275387468860207,0.5151515151515151,0.3469387755102041,1.0,0.5,0.6904761904761905,0.4121880516208468,0.6486486486486487,0.5454545454545454,0.8,1194,398,42,64,21,0.25499999999999995,0.4121880516208468,True
BP,Basic Matierials,GRU,classification,5,,,,0.2092396837740604,0.3225806451612903,0.625,0.21739130434782608,0.671875,0.7619047619047619,0.49894005298290917,0.6875,0.7333333333333333,0.6470588235294118,1194,398,42,64,21,0.33499999999999996,0.49894005298290917,True
BRK-A,Financial,GRU,classification,5,,,,0.22880833080875376,0.17647058823529413,1.0,0.0967741935483871,0.5625,0.7380952380952381,0.4,0.56,0.7,0.4666666666666667,1194,398,42,64,21,0.37999999999999995,0.4,True
BSAC,Financial,GRU,classification,5,,,,0.2973530227103377,0.5238095238095238,0.5789473684210527,0.4782608695652174,0.6875,0.7857142857142857,0.5661773810827602,0.7567567567567568,0.7368421052631579,0.7777777777777778,1194,398,42,64,21,0.25499999999999995,0.5661773810827602,True
BUD,Consumer Goods,GRU,classification,5,,,,0.17407765595569785,0.16666666666666666,1.0,0.09090909090909091,0.375,0.7380952380952381,0.5159828856858706,0.717948717948718,0.6086956521739131,0.875,1194,398,42,64,21,0.10999999999999999,0.5159828856858706,True
C,Financial,GRU,classification,5,,,,0.15422731972837422,0.27906976744186046,0.75,0.17142857142857143,0.515625,0.6666666666666666,0.36051834183722337,0.5882352941176471,0.47619047619047616,0.7692307692307693,1194,398,42,64,21,0.16999999999999998,0.36051834183722337,True
