company,sector,model_type,problem_type,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiLSTM,classification,,,,0.20296801050667204,0.6391752577319587,0.5,0.8857142857142857,0.5512820512820513,468,312,78,78,20
ABBV,Healthcare,BiLSTM,classification,,,,0.3452696714118694,0.7575757575757576,0.625,0.9615384615384616,0.6595744680851063,283,189,47,47,21
AMGN,Healthcare,BiLSTM,classification,,,,0.0,0.0,0.0,0.0,0.4583333333333333,293,196,49,48,17
AMZN,Services,BiLSTM,classification,,,,0.0,0.0,0.0,0.0,0.4605263157894737,458,306,76,76,16
BA,Industrial Goods,BiLSTM,classification,,,,0.4991448599864115,0.7868852459016393,0.7272727272727273,0.8571428571428571,0.75,315,211,52,52,21
BABA,Services,BiLSTM,classification,,,,0.0,0.6756756756756757,0.5102040816326531,1.0,0.5102040816326531,245,157,39,49,16
BAC,Financial,BiLSTM,classification,,,,0.036860489038724284,0.5135135135135135,0.41304347826086957,0.6785714285714286,0.4857142857142857,425,284,71,70,18
BHP,Basic Matierials,BiLSTM,classification,,,,0.0,0.0,0.0,0.0,0.5777777777777777,183,111,27,45,16
BP,Basic Matierials,BiLSTM,classification,,,,0.005945643676931176,0.52,0.38235294117647056,0.8125,0.42857142857142855,254,170,42,42,20
C,Financial,BiLSTM,classification,,,,0.031224411767498326,0.11428571428571428,0.5,0.06451612903225806,0.5633802816901409,429,287,71,71,16
CAT,Industrial Goods,BiLSTM,classification,,,,0.0,0.64,0.47058823529411764,1.0,0.47058823529411764,310,208,51,51,16
CELG,Healthcare,BiLSTM,classification,,,,0.1873364687500491,0.6363636363636364,0.5833333333333334,0.7,0.5932203389830508,357,239,59,59,19
CMCSA,Services,BiLSTM,classification,,,,0.0,0.0,0.0,0.0,0.5454545454545454,265,177,44,44,16
CSCO,Technology,BiLSTM,classification,,,,0.10846522890932808,0.631578947368421,0.5333333333333333,0.7741935483870968,0.5483870967741935,372,248,62,62,22
CVX,Basic Matierials,BiLSTM,classification,,,,0.0,0.0,0.0,0.0,0.5283018867924528,323,216,54,53,16
D,Utilities,BiLSTM,classification,,,,0.19985432597827887,0.6666666666666666,0.6086956521739131,0.7368421052631579,0.6056338028169014,427,285,71,71,19
DIS,Services,BiLSTM,classification,,,,0.0,0.0,0.0,0.0,0.38333333333333336,365,244,61,60,16
FB,Technology,BiLSTM,classification,,,,0.19642323088609207,0.5405405405405406,0.7407407407407407,0.425531914893617,0.5584415584415584,463,309,77,77,17
GE,Industrial Goods,BiLSTM,classification,,,,0.15253477177414312,0.35294117647058826,0.75,0.23076923076923078,0.5,401,268,67,66,19
GOOG,Technology,BiLSTM,classification,,,,0.0,0.0,0.0,0.0,0.4605263157894737,460,308,76,76,21
HD,Services,BiLSTM,classification,,,,0.07073991553074502,0.34146341463414637,0.7,0.22580645161290322,0.4489795918367347,295,197,49,49,23
INTC,Technology,BiLSTM,classification,,,,0.0,0.6732673267326733,0.5074626865671642,1.0,0.5074626865671642,404,270,67,67,16
JNJ,Healthcare,BiLSTM,classification,,,,0.0,0.7311827956989247,0.576271186440678,1.0,0.576271186440678,356,238,59,59,19
JPM,Financial,BiLSTM,classification,,,,0.011768913544050106,0.5952380952380952,0.4807692307692308,0.78125,0.4925373134328358,403,269,67,67,18
KO,Consumer Goods,BiLSTM,classification,,,,0.2276552724557968,0.4444444444444444,0.7692307692307693,0.3125,0.5614035087719298,344,230,57,57,21
LMT,Industrial Goods,BiLSTM,classification,,,,0.0,0.5882352941176471,0.4166666666666667,1.0,0.4166666666666667,193,116,29,48,16
MA,Financial,BiLSTM,classification,,,,0.0,0.7428571428571429,0.5909090909090909,1.0,0.5909090909090909,264,176,44,44,17
MCD,Services,BiLSTM,classification,,,,0.17076980715181317,0.37209302325581395,0.7272727272727273,0.25,0.5344827586206896,351,235,58,58,20
MDT,Healthcare,BiLSTM,classification,,,,0.0,0.696969696969697,0.5348837209302325,1.0,0.5348837209302325,173,104,26,43,25
MMM,Industrial Goods,BiLSTM,classification,,,,0.06286946134619315,0.21428571428571427,0.6,0.13043478260869565,0.5111111111111111,225,144,36,45,16
MO,Consumer Goods,BiLSTM,classification,,,,0.0,0.6956521739130435,0.5333333333333333,1.0,0.5333333333333333,225,144,36,45,22
MRK,Healthcare,BiLSTM,classification,,,,0.0,0.6923076923076923,0.5294117647058824,1.0,0.5294117647058824,311,208,52,51,22
MSFT,Technology,BiLSTM,classification,,,,0.16268389404829248,0.45161290322580644,0.7,0.3333333333333333,0.5405405405405406,447,299,74,74,18
NVS,Healthcare,BiLSTM,classification,,,,0.16643566632465154,0.1,1.0,0.05263157894736842,0.5384615384615384,158,96,23,39,19
ORCL,Technology,BiLSTM,classification,,,,0.0,0.0,0.0,0.0,0.5333333333333333,273,183,45,45,16
PCLN,Services,BiLSTM,classification,,,,0.0,0.0,0.0,0.0,0.4264705882352941,408,272,68,68,16
PEP,Consumer Goods,BiLSTM,classification,,,,0.0,0.0,0.0,0.0,0.5,222,143,35,44,18
PFE,Healthcare,BiLSTM,classification,,,,-0.07258661863112977,0.17142857142857143,0.375,0.1111111111111111,0.5,348,232,58,58,16
PG,Consumer Goods,BiLSTM,classification,,,,0.022222222222222223,0.12121212121212122,0.6666666666666666,0.06666666666666667,0.3958333333333333,288,192,48,48,16
SLB,Basic Matierials,BiLSTM,classification,,,,0.0316069770620507,0.4444444444444444,0.36363636363636365,0.5714285714285714,0.5,204,132,32,40,20
SO,Utilities,BiLSTM,classification,,,,-0.22955225023722253,0.4,0.42105263157894735,0.38095238095238093,0.38461538461538464,159,96,24,39,16
