company,sector,model_type,problem_type,sequence_length,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiLSTM,classification,12,1,0.7358594078284043,0.685243777739696,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,2,0.6824937646205609,0.6862515425070738,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,3,0.6563976712715931,0.6837838475520794,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,4,0.6556851818011358,0.6780819999865997,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,5,0.6496800765013083,0.6737542045422089,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,6,0.6364320440170093,0.6830334082627908,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,7,0.6430414105073,0.7081828927382444,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,8,0.6342105605663397,0.7121860965704306,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,9,0.6279097291139456,0.719281323445149,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,10,0.6194161742161481,0.7452954894457108,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,11,0.615955481162438,0.7377314888514005,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,12,0.6171920528778663,0.713202572785891,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,13,0.5989963809649149,0.7651144510660416,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,14,0.6036315086560372,0.8224132657051086,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,15,0.5739478147946872,0.8085709840823443,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,16,0.5831699386621133,0.8236355873254629,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,17,0.5675063240222442,0.9486933793777075,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,18,0.5711239056709485,1.0249338547388713,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,19,0.5717474604264284,1.1428349721126068,312,78,78
AAPL,Consumer Goods,BiLSTM,classification,12,20,0.5573549331762851,1.2403830962303357,312,78,78
ABBV,Healthcare,BiLSTM,classification,12,1,0.683285500006701,0.7010513100218265,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,2,0.6570227404750845,0.6980633951248006,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,3,0.6435927505846377,0.6964151542237464,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,4,0.644012623363071,0.6933737283057355,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,5,0.6467822310785768,0.689425713204323,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,6,0.6169401864526133,0.6870813838979031,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,7,0.630069702706009,0.6879031265035589,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,8,0.610964144033099,0.6908076519661761,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,9,0.61060847144909,0.6957713200690898,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,10,0.5966562817967127,0.7018007407797143,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,11,0.6000128842535473,0.7403574750778523,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,12,0.5938183510745013,0.7560906435580964,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,13,0.5764583610983752,0.7770815440948974,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,14,0.5769307903511814,0.8013523677562145,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,15,0.5591434521019143,0.7629939875704177,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,16,0.5687718195889993,0.7671753852925403,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,17,0.5570572772354045,0.7842967827269371,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,18,0.5609864554707966,0.777773677034581,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,19,0.5468551891821402,0.7543176780355737,189,47,47
ABBV,Healthcare,BiLSTM,classification,12,20,0.5273468891779581,0.759908527769941,189,47,47
