company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,GRU,classification,1,,,,0.0,0.6194690265486725,0.44871794871794873,1.0,0.44871794871794873,468,312,78,78,20,0.05,0.5688073394495413
ABBV,Healthcare,GRU,classification,1,,,,0.0,0.7123287671232876,0.5531914893617021,1.0,0.5531914893617021,283,189,47,47,20,0.05,0.6176470588235294
AMGN,Healthcare,GRU,classification,1,,,,0.19593809049400232,0.6545454545454545,0.6206896551724138,0.6923076923076923,0.6041666666666666,293,196,49,48,20,0.5199999999999999,0.7058823529411765
AMZN,Services,GRU,classification,1,,,,0.0,0.7008547008547008,0.5394736842105263,1.0,0.5394736842105263,458,306,76,76,20,0.43499999999999994,0.7079646017699115
BA,Industrial Goods,GRU,classification,1,,,,0.12249473587652784,0.1875,0.75,0.10714285714285714,0.5,315,211,52,52,20,0.635,0.7083333333333334
BABA,Services,GRU,classification,1,,,,0.11180339887498948,0.65625,0.525,0.875,0.5416666666666666,244,157,39,48,20,0.3449999999999999,0.6428571428571429
BAC,Financial,GRU,classification,1,,,,0.14002800840280097,0.5833333333333334,0.4117647058823529,1.0,0.42857142857142855,425,284,71,70,20,0.32499999999999996,0.7010309278350515
BHP,Basic Matierials,GRU,classification,1,,,,0.0,0.59375,0.4222222222222222,1.0,0.4222222222222222,183,111,27,45,20,0.5199999999999999,0.375
BP,Basic Matierials,GRU,classification,1,,,,0.0,0.5517241379310345,0.38095238095238093,1.0,0.38095238095238093,254,170,42,42,20,0.4099999999999999,0.6551724137931034
C,Financial,GRU,classification,1,,,,0.0,0.6078431372549019,0.43661971830985913,1.0,0.43661971830985913,429,287,71,71,20,0.185,0.7102803738317757
CAT,Industrial Goods,GRU,classification,1,,,,0.0,0.64,0.47058823529411764,1.0,0.47058823529411764,310,208,51,51,20,0.5549999999999999,0.5507246376811594
CELG,Healthcare,GRU,classification,1,,,,0.0,0.6741573033707865,0.5084745762711864,1.0,0.5084745762711864,357,239,59,59,20,0.31499999999999995,0.7415730337078652
CMCSA,Services,GRU,classification,1,,,,0.0,0.625,0.45454545454545453,1.0,0.45454545454545453,265,177,44,44,20,0.32999999999999996,0.7692307692307693
CSCO,Technology,GRU,classification,1,,,,-0.09622504486493763,0.611764705882353,0.48148148148148145,0.8387096774193549,0.46774193548387094,372,248,62,62,20,0.31499999999999995,0.6153846153846154
CVX,Basic Matierials,GRU,classification,1,,,,0.0,0.6410256410256411,0.4716981132075472,1.0,0.4716981132075472,323,216,54,53,20,0.5299999999999999,0.647887323943662
D,Utilities,GRU,classification,1,,,,0.08501677051087594,0.6981132075471698,0.5441176470588235,0.9736842105263158,0.5492957746478874,427,285,71,71,20,0.39499999999999996,0.7592592592592593
DIS,Services,GRU,classification,1,,,,0.0,0.7628865979381443,0.6166666666666667,1.0,0.6166666666666667,365,244,61,60,20,0.27499999999999997,0.7032967032967034
FB,Technology,GRU,classification,1,,,,0.2526455763199557,0.25925925925925924,1.0,0.14893617021276595,0.4805194805194805,463,309,77,77,20,0.235,0.7102803738317757
GE,Industrial Goods,GRU,classification,1,,,,0.15253477177414312,0.35294117647058826,0.75,0.23076923076923078,0.5,401,268,67,66,20,0.27999999999999997,0.6744186046511628
GOOG,Technology,GRU,classification,1,,,,0.1448720378750336,0.24489795918367346,0.75,0.14634146341463414,0.5131578947368421,460,308,76,76,20,0.33499999999999996,0.6875
HD,Services,GRU,classification,1,,,,-0.15549809010118867,0.7027027027027027,0.6046511627906976,0.8387096774193549,0.5510204081632653,295,197,49,49,20,0.30999999999999994,0.7123287671232876
INTC,Technology,GRU,classification,1,,,,0.12976345249437332,0.6804123711340206,0.5238095238095238,0.9705882352941176,0.5373134328358209,404,270,67,67,20,0.295,0.6530612244897959
JNJ,Healthcare,GRU,classification,1,,,,0.0,0.7311827956989247,0.576271186440678,1.0,0.576271186440678,356,238,59,59,20,0.3449999999999999,0.6896551724137931
JPM,Financial,GRU,classification,1,,,,0.0,0.6464646464646465,0.47761194029850745,1.0,0.47761194029850745,403,269,67,67,20,0.43999999999999995,0.6458333333333334
KO,Consumer Goods,GRU,classification,1,,,,-0.1267731382092775,0.5945945945945946,0.5238095238095238,0.6875,0.47368421052631576,344,230,57,57,20,0.49999999999999994,0.6909090909090909
LMT,Industrial Goods,GRU,classification,1,,,,0.0,0.5882352941176471,0.4166666666666667,1.0,0.4166666666666667,193,116,29,48,20,0.05,0.7391304347826086
MA,Financial,GRU,classification,1,,,,0.0,0.7428571428571429,0.5909090909090909,1.0,0.5909090909090909,264,176,44,44,20,0.05,0.7246376811594203
MCD,Services,GRU,classification,1,,,,0.2600157169805762,0.35,0.875,0.21875,0.5517241379310345,351,235,58,58,20,0.3449999999999999,0.6301369863013698
