company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,classification,12,1,1,0.7652919888496399,0.825614047356141,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,2,0.7584257752467425,0.6905201658224448,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,3,0.7349548232861054,0.6777579814959795,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,4,0.6602548009310013,0.691862451724517,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,5,0.6400626210065988,0.8245219664695935,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,6,0.6255040275744903,0.8731269408494998,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,7,0.6216640487695352,0.716191094655257,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,8,0.6253077036295182,0.8134559759726891,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,9,0.6455373366673788,1.3002183131682568,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,10,0.6238399942715963,0.7091893186936011,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,11,0.6314824834848062,1.280027062464983,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,12,0.6229790219893823,1.1687443195245204,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,13,0.6128877600034078,0.7858173893048213,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,14,0.5866703360508649,0.80984293956023,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,15,0.5702135837995089,1.2741539783966846,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,16,0.5535305684957749,2.027747991757515,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,17,0.5751777994327056,0.8076246243256789,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,18,0.5979104928481274,0.991964272963695,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,19,0.5861247670956147,2.0581028247490907,312,78,78
AAPL,Consumer Goods,GRU,classification,12,1,20,0.5362288829607841,2.1152181869898086,312,78,78
ABBV,Healthcare,GRU,classification,12,1,1,0.7787224281401861,0.7436186125937928,189,47,47
ABBV,Healthcare,GRU,classification,12,1,2,0.7661220242106725,0.7154248382182832,189,47,47
ABBV,Healthcare,GRU,classification,12,1,3,0.6896207200156318,0.7067877764397479,189,47,47
ABBV,Healthcare,GRU,classification,12,1,4,0.6403828796255525,0.6981809177297227,189,47,47
ABBV,Healthcare,GRU,classification,12,1,5,0.6117030356926892,0.6927321185456946,189,47,47
ABBV,Healthcare,GRU,classification,12,1,6,0.6370066208814187,0.6928952729448359,189,47,47
ABBV,Healthcare,GRU,classification,12,1,7,0.6157428114502518,0.6921075531776916,189,47,47
ABBV,Healthcare,GRU,classification,12,1,8,0.6318845436686561,0.698446807709146,189,47,47
ABBV,Healthcare,GRU,classification,12,1,9,0.6457306313767004,0.6932443075991691,189,47,47
ABBV,Healthcare,GRU,classification,12,1,10,0.6205631674282135,0.6909287343633935,189,47,47
ABBV,Healthcare,GRU,classification,12,1,11,0.6039634264966167,0.6933970540127856,189,47,47
ABBV,Healthcare,GRU,classification,12,1,12,0.6084022988718023,0.6920861322829064,189,47,47
ABBV,Healthcare,GRU,classification,12,1,13,0.5898991656051111,0.7084128146475934,189,47,47
ABBV,Healthcare,GRU,classification,12,1,14,0.5990364545236819,0.6880086406748346,189,47,47
ABBV,Healthcare,GRU,classification,12,1,15,0.6505019712069678,0.6864524534408082,189,47,47
ABBV,Healthcare,GRU,classification,12,1,16,0.5981790625229084,0.6883348036319652,189,47,47
ABBV,Healthcare,GRU,classification,12,1,17,0.5903500384754605,0.7021384137742063,189,47,47
ABBV,Healthcare,GRU,classification,12,1,18,0.5780122705868312,0.7139399038984421,189,47,47
ABBV,Healthcare,GRU,classification,12,1,19,0.5421415794463385,0.6984454710432824,189,47,47
ABBV,Healthcare,GRU,classification,12,1,20,0.5366984079123804,0.6972144144646665,189,47,47
AMGN,Healthcare,GRU,classification,12,1,1,0.7963673484568693,0.6815917832510812,196,49,48
AMGN,Healthcare,GRU,classification,12,1,2,0.760282172232258,0.7296835865293231,196,49,48
AMGN,Healthcare,GRU,classification,12,1,3,0.7190901661405757,0.7452619623164741,196,49,48
AMGN,Healthcare,GRU,classification,12,1,4,0.7343627761821357,0.6909308409204289,196,49,48
AMGN,Healthcare,GRU,classification,12,1,5,0.6835863213149869,0.6807667564372627,196,49,48
AMGN,Healthcare,GRU,classification,12,1,6,0.6718155656542096,0.7097515366515335,196,49,48
AMGN,Healthcare,GRU,classification,12,1,7,0.6489836768228181,0.7654269860715283,196,49,48
AMGN,Healthcare,GRU,classification,12,1,8,0.6566086435804561,0.7384269042890899,196,49,48
AMGN,Healthcare,GRU,classification,12,1,9,0.6238577110426766,1.0404376740358314,196,49,48
AMGN,Healthcare,GRU,classification,12,1,10,0.6161083226301232,0.7800604409101058,196,49,48
AMGN,Healthcare,GRU,classification,12,1,11,0.7410115496236451,0.7713311168612266,196,49,48
AMGN,Healthcare,GRU,classification,12,1,12,0.6616113015583583,0.7891413338330328,196,49,48
AMGN,Healthcare,GRU,classification,12,1,13,0.6197361909613317,0.8357281368605944,196,49,48
AMGN,Healthcare,GRU,classification,12,1,14,0.5915125003274606,0.8262517598210549,196,49,48
AMGN,Healthcare,GRU,classification,12,1,15,0.5655282194517097,0.9603596414838519,196,49,48
AMGN,Healthcare,GRU,classification,12,1,16,0.5364941559275802,1.0377199394362313,196,49,48
AMGN,Healthcare,GRU,classification,12,1,17,0.5271539517811367,1.297966487553655,196,49,48
AMGN,Healthcare,GRU,classification,12,1,18,0.5606278260143436,1.1254075935908727,196,49,48
AMGN,Healthcare,GRU,classification,12,1,19,0.5335747429302761,1.2721631964858697,196,49,48
AMGN,Healthcare,GRU,classification,12,1,20,0.5254597172749286,1.3247311504519717,196,49,48
AMZN,Services,GRU,classification,12,1,1,0.8206568523949268,0.6935152756540399,306,76,76
AMZN,Services,GRU,classification,12,1,2,0.7131656260272257,0.6960575361000864,306,76,76
AMZN,Services,GRU,classification,12,1,3,0.710586229180978,0.9525385279404489,306,76,76
