company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,LSTM,classification,5,,,,0.19887358799632304,0.5633802816901409,0.5714285714285714,0.5555555555555556,0.6025641025641025,468,307,73,78,16,0.5149999999999999,0.56
ABBV,Healthcare,LSTM,classification,5,,,,0.0,0.6176470588235294,0.44680851063829785,1.0,0.44680851063829785,283,184,42,47,16,0.05,0.6229508196721312
AMGN,Healthcare,LSTM,classification,5,,,,0.29440562132531906,0.7419354838709677,0.6764705882352942,0.8214285714285714,0.6666666666666666,293,191,44,48,22,0.4599999999999999,0.7391304347826086
AMZN,Services,LSTM,classification,5,,,,0.0,0.8217054263565892,0.6973684210526315,1.0,0.6973684210526315,458,301,71,76,29,0.05,0.8166666666666667
BA,Industrial Goods,LSTM,classification,5,,,,0.0,0.6133333333333333,0.4423076923076923,1.0,0.4423076923076923,315,206,47,52,17,0.48499999999999993,0.7384615384615385
BABA,Services,LSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.4489795918367347,245,152,34,49,21,0.61,0.7878787878787878
BAC,Financial,LSTM,classification,5,,,,-0.03695791904036689,0.6458333333333334,0.5344827586206896,0.8157894736842105,0.5142857142857142,425,279,66,70,19,0.33999999999999997,0.6944444444444444
BHP,Basic Matierials,LSTM,classification,5,,,,0.21658135747908777,0.38095238095238093,0.5,0.3076923076923077,0.7111111111111111,183,106,22,45,16,0.5149999999999999,0.5555555555555556
BP,Basic Matierials,LSTM,classification,5,,,,0.0,0.4727272727272727,0.30952380952380953,1.0,0.30952380952380953,254,165,37,42,17,0.48999999999999994,0.6538461538461539
C,Financial,LSTM,classification,5,,,,0.0,0.6851851851851852,0.5211267605633803,1.0,0.5211267605633803,429,282,66,71,19,0.35999999999999993,0.65
CAT,Industrial Goods,LSTM,classification,5,,,,0.0,0.7088607594936709,0.5490196078431373,1.0,0.5490196078431373,310,203,46,51,16,0.5299999999999999,0.6122448979591837
CELG,Healthcare,LSTM,classification,5,,,,0.0,0.6741573033707865,0.5084745762711864,1.0,0.5084745762711864,357,234,54,59,21,0.245,0.8524590163934426
