company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiGRU,classification,20,5,1,0.7393763286983548,0.6758912603060404,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,2,0.704688571805331,0.7406173064595177,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,3,0.6040933009368091,0.7389000682603746,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,4,0.5539371341317143,0.813654811609359,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,5,0.512538799089403,1.477504014968872,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,6,0.460801044301172,2.915251958937872,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,7,0.4546042048751409,2.9403079804920016,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,8,0.4053100518245793,4.320604256221226,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,9,0.3949371917762948,3.7908346425919306,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,10,0.392281640564377,4.363434223901658,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,11,0.300190443219851,5.803141979944138,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,12,0.2908201982927083,5.648461523510161,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,13,0.2954440804282625,5.332709380558559,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,14,0.2364672020302346,6.412934848240444,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,15,0.218442273649139,6.611463410513742,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,16,0.2120999742542679,7.655859901791527,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,1,0.7273569831896067,0.8083615444955372,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,2,0.5984077049260164,0.9807029849007016,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,3,0.5713356257084027,1.8832481645402455,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,4,0.524228964618702,3.248965853736514,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,5,0.4861956051546126,3.8345189094543457,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,6,0.5508727083853142,1.7687838815507435,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,7,0.5244015642446489,3.548286279042562,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,8,0.45483499327346905,5.3416402112869985,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,9,0.5735234153180865,2.833965925943284,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,10,0.4977731191408095,3.6837291490463984,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,11,0.40828890121312594,4.186172928128924,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,12,0.35717762302813216,4.770414113998413,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,13,0.3300670133576022,4.988097247623262,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,14,0.326554338948511,5.7592387199401855,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,15,0.28504985491347373,5.97164215360369,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,16,0.2692612091257195,6.680389949253628,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,1,0.7144654219474026,0.6792575716972351,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,2,0.6260031617466529,0.7207573992865426,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,3,0.5645722228678027,0.8703915278116862,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,4,0.5195519461404139,0.6299011338324774,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,5,0.4748336236980093,0.8188313189006987,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,6,0.45469825920747153,0.5228899163859231,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,7,0.5093320298134981,1.148136434100923,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,8,0.42834602588385196,0.4751360075814383,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,9,0.43221163794622947,0.4816740382285345,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,10,0.4093018460962641,0.6795637210210165,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,11,0.39574792120025387,0.6191291440100897,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,12,0.3999359147932062,1.2621850967407227,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,13,0.3868209562409463,0.49593199292818707,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,14,0.3387519958330758,0.6318086768899646,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,15,0.38245629605336406,0.4787002787703559,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,16,0.3886105840529629,0.5676230703081403,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,17,0.2925089798380981,0.5610828711873009,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,18,0.25870201643088353,0.6482917666435242,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,19,0.22491778815211963,0.7572943993977138,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,20,0.23990953837207812,0.6369098141079858,398,42,64
AEP,Utilities,BiGRU,classification,20,5,1,0.691090069224487,0.6829093070257277,398,42,64
AEP,Utilities,BiGRU,classification,20,5,2,0.5946741288331285,0.6504365461213248,398,42,64
AEP,Utilities,BiGRU,classification,20,5,3,0.5038473207746917,0.7695541381835938,398,42,64
AEP,Utilities,BiGRU,classification,20,5,4,0.4865701886726983,0.835879867985135,398,42,64
AEP,Utilities,BiGRU,classification,20,5,5,0.4408250220456914,1.0268514780771165,398,42,64
AEP,Utilities,BiGRU,classification,20,5,6,0.4211705726894302,1.210335637841906,398,42,64
AEP,Utilities,BiGRU,classification,20,5,7,0.39538976595030356,1.0002783366612025,398,42,64
AEP,Utilities,BiGRU,classification,20,5,8,0.3758747511023852,1.1551812149229503,398,42,64
AEP,Utilities,BiGRU,classification,20,5,9,0.40957454535829363,0.9849036704926264,398,42,64
AEP,Utilities,BiGRU,classification,20,5,10,0.378638851058543,1.030042120388576,398,42,64
AEP,Utilities,BiGRU,classification,20,5,11,0.33698987249453466,1.07199250800269,398,42,64
AEP,Utilities,BiGRU,classification,20,5,12,0.28947801476147905,1.159464140733083,398,42,64
AEP,Utilities,BiGRU,classification,20,5,13,0.2521775818649848,1.1681004280135745,398,42,64
AEP,Utilities,BiGRU,classification,20,5,14,0.22950806584789527,1.0757031667800176,398,42,64
AEP,Utilities,BiGRU,classification,20,5,15,0.23098696745819783,1.2553378712563288,398,42,64
AEP,Utilities,BiGRU,classification,20,5,16,0.2128010756106832,1.2122118813650948,398,42,64
AEP,Utilities,BiGRU,classification,20,5,17,0.18783663336805362,1.2518238084656852,398,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,1,0.6330860506920587,0.6866863994371324,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,2,0.41432990176337103,0.6805603873162043,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,3,0.35854547563053313,0.6837657037235442,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,4,0.30679854920932226,0.6801693780081612,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,5,0.26941628243241994,0.6911820939608982,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,6,0.2160362632501693,0.7232427483513242,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,7,0.18316596895456314,0.7625870761417207,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,8,0.17268439907403219,0.8649441741761708,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,9,0.17299490819374722,0.9242017382667178,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,10,0.14066382022131058,1.1268120379675002,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,11,0.13982885980180332,1.4104814870016915,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,12,0.1071490737653914,1.7161315963381814,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,13,0.08877618493778365,1.6310007231576102,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,14,0.08847601250523612,1.4846631572360085,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,15,0.07469238544858638,1.6197560174124581,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,16,0.07009029301504294,1.7407135055178689,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,17,0.0821010165980884,1.45889147122701,105,42,64
