company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,BiGRU,classification,5,,,,0.26639771383306554,0.22857142857142856,1.0,0.12903225806451613,0.578125,0.7142857142857143,0.4300756154038903,0.6666666666666666,0.75,0.6,1184,398,42,64,16,0.5449999999999999,0.4300756154038903
ABB,Industrial Goods,BiGRU,classification,5,,,,0.0,0.0,0.0,0.0,0.578125,0.7857142857142857,0.5198752449100363,0.5263157894736842,1.0,0.35714285714285715,1184,398,42,64,16,0.6699999999999999,0.5198752449100363
ABBV,Healthcare,BiGRU,classification,5,,,,0.0,0.6086956521739131,0.4375,1.0,0.4375,0.8333333333333334,0.544656513504933,0.5333333333333333,1.0,0.36363636363636365,1103,398,42,64,20,0.6449999999999999,0.544656513504933
AEP,Utilities,BiGRU,classification,5,,,,0.3646984043128985,0.7659574468085106,0.6206896551724138,1.0,0.65625,0.7380952380952381,0.46860921309188386,0.8253968253968254,0.7027027027027027,1.0,1184,398,42,64,17,0.285,0.46860921309188386
AGFS,Conglomerates,BiGRU,classification,5,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,0.7380952380952381,0.5847053462046862,0.7317073170731707,0.5769230769230769,1.0,627,105,42,64,19,0.5599999999999999,0.5847053462046862
AMGN,Healthcare,BiGRU,classification,5,,,,0.10619766763577224,0.2978723404255319,0.7,0.1891891891891892,0.484375,0.8095238095238095,0.5573704017131538,0.6363636363636364,0.875,0.5,1184,398,42,64,20,0.63,0.5573704017131538
AMZN,Services,BiGRU,classification,5,,,,0.13399778516057587,0.5,0.7619047619047619,0.37209302325581395,0.5,0.7619047619047619,0.5516187241049897,0.782608695652174,0.9,0.6923076923076923,1184,398,42,64,17,0.5099999999999999,0.5516187241049897
BA,Industrial Goods,BiGRU,classification,5,,,,0.1972421118046462,0.6060606060606061,0.5555555555555556,0.6666666666666666,0.59375,0.7857142857142857,0.5734966396779716,0.8085106382978723,0.8636363636363636,0.76,1184,398,42,64,18,0.4699999999999999,0.5734966396779716
BABA,Services,BiGRU,classification,5,,,,0.22549380840084865,0.2222222222222222,1.0,0.125,0.453125,0.6428571428571429,0.37168814590628285,0.5945945945945946,0.4583333333333333,0.8461538461538461,671,149,42,64,17,0.5049999999999999,0.37168814590628285
BAC,Financial,BiGRU,classification,5,,,,0.34078304276295374,0.7708333333333334,0.6271186440677966,1.0,0.65625,0.6190476190476191,0.39285714285714285,0.6190476190476191,0.4642857142857143,0.9285714285714286,1184,398,42,64,17,0.26499999999999996,0.39285714285714285
