company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,BiLSTM,classification,1,,,,0.09759000729485331,0.46153846153846156,0.5,0.42857142857142855,0.5625,0.6904761904761905,0.4472135954999579,0.5806451612903226,0.9,0.42857142857142855,1193,398,42,64,25,0.5549999999999999,0.4472135954999579
ABB,Industrial Goods,BiLSTM,classification,1,,,,0.0,0.72,0.5625,1.0,0.5625,0.5,0.18333333333333332,0.5531914893617021,0.40625,0.8666666666666667,1193,398,42,64,11,0.5499999999999999,0.18333333333333332
ABBV,Healthcare,BiLSTM,classification,1,,,,0.43064433753916403,0.6296296296296297,0.85,0.5,0.6875,0.6190476190476191,0.30515145240827973,0.2727272727272727,1.0,0.15789473684210525,1112,398,42,64,21,0.615,0.30515145240827973
AEP,Utilities,BiLSTM,classification,1,,,,-0.048647332992624304,0.35714285714285715,0.5555555555555556,0.2631578947368421,0.4375,0.6666666666666666,0.32723112128146453,0.6956521739130435,0.6956521739130435,0.6956521739130435,1193,398,42,64,16,0.5049999999999999,0.32723112128146453
AGFS,Conglomerates,BiLSTM,classification,1,,,,-0.17796484599023626,0.0625,0.14285714285714285,0.04,0.53125,0.6666666666666666,0.3596636229289332,0.65,0.5652173913043478,0.7647058823529411,636,110,42,64,14,0.4599999999999999,0.3596636229289332
AMGN,Healthcare,BiLSTM,classification,1,,,,0.15131899415399777,0.3404255319148936,0.7272727272727273,0.2222222222222222,0.515625,0.6904761904761905,0.3535533905932738,0.3157894736842105,1.0,0.1875,1193,398,42,64,12,0.4149999999999999,0.3535533905932738
AMZN,Services,BiLSTM,classification,1,,,,0.0,0.7070707070707071,0.546875,1.0,0.546875,0.5476190476190477,0.26444294267397256,0.6779661016949152,0.5128205128205128,1.0,1193,398,42,64,13,0.43999999999999995,0.26444294267397256
BA,Industrial Goods,BiLSTM,classification,1,,,,0.16348734079150698,0.10810810810810811,1.0,0.05714285714285714,0.484375,0.6428571428571429,0.3124666267458028,0.4,0.8333333333333334,0.2631578947368421,1193,398,42,64,11,0.5549999999999999,0.3124666267458028
BABA,Services,BiLSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.484375,0.6904761904761905,0.32321583473162474,0.5517241379310345,0.6153846153846154,0.5,680,154,42,64,11,0.5399999999999999,0.32321583473162474
BAC,Financial,BiLSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.578125,0.6190476190476191,0.25819888974716115,0.2,1.0,0.1111111111111111,1193,398,42,64,11,0.575,0.25819888974716115
BBL,Basic Matierials,BiLSTM,classification,1,,,,0.09095880536541953,0.5230769230769231,0.425,0.68,0.515625,0.6904761904761905,0.38138503569823695,0.6976744186046512,0.7142857142857143,0.6818181818181818,1193,398,42,64,15,0.57,0.38138503569823695
BCH,Financial,BiLSTM,classification,1,,,,0.10949779698844676,0.2777777777777778,0.5555555555555556,0.18518518518518517,0.59375,0.6190476190476191,0.40646942234853023,0.4666666666666667,1.0,0.30434782608695654,1193,398,42,64,11,0.585,0.40646942234853023
BHP,Basic Matierials,BiLSTM,classification,1,,,,0.09460945407607456,0.22857142857142856,0.5714285714285714,0.14285714285714285,0.578125,0.5952380952380952,0.24253562503633297,0.41379310344827586,0.75,0.2857142857142857,1193,398,42,64,11,0.57,0.24253562503633297
BP,Basic Matierials,BiLSTM,classification,1,,,,0.14316527401666093,0.3902439024390244,0.5333333333333333,0.3076923076923077,0.609375,0.5952380952380952,0.1961242945746519,0.5853658536585366,0.5454545454545454,0.631578947368421,1193,398,42,64,11,0.5249999999999999,0.1961242945746519
BRK-A,Financial,BiLSTM,classification,1,,,,0.022005942406783077,0.5977011494252874,0.4406779661016949,0.9285714285714286,0.453125,0.6428571428571429,0.32900900517813303,0.6938775510204082,0.5862068965517241,0.85,1193,398,42,64,11,0.5199999999999999,0.32900900517813303
BSAC,Financial,BiLSTM,classification,1,,,,-0.09626669171599594,0.5542168674698795,0.41818181818181815,0.8214285714285714,0.421875,0.5238095238095238,0.20830127958541944,0.5833333333333334,0.4375,0.875,1193,398,42,64,11,0.5099999999999999,0.20830127958541944
BUD,Consumer Goods,BiLSTM,classification,1,,,,0.13483997249264842,0.6666666666666666,0.5272727272727272,0.90625,0.546875,0.5,0.2192645048267573,0.5882352941176471,0.42857142857142855,0.9375,1193,398,42,64,11,0.4649999999999999,0.2192645048267573
C,Financial,BiLSTM,classification,1,,,,-0.11758880779399589,0.5517241379310345,0.39344262295081966,0.9230769230769231,0.390625,0.5714285714285714,0.1589409883014377,0.6086956521739131,0.5384615384615384,0.7,1193,398,42,64,11,0.42999999999999994,0.1589409883014377
CAT,Industrial Goods,BiLSTM,classification,1,,,,0.21650635094610968,0.4583333333333333,0.6875,0.34375,0.59375,0.6190476190476191,0.2337367475021143,0.5555555555555556,0.625,0.5,1193,398,42,64,11,0.5249999999999999,0.2337367475021143
CELG,Healthcare,BiLSTM,classification,1,,,,0.21219567654480426,0.3333333333333333,0.7777777777777778,0.21212121212121213,0.5625,0.7142857142857143,0.4457893447634325,0.45454545454545453,1.0,0.29411764705882354,1193,398,42,64,13,0.605,0.4457893447634325
CHL,Technology,BiLSTM,classification,1,,,,-0.00807265799494138,0.6373626373626373,0.48333333333333334,0.9354838709677419,0.484375,0.6190476190476191,0.2250798156393969,0.5555555555555556,0.5882352941176471,0.5263157894736842,1193,398,42,64,11,0.4699999999999999,0.2250798156393969
CHTR,Services,BiLSTM,classification,1,,,,0.044946657497549475,0.24390243902439024,0.5555555555555556,0.15625,0.515625,0.7857142857142857,0.56496598177755,0.7096774193548387,0.8461538461538461,0.6111111111111112,1193,398,42,64,17,0.4599999999999999,0.56496598177755
CMCSA,Services,BiLSTM,classification,1,,,,0.19120444499264716,0.125,1.0,0.06666666666666667,0.5625,0.6904761904761905,0.4491707759470915,0.48,1.0,0.3157894736842105,1193,398,42,64,19,0.605,0.4491707759470915
CODI,Conglomerates,BiLSTM,classification,1,,,,0.016912483530155894,0.06451612903225806,0.5,0.034482758620689655,0.546875,0.5714285714285714,0.1718284961594735,0.1,1.0,0.05263157894736842,1193,398,42,64,11,0.4799999999999999,0.1718284961594735
CSCO,Technology,BiLSTM,classification,1,,,,0.10259783520851541,0.6233766233766234,0.5333333333333333,0.75,0.546875,0.5476190476190477,0.35082320772281167,0.6274509803921569,0.45714285714285713,1.0,1193,398,42,64,12,0.38499999999999995,0.35082320772281167
CVX,Basic Matierials,BiLSTM,classification,1,,,,0.1341246360271594,0.06451612903225806,1.0,0.03333333333333333,0.546875,0.6190476190476191,0.24845199749997662,0.6666666666666666,0.5925925925925926,0.7619047619047619,1193,398,42,64,11,0.6,0.24845199749997662
D,Utilities,BiLSTM,classification,1,,,,0.22473328748774737,0.6896551724137931,0.5454545454545454,0.9375,0.578125,0.6666666666666666,0.32899236021053324,0.7407407407407407,0.6451612903225806,0.8695652173913043,1193,398,42,64,11,0.4699999999999999,0.32899236021053324
DHR,Industrial Goods,BiLSTM,classification,1,,,,0.049980989108788364,0.39215686274509803,0.5555555555555556,0.30303030303030304,0.515625,0.6904761904761905,0.3876875590429165,0.6976744186046512,0.6521739130434783,0.75,1193,398,42,64,21,0.4549999999999999,0.3876875590429165
DIS,Services,BiLSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.453125,0.6428571428571429,0.28212334693835694,0.5945945945945946,0.6470588235294118,0.55,1193,398,42,64,11,0.6,0.28212334693835694
DUK,Utilities,BiLSTM,classification,1,,,,0.17155007848855516,0.7422680412371134,0.6,0.972972972972973,0.609375,0.6904761904761905,0.40789986277743745,0.7547169811320755,0.6451612903225806,0.9090909090909091,1193,398,42,64,15,0.49999999999999994,0.40789986277743745
EXC,Utilities,BiLSTM,classification,1,,,,0.12424730498438732,0.32558139534883723,0.6363636363636364,0.21875,0.546875,0.5714285714285714,0.23452078799117146,0.18181818181818182,1.0,0.1,1193,398,42,64,11,0.5599999999999999,0.23452078799117146
FB,Technology,BiLSTM,classification,1,,,,-0.02431322695419323,0.10256410256410256,0.5,0.05714285714285714,0.453125,0.6428571428571429,0.3006232385408722,0.6666666666666666,0.75,0.6,1193,398,42,64,14,0.4799999999999999,0.3006232385408722
GD,Industrial Goods,BiLSTM,classification,1,,,,-0.1111111111111111,0.0,0.0,0.0,0.546875,0.6666666666666666,0.38734148042766225,0.5,0.875,0.35,1193,398,42,64,12,0.5099999999999999,0.38734148042766225
GE,Industrial Goods,BiLSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.421875,0.5714285714285714,0.2773500981126146,0.25,1.0,0.14285714285714285,1193,398,42,64,11,0.5299999999999999,0.2773500981126146
GOOG,Technology,BiLSTM,classification,1,,,,0.0,0.6938775510204082,0.53125,1.0,0.53125,0.5476190476190477,0.23434997005935207,0.6545454545454545,0.5,0.9473684210526315,1193,398,42,64,12,0.42999999999999994,0.23434997005935207
HD,Services,BiLSTM,classification,1,,,,0.10665369836537023,0.6666666666666666,0.6136363636363636,0.7297297297297297,0.578125,0.6190476190476191,0.25819888974716115,0.75,0.6,1.0,1193,398,42,64,12,0.48999999999999994,0.25819888974716115
HON,Industrial Goods,BiLSTM,classification,1,,,,0.07392212709545729,0.11428571428571428,0.6666666666666666,0.0625,0.515625,0.5952380952380952,0.24602096615832092,0.19047619047619047,1.0,0.10526315789473684,1193,398,42,64,11,0.57,0.24602096615832092
HRG,Conglomerates,BiLSTM,classification,1,,,,0.1947010445067672,0.25,0.8333333333333334,0.14705882352941177,0.53125,0.6666666666666666,0.30661118157475387,0.5,0.7,0.3888888888888889,1193,398,42,64,16,0.595,0.30661118157475387
HSBC,Financial,BiLSTM,classification,1,,,,0.1285367511564587,0.24390243902439024,0.7142857142857143,0.14705882352941177,0.515625,0.6190476190476191,0.3109336562067405,0.6363636363636364,0.5185185185185185,0.8235294117647058,1193,398,42,64,11,0.5299999999999999,0.3109336562067405
IEP,Conglomerates,BiLSTM,classification,1,,,,-0.16870980440527691,0.0,0.0,0.0,0.5,0.7142857142857143,0.4135850959342555,0.4,1.0,0.25,1193,398,42,64,11,0.5299999999999999,0.4135850959342555
INTC,Technology,BiLSTM,classification,1,,,,0.03537745688386125,0.3673469387755102,0.5294117647058824,0.28125,0.515625,0.6190476190476191,0.242535625036333,0.6521739130434783,0.6,0.7142857142857143,1193,398,42,64,14,0.5549999999999999,0.242535625036333
JNJ,Healthcare,BiLSTM,classification,1,,,,-0.016169041669088866,0.10526315789473684,0.5,0.058823529411764705,0.46875,0.6428571428571429,0.2581988897471611,0.4,0.7142857142857143,0.2777777777777778,1193,398,42,64,11,0.61,0.2581988897471611
