company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,classification,5,1,1,0.7025365751592358,0.7156553438731602,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,2,0.6593455193030774,0.8634313628787086,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,3,0.6329468785218857,0.9904364432607379,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,4,0.603057795134022,0.9016406252270653,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,5,0.5978377528825597,0.9352170399257115,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,6,0.5743677163842934,0.8718719794636681,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,7,0.5554371456704547,0.7124914129575094,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,8,0.5272389139661837,0.6983103411538261,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,9,0.5048524857166424,0.6759867043722243,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,10,0.4852691187930466,0.7613358327320644,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,11,0.4751790731995549,0.6762207945187887,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,12,0.4608598709405966,0.8996034860610962,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,13,0.44034392442835035,0.8024509095010304,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,14,0.45159959972803315,0.813810734521775,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,15,0.4274953412799979,0.9931893433843341,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,16,0.3942457688363952,0.7639783762750172,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,17,0.38278678516347203,1.1641402840614319,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,18,0.3647584481604734,0.8419189850489298,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,19,0.36414646031569,1.103995096115839,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,1,0.6691658781401476,0.9414249715350923,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,2,0.6408296772583046,1.515238841374715,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,3,0.6330902462628618,1.9975915863400413,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,4,0.5965474137109728,2.3374864714486256,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,5,0.5889606257179874,2.5487938154311407,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,6,0.5649744877264128,3.407009760538737,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,7,0.5485941878515272,3.630916640872047,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,8,0.5098730039656462,4.75638621194022,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,9,0.48207023709862673,4.553637595403762,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,10,0.4805888127741502,5.567535400390625,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,11,0.46388427711012375,5.71921798161098,398,42,64
ABBV,Healthcare,GRU,classification,5,1,1,0.7021675597537648,0.7211155437287831,341,42,64
ABBV,Healthcare,GRU,classification,5,1,2,0.6435060796499952,0.8473633357456752,341,42,64
ABBV,Healthcare,GRU,classification,5,1,3,0.6225799954881417,0.9066606476193383,341,42,64
ABBV,Healthcare,GRU,classification,5,1,4,0.6097588022608211,0.9743832236244565,341,42,64
ABBV,Healthcare,GRU,classification,5,1,5,0.6006126386329226,0.9427280653090704,341,42,64
ABBV,Healthcare,GRU,classification,5,1,6,0.5705585892249412,0.9382102347555614,341,42,64
ABBV,Healthcare,GRU,classification,5,1,7,0.5593413529682719,0.8740930415335155,341,42,64
ABBV,Healthcare,GRU,classification,5,1,8,0.5397896823907528,0.8109431096485683,341,42,64
ABBV,Healthcare,GRU,classification,5,1,9,0.5300550479168766,0.811293309643155,341,42,64
ABBV,Healthcare,GRU,classification,5,1,10,0.5003341649197414,0.8695847250166393,341,42,64
ABBV,Healthcare,GRU,classification,5,1,11,0.4831197374115242,0.8998199729692369,341,42,64
AEP,Utilities,GRU,classification,5,1,1,0.693198739284247,0.6855852575529189,398,42,64
AEP,Utilities,GRU,classification,5,1,2,0.6538586619511322,0.707323275861286,398,42,64
AEP,Utilities,GRU,classification,5,1,3,0.6053354356756162,0.7850729681196666,398,42,64
AEP,Utilities,GRU,classification,5,1,4,0.6003164747851578,0.8162059102739606,398,42,64
AEP,Utilities,GRU,classification,5,1,5,0.5710428515870367,0.8618986294383094,398,42,64
AEP,Utilities,GRU,classification,5,1,6,0.570953496137456,0.8701744789168948,398,42,64
AEP,Utilities,GRU,classification,5,1,7,0.5319222032125271,0.8976484707423619,398,42,64
AEP,Utilities,GRU,classification,5,1,8,0.49764874847091023,1.1224594598724729,398,42,64
AEP,Utilities,GRU,classification,5,1,9,0.5074824791158264,0.9860547639074779,398,42,64
AEP,Utilities,GRU,classification,5,1,10,0.49388809284972185,1.075421114762624,398,42,64
AEP,Utilities,GRU,classification,5,1,11,0.45495446026325226,1.3898733031182062,398,42,64
AMGN,Healthcare,GRU,classification,5,1,1,0.6906630696363785,0.6375383621170407,398,42,64
AMGN,Healthcare,GRU,classification,5,1,2,0.6430609175308266,0.7717567370051429,398,42,64
AMGN,Healthcare,GRU,classification,5,1,3,0.5987029998146709,0.9206329158374241,398,42,64
AMGN,Healthcare,GRU,classification,5,1,4,0.5656508926171154,0.9965034538791293,398,42,64
AMGN,Healthcare,GRU,classification,5,1,5,0.534906578123869,1.1130878485384441,398,42,64
AMGN,Healthcare,GRU,classification,5,1,6,0.5072126370578555,1.1524015622479575,398,42,64
AMGN,Healthcare,GRU,classification,5,1,7,0.49001102381615186,1.3038646763279325,398,42,64
AMGN,Healthcare,GRU,classification,5,1,8,0.49654451536772837,1.2124800554343633,398,42,64
AMGN,Healthcare,GRU,classification,5,1,9,0.4731981457777359,1.407213106041863,398,42,64
AMGN,Healthcare,GRU,classification,5,1,10,0.44577016063671016,1.2278297628675188,398,42,64
AMGN,Healthcare,GRU,classification,5,1,11,0.46812988091353797,1.221667658715021,398,42,64
AMZN,Services,GRU,classification,5,1,1,0.6993367297565518,0.7331891485622951,398,42,64
AMZN,Services,GRU,classification,5,1,2,0.6626764868372049,1.1745725813366117,398,42,64
AMZN,Services,GRU,classification,5,1,3,0.6387786505809382,1.8778853700274514,398,42,64
AMZN,Services,GRU,classification,5,1,4,0.6177133351714168,2.3987176418304443,398,42,64
AMZN,Services,GRU,classification,5,1,5,0.5907216383584181,3.169426225480579,398,42,64
AMZN,Services,GRU,classification,5,1,6,0.577364895811033,3.920690275373913,398,42,64
AMZN,Services,GRU,classification,5,1,7,0.5611926934227871,3.8826892375946045,398,42,64
AMZN,Services,GRU,classification,5,1,8,0.5472202639483926,4.527457816260202,398,42,64
AMZN,Services,GRU,classification,5,1,9,0.5279573285999011,4.497172230765933,398,42,64
AMZN,Services,GRU,classification,5,1,10,0.5003049313722543,6.057929152534122,398,42,64
AMZN,Services,GRU,classification,5,1,11,0.5090411901473999,5.45511261622111,398,42,64
BA,Industrial Goods,GRU,classification,5,1,1,0.6924364488927564,0.696367655481611,398,42,64
BA,Industrial Goods,GRU,classification,5,1,2,0.6367796991937723,0.911140521367391,398,42,64
BA,Industrial Goods,GRU,classification,5,1,3,0.6017941955345959,1.1265128623871576,398,42,64
BA,Industrial Goods,GRU,classification,5,1,4,0.5785990905522103,1.2708544163476854,398,42,64
BA,Industrial Goods,GRU,classification,5,1,5,0.5520516112821185,1.3848064286368233,398,42,64
BA,Industrial Goods,GRU,classification,5,1,6,0.5474514928295384,1.6234822613852364,398,42,64
BA,Industrial Goods,GRU,classification,5,1,7,0.5110387853042564,1.7214193457648868,398,42,64
BA,Industrial Goods,GRU,classification,5,1,8,0.4865466667779127,2.057840267817179,398,42,64
BA,Industrial Goods,GRU,classification,5,1,9,0.4591083972897362,2.27515747433617,398,42,64
BA,Industrial Goods,GRU,classification,5,1,10,0.4252995426331333,2.2622348694574264,398,42,64
BA,Industrial Goods,GRU,classification,5,1,11,0.42986225243189824,2.7256257193429128,398,42,64
BAC,Financial,GRU,classification,5,1,1,0.6892792501641278,0.8221427826654344,398,42,64
BAC,Financial,GRU,classification,5,1,2,0.6351803181758479,1.0352096273785545,398,42,64
BAC,Financial,GRU,classification,5,1,3,0.6267734309237207,1.1214413472584315,398,42,64
BAC,Financial,GRU,classification,5,1,4,0.609814398851826,1.1574735641479492,398,42,64
BAC,Financial,GRU,classification,5,1,5,0.5988981624943527,1.2987660964330037,398,42,64
BAC,Financial,GRU,classification,5,1,6,0.5762481830227915,1.3291585048039753,398,42,64
BAC,Financial,GRU,classification,5,1,7,0.5551745993408126,1.4823654492696126,398,42,64
BAC,Financial,GRU,classification,5,1,8,0.5388036563468339,1.260334741501581,398,42,64
BAC,Financial,GRU,classification,5,1,9,0.5339548554851781,1.2449802614393688,398,42,64
BAC,Financial,GRU,classification,5,1,10,0.4972980217118958,1.5723486344019573,398,42,64
BAC,Financial,GRU,classification,5,1,11,0.4999556649270369,1.3111088332675753,398,42,64
BBL,Basic Matierials,GRU,classification,5,1,1,0.7054733358435894,0.6881843351182484,398,42,64
BBL,Basic Matierials,GRU,classification,5,1,2,0.6491851812631042,0.7178029474757966,398,42,64
BBL,Basic Matierials,GRU,classification,5,1,3,0.6437272126950211,0.7042726874351501,398,42,64
BBL,Basic Matierials,GRU,classification,5,1,4,0.6279892888500462,0.6759077707926432,398,42,64
BBL,Basic Matierials,GRU,classification,5,1,5,0.5956321763033843,0.7268642215501695,398,42,64
BBL,Basic Matierials,GRU,classification,5,1,6,0.5876915263171172,0.7354730225744701,398,42,64
BBL,Basic Matierials,GRU,classification,5,1,7,0.5621595101140852,0.7295039778663999,398,42,64
BBL,Basic Matierials,GRU,classification,5,1,8,0.5262938339506561,0.7971949889546349,398,42,64
BBL,Basic Matierials,GRU,classification,5,1,9,0.5278332488021659,0.7799583134197053,398,42,64
BBL,Basic Matierials,GRU,classification,5,1,10,0.5097080539518865,0.7578861372811454,398,42,64
BBL,Basic Matierials,GRU,classification,5,1,11,0.4987710199164386,0.9538927844592503,398,42,64
BBL,Basic Matierials,GRU,classification,5,1,12,0.47293386028040596,0.7596930151893979,398,42,64
BBL,Basic Matierials,GRU,classification,5,1,13,0.4609055680845251,0.9020537421816871,398,42,64
BBL,Basic Matierials,GRU,classification,5,1,14,0.4385174437982952,1.001702646414439,398,42,64
BCH,Financial,GRU,classification,5,1,1,0.6906269186705201,0.6607975420497713,398,42,64
BCH,Financial,GRU,classification,5,1,2,0.65492685416236,0.70614983354296,398,42,64
BCH,Financial,GRU,classification,5,1,3,0.6383134671791115,0.8126810647192455,398,42,64
BCH,Financial,GRU,classification,5,1,4,0.6179083358103307,0.8117834698586237,398,42,64
BCH,Financial,GRU,classification,5,1,5,0.6079125581075199,0.9059799370311555,398,42,64
BCH,Financial,GRU,classification,5,1,6,0.5833883887559326,0.8495883005005973,398,42,64
BCH,Financial,GRU,classification,5,1,7,0.5606149090594382,0.856736543632689,398,42,64
BCH,Financial,GRU,classification,5,1,8,0.5468212378084959,0.8217863724345252,398,42,64
BCH,Financial,GRU,classification,5,1,9,0.5255474178635295,0.8574771398589724,398,42,64
BCH,Financial,GRU,classification,5,1,10,0.5119158221249605,0.9333353241284689,398,42,64
BCH,Financial,GRU,classification,5,1,11,0.5052734478634207,0.8677877358027867,398,42,64
BHP,Basic Matierials,GRU,classification,5,1,1,0.696282745905258,0.701534180414109,398,42,64
BHP,Basic Matierials,GRU,classification,5,1,2,0.6527386697093446,0.759104501633417,398,42,64
BHP,Basic Matierials,GRU,classification,5,1,3,0.6194281344437719,0.7707600196202596,398,42,64
BHP,Basic Matierials,GRU,classification,5,1,4,0.6093778065101585,0.7197097681817555,398,42,64
BHP,Basic Matierials,GRU,classification,5,1,5,0.5886797102252442,0.6660491880916414,398,42,64
