company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,GRU,classification,1,,,,0.06666666666666667,0.3333333333333333,0.5,0.25,0.5625,0.6666666666666666,0.36051834183722337,0.5882352941176471,0.7692307692307693,0.47619047619047616,937,398,42,64,16,0.49499999999999994,0.36051834183722337
ABB,Industrial Goods,GRU,classification,1,,,,0.2514594403022007,0.7422680412371134,0.5901639344262295,1.0,0.609375,0.4523809523809524,0.2418254167033372,0.5660377358490566,0.39473684210526316,1.0,937,398,42,64,16,0.5349999999999999,0.2418254167033372
ABBV,Healthcare,GRU,classification,1,,,,0.24305875451990117,0.6666666666666666,0.631578947368421,0.7058823529411765,0.625,0.7142857142857143,0.4579994970335558,0.5714285714285714,0.8888888888888888,0.42105263157894735,856,331,42,64,20,0.595,0.4579994970335558
AEP,Utilities,GRU,classification,1,,,,-0.15157402855562319,0.6666666666666666,0.5636363636363636,0.8157894736842105,0.515625,0.6190476190476191,0.30515145240827973,0.7419354838709677,0.5897435897435898,1.0,937,398,42,64,16,0.43999999999999995,0.30515145240827973
AMGN,Healthcare,GRU,classification,1,,,,0.13937096857629283,0.1951219512195122,0.8,0.1111111111111111,0.484375,0.7380952380952381,0.46860921309188386,0.47619047619047616,1.0,0.3125,937,398,42,64,20,0.49999999999999994,0.46860921309188386
AMZN,Services,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.453125,0.6190476190476191,0.3402785236893603,0.3333333333333333,1.0,0.2,937,398,42,64,20,0.69,0.3402785236893603
BA,Industrial Goods,GRU,classification,1,,,,0.36821789145072187,0.4090909090909091,1.0,0.2571428571428571,0.59375,0.6904761904761905,0.378565498830142,0.6666666666666666,0.65,0.6842105263157895,937,398,42,64,20,0.5049999999999999,0.378565498830142
BAC,Financial,GRU,classification,1,,,,0.0,0.5934065934065934,0.421875,1.0,0.421875,0.5,0.2401922307076307,0.631578947368421,0.46153846153846156,1.0,937,398,42,64,16,0.4149999999999999,0.2401922307076307
BBL,Basic Matierials,GRU,classification,1,,,,-0.02564102564102564,0.5194805194805194,0.38461538461538464,0.8,0.421875,0.6428571428571429,0.28603877677367767,0.6511627906976745,0.6666666666666666,0.6363636363636364,937,398,42,64,20,0.5449999999999999,0.28603877677367767
BCH,Financial,GRU,classification,1,,,,-0.05018131547624402,0.5263157894736842,0.40816326530612246,0.7407407407407407,0.4375,0.5952380952380952,0.3710541192606408,0.41379310344827586,1.0,0.2608695652173913,937,398,42,64,17,0.625,0.3710541192606408
