company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,LSTM,classification,1,,,,-0.02486823656509969,0.5142857142857142,0.42857142857142855,0.6428571428571429,0.46875,0.6190476190476191,0.36760731104690386,0.7241379310344828,0.5675675675675675,1.0,942,398,42,64,11,0.5199999999999999,0.36760731104690386
ABB,Industrial Goods,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.4375,0.6904761904761905,0.3,0.23529411764705882,1.0,0.13333333333333333,942,398,42,64,11,0.6699999999999999,0.3
ABBV,Healthcare,LSTM,classification,1,,,,0.34654956599385545,0.676923076923077,0.7096774193548387,0.6470588235294118,0.671875,0.6190476190476191,0.30515145240827973,0.2727272727272727,1.0,0.15789473684210525,861,336,42,64,11,0.8899999999999999,0.30515145240827973
AEP,Utilities,LSTM,classification,1,,,,0.1659919028340081,0.5625,0.6923076923076923,0.47368421052631576,0.5625,0.6190476190476191,0.2250798156393969,0.6666666666666666,0.64,0.6956521739130435,942,398,42,64,11,0.49999999999999994,0.2250798156393969
AMGN,Healthcare,LSTM,classification,1,,,,0.0849411985729376,0.26666666666666666,0.6666666666666666,0.16666666666666666,0.484375,0.6904761904761905,0.32321583473162474,0.5517241379310345,0.6153846153846154,0.5,942,398,42,64,11,0.6449999999999999,0.32321583473162474
AMZN,Services,LSTM,classification,1,,,,0.0,0.7070707070707071,0.546875,1.0,0.546875,0.5238095238095238,0.21320071635561041,0.6666666666666666,0.5,1.0,942,398,42,64,11,0.31999999999999995,0.21320071635561041
BA,Industrial Goods,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.453125,0.6666666666666666,0.32899236021053324,0.5333333333333333,0.7272727272727273,0.42105263157894735,942,398,42,64,11,0.6599999999999999,0.32899236021053324
BAC,Financial,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.578125,0.5952380952380952,0.18033392693348646,0.10526315789473684,1.0,0.05555555555555555,942,398,42,64,11,0.7749999999999999,0.18033392693348646
BBL,Basic Matierials,LSTM,classification,1,,,,-0.04750168687962835,0.17647058823529413,0.3333333333333333,0.12,0.5625,0.5714285714285714,0.309344112444873,0.3076923076923077,1.0,0.18181818181818182,942,398,42,64,20,0.6449999999999999,0.309344112444873
BCH,Financial,LSTM,classification,1,,,,0.0,0.5934065934065934,0.421875,1.0,0.421875,0.6428571428571429,0.35696473595396144,0.7540983606557377,0.6052631578947368,1.0,942,398,42,64,11,0.4699999999999999,0.35696473595396144
BHP,Basic Matierials,LSTM,classification,1,,,,-0.0518191557963571,0.4,0.4074074074074074,0.39285714285714285,0.484375,0.5952380952380952,0.24253562503633297,0.41379310344827586,0.75,0.2857142857142857,942,398,42,64,11,0.49999999999999994,0.24253562503633297
BP,Basic Matierials,LSTM,classification,1,,,,0.15231225557722924,0.07407407407407407,1.0,0.038461538461538464,0.609375,0.6428571428571429,0.35696473595396144,0.34782608695652173,1.0,0.21052631578947367,942,398,42,64,17,0.575,0.35696473595396144
BRK-A,Financial,LSTM,classification,1,,,,0.0,0.6086956521739131,0.4375,1.0,0.4375,0.6190476190476191,0.2571104222523257,0.6521739130434783,0.5769230769230769,0.75,942,398,42,64,11,0.4599999999999999,0.2571104222523257
BSAC,Financial,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.5625,0.6666666666666666,0.2850438562747845,0.2222222222222222,1.0,0.125,942,398,42,64,11,0.6549999999999999,0.2850438562747845
BUD,Consumer Goods,LSTM,classification,1,,,,0.1796053020267749,0.11764705882352941,1.0,0.0625,0.53125,0.6666666666666666,0.263573811002068,0.5,0.5833333333333334,0.4375,942,398,42,64,11,0.83,0.263573811002068
C,Financial,LSTM,classification,1,,,,0.0,0.5777777777777777,0.40625,1.0,0.40625,0.5238095238095238,0.21320071635561041,0.6666666666666666,0.5,1.0,942,398,42,64,11,0.18,0.21320071635561041
CAT,Industrial Goods,LSTM,classification,1,,,,0.22677868380553634,0.43478260869565216,0.7142857142857143,0.3125,0.59375,0.5952380952380952,0.23833987665914574,0.32,0.8,0.2,942,398,42,64,11,0.6699999999999999,0.23833987665914574
CELG,Healthcare,LSTM,classification,1,,,,0.3118279569892473,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.65625,0.6904761904761905,0.3640728218472825,0.6285714285714286,0.6111111111111112,0.6470588235294118,942,398,42,64,13,0.5599999999999999,0.3640728218472825
CHL,Technology,LSTM,classification,1,,,,0.13948480638371882,0.6111111111111112,0.5365853658536586,0.7096774193548387,0.5625,0.6190476190476191,0.25674162013381635,0.3333333333333333,0.8,0.21052631578947367,942,398,42,64,11,0.5099999999999999,0.25674162013381635
CHTR,Services,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.37463432463267765,0.36363636363636365,1.0,0.2222222222222222,942,398,42,64,14,0.48999999999999994,0.37463432463267765
CMCSA,Services,LSTM,classification,1,,,,0.1530198049500737,0.34146341463414637,0.6363636363636364,0.23333333333333334,0.578125,0.6428571428571429,0.27618408833305375,0.5945945945945946,0.6111111111111112,0.5789473684210527,942,398,42,64,11,0.5449999999999999,0.27618408833305375
CODI,Conglomerates,LSTM,classification,1,,,,0.032380592972966034,0.4,0.47619047619047616,0.3448275862068966,0.53125,0.6190476190476191,0.30515145240827973,0.2727272727272727,1.0,0.15789473684210525,942,398,42,64,11,0.61,0.30515145240827973
CSCO,Technology,LSTM,classification,1,,,,0.27185747308321606,0.6987951807228916,0.5686274509803921,0.90625,0.609375,0.5,0.2883749003642362,0.6037735849056604,0.43243243243243246,1.0,942,398,42,64,11,0.4549999999999999,0.2883749003642362
CVX,Basic Matierials,LSTM,classification,1,,,,0.2805550872420795,0.5306122448979592,0.6842105263157895,0.43333333333333335,0.640625,0.5238095238095238,0.07352146220938077,0.6551724137931034,0.5135135135135135,0.9047619047619048,942,398,42,64,11,0.57,0.07352146220938077
D,Utilities,LSTM,classification,1,,,,0.1259881576697424,0.6736842105263158,0.5079365079365079,1.0,0.515625,0.6428571428571429,0.3124666267458028,0.7457627118644068,0.6111111111111112,0.9565217391304348,942,398,42,64,11,0.16499999999999998,0.3124666267458028
DHR,Industrial Goods,LSTM,classification,1,,,,0.09720767474833039,0.20512820512820512,0.6666666666666666,0.12121212121212122,0.515625,0.6428571428571429,0.31535541189691385,0.4827586206896552,0.7777777777777778,0.35,942,398,42,64,11,0.4649999999999999,0.31535541189691385
DIS,Services,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.453125,0.5952380952380952,0.2908872369413698,0.2608695652173913,1.0,0.15,942,398,42,64,11,0.95,0.2908872369413698
DUK,Utilities,LSTM,classification,1,,,,-0.0949157995752499,0.4927536231884058,0.53125,0.4594594594594595,0.453125,0.7380952380952381,0.47637220876476666,0.7659574468085106,0.72,0.8181818181818182,942,398,42,64,20,0.30999999999999994,0.47637220876476666
EXC,Utilities,LSTM,classification,1,,,,0.0,0.6666666666666666,0.5,1.0,0.5,0.5714285714285714,0.309344112444873,0.6896551724137931,0.5263157894736842,1.0,942,398,42,64,11,0.5599999999999999,0.309344112444873
FB,Technology,LSTM,classification,1,,,,0.218421472846054,0.2857142857142857,0.8571428571428571,0.17142857142857143,0.53125,0.6904761904761905,0.397747669454077,0.7111111111111111,0.8,0.64,942,398,42,64,14,0.43999999999999995,0.397747669454077
GD,Industrial Goods,LSTM,classification,1,,,,-0.02757337634153148,0.45901639344262296,0.42424242424242425,0.5,0.484375,0.5476190476190477,0.26444294267397256,0.6779661016949152,0.5128205128205128,1.0,942,398,42,64,11,0.48499999999999993,0.26444294267397256
GE,Industrial Goods,LSTM,classification,1,,,,0.04178165937007196,0.4,0.6111111111111112,0.2972972972972973,0.484375,0.6190476190476191,0.36760731104690386,0.7241379310344828,0.5675675675675675,1.0,942,398,42,64,11,0.43499999999999994,0.36760731104690386
GOOG,Technology,LSTM,classification,1,,,,0.11318329168362205,0.15789473684210525,0.75,0.08823529411764706,0.5,0.6904761904761905,0.3705695269925798,0.6285714285714286,0.6875,0.5789473684210527,942,398,42,64,11,0.36999999999999994,0.3705695269925798
HD,Services,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.421875,0.47619047619047616,0.19364916731037085,0.15384615384615385,1.0,0.08333333333333333,942,398,42,64,11,0.62,0.19364916731037085
HON,Industrial Goods,LSTM,classification,1,,,,0.32025630761017426,0.45454545454545453,0.8333333333333334,0.3125,0.625,0.6904761904761905,0.3705695269925798,0.6285714285714286,0.6875,0.5789473684210527,942,398,42,64,11,0.5599999999999999,0.3705695269925798
HRG,Conglomerates,LSTM,classification,1,,,,0.0,0.6938775510204082,0.53125,1.0,0.53125,0.5714285714285714,0.35355339059327373,0.6666666666666666,0.5,1.0,942,398,42,64,11,0.24,0.35355339059327373
HSBC,Financial,LSTM,classification,1,,,,0.35503580124836315,0.38095238095238093,1.0,0.23529411764705882,0.59375,0.6428571428571429,0.2711630722733202,0.21052631578947367,1.0,0.11764705882352941,942,398,42,64,11,0.71,0.2711630722733202
IEP,Conglomerates,LSTM,classification,1,,,,-0.18461861664914886,0.525,0.42,0.7,0.40625,0.5238095238095238,0.3202563076101743,0.6153846153846154,0.4444444444444444,1.0,942,398,42,64,15,0.41999999999999993,0.3202563076101743
INTC,Technology,LSTM,classification,1,,,,0.09607689228305229,0.5915492957746479,0.5384615384615384,0.65625,0.546875,0.5238095238095238,0.15617376188860607,0.6774193548387096,0.5121951219512195,1.0,942,398,42,64,11,0.4649999999999999,0.15617376188860607
JNJ,Healthcare,LSTM,classification,1,,,,0.11318329168362205,0.15789473684210525,0.75,0.08823529411764706,0.5,0.6428571428571429,0.3038024971663591,0.6341463414634146,0.5652173913043478,0.7222222222222222,942,398,42,64,11,0.82,0.3038024971663591
JPM,Financial,LSTM,classification,1,,,,0.13723518591400347,0.17142857142857143,0.75,0.0967741935483871,0.546875,0.6190476190476191,0.25819888974716115,0.2,1.0,0.1111111111111111,942,398,42,64,11,0.6499999999999999,0.25819888974716115
KO,Consumer Goods,LSTM,classification,1,,,,0.175225748570601,0.37209302325581395,0.6666666666666666,0.25806451612903225,0.578125,0.6428571428571429,0.4408779893967569,0.7169811320754716,0.5588235294117647,1.0,942,398,42,64,14,0.26499999999999996,0.4408779893967569
LMT,Industrial Goods,LSTM,classification,1,,,,-0.17725741933841668,0.6067415730337079,0.48214285714285715,0.8181818181818182,0.453125,0.5476190476190477,0.29488391230979427,0.6666666666666666,0.5,1.0,942,398,42,64,11,0.43499999999999994,0.29488391230979427
MA,Financial,LSTM,classification,1,,,,0.0403632899747069,0.45614035087719296,0.5416666666666666,0.3939393939393939,0.515625,0.7380952380952381,0.4811252243246881,0.717948717948718,0.7777777777777778,0.6666666666666666,942,398,42,64,18,0.4549999999999999,0.4811252243246881
MCD,Services,LSTM,classification,1,,,,0.1868706368604627,0.5,0.7,0.3888888888888889,0.5625,0.6666666666666666,0.4015838239338422,0.7083333333333334,0.5862068965517241,0.8947368421052632,942,398,42,64,12,0.285,0.4015838239338422
MDT,Healthcare,LSTM,classification,1,,,,0.0,0.6666666666666666,0.5,1.0,0.5,0.5238095238095238,0.2809757434745082,0.6428571428571429,0.47368421052631576,1.0,942,398,42,64,11,0.37999999999999995,0.2809757434745082
MMM,Industrial Goods,LSTM,classification,1,,,,-0.24362998197590657,0.0,0.0,0.0,0.40625,0.6666666666666666,0.4044559769231354,0.4166666666666667,1.0,0.2631578947368421,942,398,42,64,11,0.61,0.4044559769231354
MO,Consumer Goods,LSTM,classification,1,,,,-0.010055966353275558,0.15384615384615385,0.5,0.09090909090909091,0.484375,0.6190476190476191,0.3194382824999699,0.42857142857142855,0.8571428571428571,0.2857142857142857,942,398,42,64,11,0.44499999999999995,0.3194382824999699
MRK,Healthcare,LSTM,classification,1,,,,0.0,0.6804123711340206,0.515625,1.0,0.515625,0.5952380952380952,0.2571628338468219,0.6530612244897959,0.5333333333333333,0.8421052631578947,942,398,42,64,11,0.4599999999999999,0.2571628338468219
MSFT,Technology,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.4375,0.6428571428571429,0.27618408833305375,0.6808510638297872,0.6666666666666666,0.6956521739130435,942,398,42,64,11,0.5349999999999999,0.27618408833305375
NEE,Utilities,LSTM,classification,1,,,,0.11484238659873183,0.7422680412371134,0.6101694915254238,0.9473684210526315,0.609375,0.6666666666666666,0.42107141480233057,0.7307692307692307,0.59375,0.95,942,398,42,64,11,0.43499999999999994,0.42107141480233057
NGG,Utilities,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.53125,0.5476190476190477,0.16354278419876447,0.4864864864864865,0.6923076923076923,0.375,942,398,42,64,11,0.5049999999999999,0.16354278419876447
NVS,Healthcare,LSTM,classification,1,,,,0.0,0.5777777777777777,0.40625,1.0,0.40625,0.6904761904761905,0.27116307227332026,0.43478260869565216,0.625,0.3333333333333333,942,398,42,64,16,0.5599999999999999,0.27116307227332026
ORCL,Technology,LSTM,classification,1,,,,0.011953709238683663,0.5294117647058824,0.47368421052631576,0.6,0.5,0.5238095238095238,0.15617376188860607,0.09090909090909091,1.0,0.047619047619047616,942,398,42,64,11,0.835,0.15617376188860607
PCG,Utilities,LSTM,classification,1,,,,0.02014148736276902,0.6739130434782609,0.5344827586206896,0.9117647058823529,0.53125,0.7380952380952381,0.46860921309188386,0.8253968253968254,0.7027027027027027,1.0,942,398,42,64,11,0.31499999999999995,0.46860921309188386
PCLN,Services,LSTM,classification,1,,,,0.12156613477096616,0.5084745762711864,0.625,0.42857142857142855,0.546875,0.6428571428571429,0.30304576336566325,0.5714285714285714,0.7142857142857143,0.47619047619047616,942,398,42,64,11,0.4499999999999999,0.30304576336566325
PEP,Consumer Goods,LSTM,classification,1,,,,0.012967780080514722,0.6024096385542169,0.4716981132075472,0.8333333333333334,0.484375,0.6666666666666666,0.4472135954999579,0.75,0.6,1.0,942,398,42,64,11,0.285,0.4472135954999579
PFE,Healthcare,LSTM,classification,1,,,,0.04866091991018888,0.4642857142857143,0.48148148148148145,0.4482758620689655,0.53125,0.6666666666666666,0.3414178068795598,0.5,0.7777777777777778,0.3684210526315789,942,398,42,64,11,0.8549999999999999,0.3414178068795598
PG,Consumer Goods,LSTM,classification,1,,,,0.0,0.72,0.5625,1.0,0.5625,0.6190476190476191,0.26220638316754485,0.6,0.5217391304347826,0.7058823529411765,942,398,42,64,11,0.585,0.26220638316754485
PICO,Conglomerates,LSTM,classification,1,,,,0.05006261743217589,0.20512820512820512,0.5714285714285714,0.125,0.515625,0.6666666666666666,0.3302891295379082,0.631578947368421,0.6,0.6666666666666666,942,398,42,64,13,0.49499999999999994,0.3302891295379082
PM,Consumer Goods,LSTM,classification,1,,,,0.16870980440527691,0.1111111111111111,1.0,0.058823529411764705,0.5,0.6904761904761905,0.3685138655950444,0.5185185185185185,0.7777777777777778,0.3888888888888889,942,398,42,64,11,0.7699999999999999,0.3685138655950444
PPL,Utilities,LSTM,classification,1,,,,0.0944911182523068,0.25,0.625,0.15625,0.53125,0.7619047619047619,0.4601415057116586,0.8275862068965517,0.7741935483870968,0.8888888888888888,942,398,42,64,15,0.25999999999999995,0.4601415057116586
PTR,Basic Matierials,LSTM,classification,1,,,,0.0,0.6382978723404256,0.46875,1.0,0.46875,0.6666666666666666,0.4471856830298584,0.6956521739130435,0.5517241379310345,0.9411764705882353,922,398,42,64,11,0.605,0.4471856830298584
RDS-B,Basic Matierials,LSTM,classification,1,,,,0.23430202631092822,0.4782608695652174,0.6470588235294118,0.3793103448275862,0.625,0.6428571428571429,0.23008949665421113,0.4827586206896552,0.5833333333333334,0.4117647058823529,942,398,42,64,11,0.62,0.23008949665421113
REX,Conglomerates,LSTM,classification,1,,,,0.23293977699307994,0.7,0.6222222222222222,0.8,0.625,0.5714285714285714,0.279078152825719,0.6086956521739131,0.4666666666666667,0.875,922,398,42,64,11,0.6399999999999999,0.279078152825719
SLB,Basic Matierials,LSTM,classification,1,,,,-0.0148961999725068,0.42857142857142855,0.4444444444444444,0.41379310344827586,0.5,0.6666666666666666,0.20952908873087345,0.125,1.0,0.06666666666666667,942,398,42,64,11,0.43999999999999995,0.20952908873087345
SNP,Basic Matierials,LSTM,classification,1,,,,-0.1341246360271594,0.0,0.0,0.0,0.453125,0.5714285714285714,0.2773500981126146,0.25,1.0,0.14285714285714285,922,398,42,64,11,0.73,0.2773500981126146
SNY,Healthcare,LSTM,classification,1,,,,0.012894493509949602,0.5813953488372093,0.423728813559322,0.9259259259259259,0.4375,0.5714285714285714,0.27811065739636276,0.6666666666666666,0.5142857142857142,0.9473684210526315,942,398,42,64,11,0.41999999999999993,0.27811065739636276
SO,Utilities,LSTM,classification,1,,,,0.07252451488845175,0.2608695652173913,0.6666666666666666,0.16216216216216217,0.46875,0.5952380952380952,0.19245008972987526,0.6222222222222222,0.5833333333333334,0.6666666666666666,942,398,42,64,11,0.5599999999999999,0.19245008972987526
SPLP,Conglomerates,LSTM,classification,1,,,,0.10992325219324099,0.13333333333333333,0.6666666666666666,0.07407407407407407,0.59375,0.6666666666666666,0.3414178068795598,0.5,0.7777777777777778,0.3684210526315789,942,398,42,64,11,0.635,0.3414178068795598
SRE,Utilities,LSTM,classification,1,,,,-0.15398377070989047,0.5842696629213483,0.43333333333333335,0.896551724137931,0.421875,0.5714285714285714,0.19166296949998196,0.6785714285714286,0.5428571428571428,0.9047619047619048,942,398,42,64,11,0.57,0.19166296949998196
T,Technology,LSTM,classification,1,,,,0.23601359746536793,0.7126436781609196,0.5849056603773585,0.9117647058823529,0.609375,0.6190476190476191,0.3466876226407682,0.6363636363636364,0.5,0.875,942,398,42,64,11,0.57,0.3466876226407682
TM,Consumer Goods,LSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.515625,0.6904761904761905,0.3685138655950444,0.5185185185185185,0.7777777777777778,0.3888888888888889,942,398,42,64,11,0.9099999999999999,0.3685138655950444
TOT,Basic Matierials,LSTM,classification,1,,,,0.12523171995538385,0.5507246376811594,0.4318181818181818,0.76,0.515625,0.5476190476190477,0.26444294267397256,0.6779661016949152,0.5128205128205128,1.0,942,398,42,64,11,0.42999999999999994,0.26444294267397256
TSM,Technology,LSTM,classification,1,,,,0.0657951694959769,0.4444444444444444,0.5454545454545454,0.375,0.53125,0.6904761904761905,0.44711240450522444,0.6976744186046512,0.5769230769230769,0.8823529411764706,942,398,42,64,11,0.615,0.44711240450522444
UL,Consumer Goods,LSTM,classification,1,,,,-0.07392212709545729,0.05714285714285714,0.3333333333333333,0.03125,0.484375,0.6190476190476191,0.18237181486692547,0.4666666666666667,0.5384615384615384,0.4117647058823529,942,398,42,64,11,0.63,0.18237181486692547
UN,Consumer Goods,LSTM,classification,1,,,,0.21494115924458687,0.16666666666666666,1.0,0.09090909090909091,0.53125,0.6190476190476191,0.23532440241230695,0.38461538461538464,0.7142857142857143,0.2631578947368421,942,398,42,64,11,0.61,0.23532440241230695
