company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiGRU,classification,20,5,1,0.7126121503024844,1.3034514018467493,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,2,0.6301780825284258,2.1125948315575007,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,3,0.5370248972471036,2.5498303174972534,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,4,0.5098605847837937,2.8833122026352656,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,5,0.44285236561118657,3.2476914723714194,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,6,0.4541233658191547,4.6264801025390625,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,7,0.3970753754203643,4.510141009376163,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,8,0.4100776425558119,6.254614648364839,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,9,0.3660390329121345,6.796688806442988,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,10,0.2931231982144878,7.166549455551874,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,11,0.31088114728280647,6.730043683733259,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,1,0.6779214590039085,1.0915390707197643,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,2,0.6113527087710011,2.268876172247387,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,3,0.5741941871954568,2.48553813071478,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,4,0.541250185151795,3.6507797354743596,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,5,0.49840163121271375,3.6482630570729575,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,6,0.4661968428285877,3.495303823834374,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,7,0.42275594541774925,5.289637429373605,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,8,0.3771681809545162,4.160411914189656,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,9,0.3308768344659302,6.182953879946754,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,10,0.31179297449600757,4.726588510331654,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,11,0.35978209478172224,5.438994702838716,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,1,0.6675104337967247,1.3574958528791154,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,2,0.593207042641435,1.9581543036869593,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,3,0.5608827789868314,1.6868466309138708,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,4,0.49916359398262633,0.8972214460372925,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,5,0.47112168197982884,0.7181489921751476,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,6,0.4314588288222354,2.0331005368913924,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,7,0.4386587002160359,0.589789133696329,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,8,0.3875562119429097,1.03104263260251,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,9,0.378411390481551,0.49391626034464153,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,10,0.30070757856763947,0.6191234787305196,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,11,0.28993212289971076,0.9891844817570278,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,12,0.31063798840151974,0.5642382062616802,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,13,0.32000690648343666,1.8509822572980608,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,14,0.3323533636020736,0.5442353543781099,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,15,0.26272793863814303,0.7482535668781826,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,16,0.24436006050534043,0.7763703976358686,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,17,0.19834272376050247,1.0468868301028298,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,18,0.21347615013236146,1.0694663865225655,326,42,64
ABBV,Healthcare,BiGRU,classification,20,5,19,0.19296554955968095,1.3048889069330125,326,42,64
AEP,Utilities,BiGRU,classification,20,5,1,0.6685930092131073,0.7295994134176345,398,42,64
AEP,Utilities,BiGRU,classification,20,5,2,0.6069273071073408,0.8746339309783209,398,42,64
AEP,Utilities,BiGRU,classification,20,5,3,0.5510566120770708,1.1181272779192244,398,42,64
AEP,Utilities,BiGRU,classification,20,5,4,0.5499428366895897,1.118381454831078,398,42,64
AEP,Utilities,BiGRU,classification,20,5,5,0.508672506815225,1.3042417225383578,398,42,64
AEP,Utilities,BiGRU,classification,20,5,6,0.4851827351891216,1.420501938888005,398,42,64
AEP,Utilities,BiGRU,classification,20,5,7,0.44358662804167476,1.4785723657835097,398,42,64
AEP,Utilities,BiGRU,classification,20,5,8,0.37942873682808037,1.205243936606816,398,42,64
AEP,Utilities,BiGRU,classification,20,5,9,0.36168132175752266,1.4931501263663882,398,42,64
AEP,Utilities,BiGRU,classification,20,5,10,0.33882321739316584,1.733095373426165,398,42,64
AEP,Utilities,BiGRU,classification,20,5,11,0.32772283795191415,0.8855771195320856,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,1,0.7017339393122113,0.574552663734981,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,2,0.5931362443832896,0.537298423903329,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,3,0.5806062140656476,0.45968440033140634,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,4,0.5211862301706669,0.5288597827865964,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,5,0.49958755981982056,0.8097248403798967,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,6,0.4815883974933145,0.5094242138522012,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,7,0.4602770570235037,0.49797579929942176,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,8,0.450644155842575,0.8561824056364241,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,9,0.43752589462390495,0.5381681777182079,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,10,0.4337750252467304,0.6919177969296774,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,11,0.39343422112153403,0.5591754686264765,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,12,0.32132879491127914,0.8086026424453372,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,13,0.31612241552702747,0.7883357036681402,398,42,64
AMZN,Services,BiGRU,classification,20,5,1,0.6908991288899178,0.7590373215221223,398,42,64
AMZN,Services,BiGRU,classification,20,5,2,0.6617586226319548,0.9969355009851002,398,42,64
AMZN,Services,BiGRU,classification,20,5,3,0.6487802593552288,1.6099359904016768,398,42,64
AMZN,Services,BiGRU,classification,20,5,4,0.6215188049491326,2.029669824100676,398,42,64
AMZN,Services,BiGRU,classification,20,5,5,0.5567181967011648,2.235877485502334,398,42,64
AMZN,Services,BiGRU,classification,20,5,6,0.5504406250301918,2.9161203021094915,398,42,64
AMZN,Services,BiGRU,classification,20,5,7,0.4985401670836923,4.011520101910546,398,42,64
