company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,BiGRU,classification,5,,,,0.06104362873533078,0.21052631578947367,0.5714285714285714,0.12903225806451613,0.53125,0.6904761904761905,0.39284657334702455,0.6060606060606061,0.7692307692307693,0.5,928,398,42,64,16,0.6749999999999999,0.39284657334702455
ABB,Industrial Goods,BiGRU,classification,5,,,,0.0,0.5934065934065934,0.421875,1.0,0.421875,0.3333333333333333,0.0,0.5,0.3333333333333333,1.0,928,398,42,64,16,0.05,0.0
ABBV,Healthcare,BiGRU,classification,5,,,,0.42313649258810365,0.6984126984126984,0.6285714285714286,0.7857142857142857,0.703125,0.8333333333333334,0.544656513504933,0.5333333333333333,1.0,0.36363636363636365,847,326,42,64,26,0.71,0.544656513504933
AEP,Utilities,BiGRU,classification,5,,,,0.21664795696917594,0.6376811594202898,0.6666666666666666,0.6111111111111112,0.609375,0.7857142857142857,0.570087712549569,0.8524590163934426,0.7428571428571429,1.0,928,398,42,64,18,0.5249999999999999,0.570087712549569
AMGN,Healthcare,BiGRU,classification,5,,,,0.19798889010020074,0.2727272727272727,0.8571428571428571,0.16216216216216217,0.5,0.8571428571428571,0.6785714285714286,0.7857142857142857,0.7857142857142857,0.7857142857142857,928,398,42,64,24,0.36499999999999994,0.6785714285714286
AMZN,Services,BiGRU,classification,5,,,,0.24489899998946185,0.28,1.0,0.16279069767441862,0.4375,0.7619047619047619,0.5516187241049897,0.782608695652174,0.9,0.6923076923076923,928,398,42,64,16,0.5099999999999999,0.5516187241049897
BA,Industrial Goods,BiGRU,classification,5,,,,0.27074557691828405,0.42857142857142855,0.75,0.3,0.625,0.8095238095238095,0.6305926250944658,0.8260869565217391,0.9047619047619048,0.76,928,398,42,64,19,0.5349999999999999,0.6305926250944658
BAC,Financial,BiGRU,classification,5,,,,-0.004751733362404818,0.18181818181818182,0.5714285714285714,0.10810810810810811,0.4375,0.7619047619047619,0.45883146774112354,0.4444444444444444,1.0,0.2857142857142857,928,398,42,64,27,0.71,0.45883146774112354
BBL,Basic Matierials,BiGRU,classification,5,,,,0.22467702680655838,0.42424242424242425,0.4375,0.4117647058823529,0.703125,0.7619047619047619,0.5150844037233139,0.6153846153846154,0.8888888888888888,0.47058823529411764,928,398,42,64,21,0.575,0.5150844037233139
BCH,Financial,BiGRU,classification,5,,,,0.0849411985729376,0.4819277108433735,0.31746031746031744,1.0,0.328125,0.6904761904761905,0.469041575982343,0.7719298245614035,0.6285714285714286,1.0,928,398,42,64,19,0.4549999999999999,0.469041575982343
BHP,Basic Matierials,BiGRU,classification,5,,,,0.24764219818702876,0.4897959183673469,0.375,0.7058823529411765,0.609375,0.7857142857142857,0.5477225575051661,0.5714285714285714,1.0,0.4,928,398,42,64,30,0.5549999999999999,0.5477225575051661
