company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,BiLSTM,classification,5,,,,0.06158357771260997,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.53125,0.6428571428571429,0.35110367935273096,0.7058823529411765,0.5806451612903226,0.9,1199,398,42,64,21,0.565,0.35110367935273096
ABB,Industrial Goods,BiLSTM,classification,5,,,,0.18944220058835148,0.6136363636363636,0.4426229508196721,1.0,0.46875,0.5,0.31622776601683794,0.5714285714285714,0.4,1.0,1199,398,42,64,21,0.49999999999999994,0.31622776601683794
ABBV,Healthcare,BiLSTM,classification,5,,,,0.14285714285714285,0.06896551724137931,1.0,0.03571428571428571,0.578125,0.7619047619047619,0.25532894791716143,0.2857142857142857,0.6666666666666666,0.18181818181818182,1118,398,42,64,21,0.5199999999999999,0.25532894791716143
AEP,Utilities,BiLSTM,classification,5,,,,0.36807852714939626,0.7692307692307693,0.6363636363636364,0.9722222222222222,0.671875,0.7857142857142857,0.570087712549569,0.8524590163934426,0.7428571428571429,1.0,1199,398,42,64,21,0.41999999999999993,0.570087712549569
AGFS,Conglomerates,BiLSTM,classification,5,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,0.6190476190476191,0.3915554237491469,0.6363636363636364,0.4827586206896552,0.9333333333333333,642,120,42,64,21,0.5099999999999999,0.3915554237491469
AMGN,Healthcare,BiLSTM,classification,5,,,,0.2272070677224888,0.3111111111111111,0.875,0.1891891891891892,0.515625,0.8333333333333334,0.6516946235415336,0.7741935483870968,0.7058823529411765,0.8571428571428571,1199,398,42,64,30,0.735,0.6516946235415336
AMZN,Services,BiLSTM,classification,5,,,,-0.4210237308182814,0.29850746268656714,0.4166666666666667,0.23255813953488372,0.265625,0.5952380952380952,0.40967324519935133,0.5142857142857142,1.0,0.34615384615384615,1199,398,42,64,21,0.4749999999999999,0.40967324519935133
BA,Industrial Goods,BiLSTM,classification,5,,,,0.34240528516707336,0.3333333333333333,1.0,0.2,0.625,0.7857142857142857,0.5734966396779716,0.8085106382978723,0.8636363636363636,0.76,1199,398,42,64,22,0.575,0.5734966396779716
BABA,Services,BiLSTM,classification,5,,,,0.13912166872805048,0.09523809523809523,1.0,0.05,0.40625,0.8333333333333334,0.5930913036200314,0.6956521739130435,0.8,0.6153846153846154,686,164,42,64,21,0.5249999999999999,0.5930913036200314
BAC,Financial,BiLSTM,classification,5,,,,0.22721652007844526,0.48148148148148145,0.7647058823529411,0.35135135135135137,0.5625,0.6904761904761905,0.40406101782088427,0.6285714285714286,0.5238095238095238,0.7857142857142857,1199,398,42,64,21,0.575,0.40406101782088427
