company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,classification,15,5,1,0.658007474999931,0.8744574785232544,398,42,64
AAPL,Consumer Goods,GRU,classification,15,5,2,0.5257636386545459,1.6005759750093733,398,42,64
AAPL,Consumer Goods,GRU,classification,15,5,3,0.4732773286014346,1.9967305489948817,398,42,64
AAPL,Consumer Goods,GRU,classification,15,5,4,0.4120068705860694,2.59992185660771,398,42,64
AAPL,Consumer Goods,GRU,classification,15,5,5,0.3504217416796852,2.0615704456965127,398,42,64
AAPL,Consumer Goods,GRU,classification,15,5,6,0.3069300262173216,3.7994692779722667,398,42,64
AAPL,Consumer Goods,GRU,classification,15,5,7,0.2649999527475942,3.2575691086905345,398,42,64
AAPL,Consumer Goods,GRU,classification,15,5,8,0.25300771896563584,4.590751727422078,398,42,64
AAPL,Consumer Goods,GRU,classification,15,5,9,0.2836158226183311,4.837058907463437,398,42,64
AAPL,Consumer Goods,GRU,classification,15,5,10,0.31350228759511634,5.5608445803324384,398,42,64
AAPL,Consumer Goods,GRU,classification,15,5,11,0.2272240020821442,4.561835493360247,398,42,64
ABB,Industrial Goods,GRU,classification,15,5,1,0.6579531515063952,1.1417538835888816,398,42,64
ABB,Industrial Goods,GRU,classification,15,5,2,0.5633400735543601,2.621497733252389,398,42,64
ABB,Industrial Goods,GRU,classification,15,5,3,0.5219444517214694,3.544249477840605,398,42,64
ABB,Industrial Goods,GRU,classification,15,5,4,0.4738735975931637,4.0096275806427,398,42,64
ABB,Industrial Goods,GRU,classification,15,5,5,0.42771150965486937,4.361972842897687,398,42,64
ABB,Industrial Goods,GRU,classification,15,5,6,0.38555411664984335,4.961339575903756,398,42,64
ABB,Industrial Goods,GRU,classification,15,5,7,0.3541577468490481,5.141412678219023,398,42,64
ABB,Industrial Goods,GRU,classification,15,5,8,0.30812785898021716,3.9618869509015764,398,42,64
ABB,Industrial Goods,GRU,classification,15,5,9,0.2915061170881118,6.064794222513835,398,42,64
ABB,Industrial Goods,GRU,classification,15,5,10,0.28035516493097323,3.7625932352883473,398,42,64
ABB,Industrial Goods,GRU,classification,15,5,11,0.2900903071440644,5.6889301254635765,398,42,64
