company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,GRU,classification,5,,,,0.025861699363244256,0.45614035087719296,0.5,0.41935483870967744,0.515625,0.6904761904761905,0.432131230681727,0.7346938775510204,0.6206896551724138,0.9,938,398,42,64,21,0.615,0.432131230681727
ABB,Industrial Goods,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.578125,0.6904761904761905,0.22587697572631282,0.38095238095238093,0.5714285714285714,0.2857142857142857,938,398,42,64,21,0.69,0.22587697572631282
ABBV,Healthcare,GRU,classification,5,,,,0.29012942659282975,0.56,0.6363636363636364,0.5,0.65625,0.8095238095238095,0.5382814881567385,0.6666666666666666,0.6153846153846154,0.7272727272727273,857,336,42,64,21,0.82,0.5382814881567385
AEP,Utilities,GRU,classification,5,,,,0.3913804711258256,0.7466666666666667,0.717948717948718,0.7777777777777778,0.703125,0.7857142857142857,0.570087712549569,0.8524590163934426,0.7428571428571429,1.0,938,398,42,64,22,0.27499999999999997,0.570087712549569
AMGN,Healthcare,GRU,classification,5,,,,0.13078700560091738,0.19047619047619047,0.8,0.10810810810810811,0.46875,0.8333333333333334,0.6516946235415336,0.7741935483870968,0.7058823529411765,0.8571428571428571,938,398,42,64,21,0.635,0.6516946235415336
AMZN,Services,GRU,classification,5,,,,0.22476932842896022,0.24489795918367346,1.0,0.13953488372093023,0.421875,0.7380952380952381,0.5159828856858706,0.7555555555555555,0.8947368421052632,0.6538461538461539,938,398,42,64,23,0.3549999999999999,0.5159828856858706
BA,Industrial Goods,GRU,classification,5,,,,0.38737781366765006,0.5833333333333334,0.7777777777777778,0.4666666666666667,0.6875,0.7619047619047619,0.5058823529411764,0.8,0.8,0.8,938,398,42,64,22,0.49499999999999994,0.5058823529411764
BAC,Financial,GRU,classification,5,,,,0.05372381380046503,0.2916666666666667,0.6363636363636364,0.1891891891891892,0.46875,0.8095238095238095,0.5590169943749475,0.6923076923076923,0.75,0.6428571428571429,938,398,42,64,21,0.5499999999999999,0.5590169943749475
BBL,Basic Matierials,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.734375,0.7142857142857143,0.4121678698554467,0.5,0.8571428571428571,0.35294117647058826,938,398,42,64,21,0.715,0.4121678698554467
BCH,Financial,GRU,classification,5,,,,0.21386683445985732,0.5217391304347826,0.3673469387755102,0.9,0.484375,0.6666666666666666,0.38734148042766225,0.75,0.6176470588235294,0.9545454545454546,938,398,42,64,21,0.61,0.38734148042766225
BHP,Basic Matierials,GRU,classification,5,,,,0.20934427194271113,0.4727272727272727,0.34210526315789475,0.7647058823529411,0.546875,0.7857142857142857,0.5477225575051661,0.5714285714285714,1.0,0.4,938,398,42,64,21,0.7699999999999999,0.5477225575051661
BP,Basic Matierials,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.640625,0.7142857142857143,0.40705882352941175,0.6470588235294118,0.6470588235294118,0.6470588235294118,938,398,42,64,21,0.6399999999999999,0.40705882352941175
BRK-A,Financial,GRU,classification,5,,,,0.0,0.6526315789473685,0.484375,1.0,0.484375,0.5952380952380952,0.31622776601683794,0.6046511627906976,0.4642857142857143,0.8666666666666667,938,398,42,64,21,0.49999999999999994,0.31622776601683794
BSAC,Financial,GRU,classification,5,,,,0.013172980944868722,0.47761194029850745,0.36363636363636365,0.6956521739130435,0.453125,0.5952380952380952,0.16803361008336118,0.5142857142857142,0.5294117647058824,0.5,938,398,42,64,21,0.5099999999999999,0.16803361008336118
