company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,classification,15,1,1,0.7969017708720874,0.7365289642697289,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,2,0.7091996517013665,0.87069852295376,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,3,0.690116030187463,0.8379954866000584,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,4,0.6107128645906497,1.0714181548073178,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,5,0.6143638240033059,0.7836890305791583,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,6,0.5573152114997557,1.6198203961054485,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,7,0.536427239377295,1.2572277614048548,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,8,0.48219960718298677,1.6352389029094152,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,9,0.4503679613971231,2.609947692780268,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,10,0.4638456321092107,2.550603599775405,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,11,0.5230330076049919,2.0568591753641763,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,12,0.4243677221051413,1.679373860359192,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,13,0.35021026282753775,2.294174932298206,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,14,0.24070009551755148,1.6067907129015242,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,15,0.22063176955409985,2.1255745660691034,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,16,0.17528227885164807,2.0031763371967135,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,17,0.15392780275875,2.458487107640221,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,18,0.1416566809030933,2.1453000023251487,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,19,0.1498595307295646,2.2568560952232,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,20,0.1380679652459882,2.5846461057662964,398,42,64
AAPL,Consumer Goods,LSTM,classification,15,1,21,0.1104739514652209,3.006144608770098,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,1,0.7742205298126642,0.8397434751192728,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,2,0.753346670512578,0.7218635933739799,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,3,0.7116530968915278,0.8122980452719188,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,4,0.6776768313580422,1.216375708580017,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,5,0.6862089780706856,0.880894212495713,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,6,0.6699017136540245,0.7838360695611863,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,7,0.6408559560176715,1.6171145893278576,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,8,0.6017400421688904,2.372074161257063,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,9,0.5904252517163454,1.9647208963121687,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,10,0.6373052405352568,2.309858276730492,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,11,0.553050923287569,3.3133511543273926,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,12,0.5599701563317572,3.433767000834147,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,13,0.6195431029676792,2.0561818849472773,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,14,0.5201759570507548,3.2921831721351262,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,15,0.4039739015413888,2.8464988753909157,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,16,0.33519907565272633,4.201100440252395,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,17,0.3485772773698347,4.595019022623698,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,18,0.3654406557430574,4.091596580687023,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,19,0.31218916016757187,5.1459371248881025,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,20,0.2833640821764817,5.256494113377163,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,21,0.31987123797886335,5.566686902727399,398,42,64
ABB,Industrial Goods,LSTM,classification,15,1,22,0.2508419844972428,5.637895720345633,398,42,64
