company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,LSTM,classification,5,,,,-0.07432402091979178,0.37037037037037035,0.43478260869565216,0.3225806451612903,0.46875,0.6428571428571429,0.32900900517813303,0.6938775510204082,0.5862068965517241,0.85,933,398,42,64,21,0.6849999999999999,0.32900900517813303
ABB,Industrial Goods,LSTM,classification,5,,,,0.4494455642331587,0.5263157894736842,0.9090909090909091,0.37037037037037035,0.71875,0.6428571428571429,0.4216370213557839,0.6341463414634146,0.48148148148148145,0.9285714285714286,933,398,42,64,21,0.6449999999999999,0.4216370213557839
ABBV,Healthcare,LSTM,classification,5,,,,0.10677275981195139,0.5396825396825397,0.4857142857142857,0.6071428571428571,0.546875,0.7857142857142857,0.3753785967647742,0.3076923076923077,1.0,0.18181818181818182,852,331,42,64,26,0.635,0.3753785967647742
AEP,Utilities,LSTM,classification,5,,,,0.2219167619785609,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.625,0.7857142857142857,0.570087712549569,0.8524590163934426,0.7428571428571429,1.0,933,398,42,64,21,0.4499999999999999,0.570087712549569
AMGN,Healthcare,LSTM,classification,5,,,,0.31433172308528684,0.7341772151898734,0.6904761904761905,0.7837837837837838,0.671875,0.7857142857142857,0.6426845869171515,0.7567567567567568,0.6086956521739131,1.0,933,398,42,64,25,0.14999999999999997,0.6426845869171515
AMZN,Services,LSTM,classification,5,,,,-0.099230849433283,0.5,0.6206896551724138,0.4186046511627907,0.4375,0.7142857142857143,0.4534492901541017,0.7391304347826086,0.85,0.6538461538461539,933,398,42,64,21,0.4099999999999999,0.4534492901541017
BA,Industrial Goods,LSTM,classification,5,,,,0.23608834134288118,0.18181818181818182,1.0,0.1,0.578125,0.7380952380952381,0.47637220876476666,0.7659574468085106,0.8181818181818182,0.72,933,398,42,64,21,0.57,0.47637220876476666
BAC,Financial,LSTM,classification,5,,,,0.0,0.7326732673267327,0.578125,1.0,0.578125,0.6190476190476191,0.39285714285714285,0.6190476190476191,0.4642857142857143,0.9285714285714286,933,398,42,64,21,0.33999999999999997,0.39285714285714285
BBL,Basic Matierials,LSTM,classification,5,,,,0.1373322805486057,0.4406779661016949,0.30952380952380953,0.7647058823529411,0.484375,0.7857142857142857,0.5487954724560282,0.7096774193548387,0.7857142857142857,0.6470588235294118,933,398,42,64,22,0.5599999999999999,0.5487954724560282
BCH,Financial,LSTM,classification,5,,,,0.21684543705982773,0.5128205128205128,0.3448275862068966,1.0,0.40625,0.6666666666666666,0.42817441928883765,0.7586206896551724,0.6111111111111112,1.0,933,398,42,64,21,0.4749999999999999,0.42817441928883765
BHP,Basic Matierials,LSTM,classification,5,,,,0.13939786887642114,0.4,0.34782608695652173,0.47058823529411764,0.625,0.7857142857142857,0.5477225575051661,0.5714285714285714,1.0,0.4,933,398,42,64,22,0.5199999999999999,0.5477225575051661
BP,Basic Matierials,LSTM,classification,5,,,,0.13939786887642114,0.4,0.47058823529411764,0.34782608695652173,0.625,0.6666666666666666,0.41216786985544673,0.6818181818181818,0.5555555555555556,0.8823529411764706,933,398,42,64,21,0.6549999999999999,0.41216786985544673
BRK-A,Financial,LSTM,classification,5,,,,0.22880833080875376,0.17647058823529413,1.0,0.0967741935483871,0.5625,0.6904761904761905,0.35860956909327935,0.6060606060606061,0.5555555555555556,0.6666666666666666,933,398,42,64,21,0.695,0.35860956909327935
BSAC,Financial,LSTM,classification,5,,,,0.23949284998360595,0.5,0.5238095238095238,0.4782608695652174,0.65625,0.6428571428571429,0.26605321596532183,0.5714285714285714,0.5882352941176471,0.5555555555555556,933,398,42,64,21,0.585,0.26605321596532183
BUD,Consumer Goods,LSTM,classification,5,,,,0.1210898699241207,0.08695652173913043,1.0,0.045454545454545456,0.34375,0.6666666666666666,0.33190618145300227,0.6111111111111112,0.55,0.6875,933,398,42,64,21,0.62,0.33190618145300227
C,Financial,LSTM,classification,5,,,,0.20186484220860829,0.15789473684210525,1.0,0.08571428571428572,0.5,0.7380952380952381,0.33397374378603706,0.26666666666666666,1.0,0.15384615384615385,933,398,42,64,21,0.71,0.33397374378603706
CAT,Industrial Goods,LSTM,classification,5,,,,0.15876227390051378,0.32558139534883723,0.7,0.21212121212121213,0.546875,0.6666666666666666,0.3363363969981562,0.3,1.0,0.17647058823529413,933,398,42,64,21,0.69,0.3363363969981562
CELG,Healthcare,LSTM,classification,5,,,,0.14640316381507212,0.6301369863013698,0.5897435897435898,0.6764705882352942,0.578125,0.8809523809523809,0.7561512453751252,0.8571428571428571,0.8823529411764706,0.8333333333333334,933,398,42,64,23,0.41999999999999993,0.7561512453751252
CHL,Technology,LSTM,classification,5,,,,0.1495148637622428,0.49382716049382713,0.32786885245901637,1.0,0.359375,0.6904761904761905,0.515876954571596,0.7346938775510204,0.5806451612903226,1.0,933,398,42,64,21,0.5149999999999999,0.515876954571596
CHTR,Services,LSTM,classification,5,,,,0.0,0.6382978723404256,0.46875,1.0,0.46875,0.7619047619047619,0.5150844037233139,0.8275862068965517,0.7272727272727273,0.96,933,398,42,64,21,0.43999999999999995,0.5150844037233139
CMCSA,Services,LSTM,classification,5,,,,-0.1955795646794894,0.0,0.0,0.0,0.515625,0.7380952380952381,0.5181036310903636,0.7317073170731707,0.8823529411764706,0.625,933,398,42,64,25,0.595,0.5181036310903636
CODI,Conglomerates,LSTM,classification,5,,,,0.14977900439610384,0.5333333333333333,0.45714285714285713,0.64,0.5625,0.7142857142857143,0.3942307692307692,0.625,0.625,0.625,933,398,42,64,21,0.57,0.3942307692307692
CSCO,Technology,LSTM,classification,5,,,,0.12211066665535371,0.058823529411764705,1.0,0.030303030303030304,0.5,0.6428571428571429,0.28867513459481287,0.6153846153846154,0.6666666666666666,0.5714285714285714,933,398,42,64,21,0.6549999999999999,0.28867513459481287
CVX,Basic Matierials,LSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.5,0.5476190476190477,0.17056057308448835,0.3448275862068966,0.7142857142857143,0.22727272727272727,933,398,42,64,21,0.6549999999999999,0.17056057308448835
D,Utilities,LSTM,classification,5,,,,0.0,0.6666666666666666,0.5,1.0,0.5,0.6904761904761905,0.42447635997800887,0.7868852459016393,0.6486486486486487,1.0,933,398,42,64,21,0.21999999999999997,0.42447635997800887
DHR,Industrial Goods,LSTM,classification,5,,,,0.09217385805597667,0.35555555555555557,0.5714285714285714,0.25806451612903225,0.546875,0.6428571428571429,0.3472255907327807,0.6511627906976745,0.5384615384615384,0.8235294117647058,933,398,42,64,21,0.44499999999999995,0.3472255907327807
DIS,Services,LSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.46875,0.7142857142857143,0.4195731958391368,0.5714285714285714,0.8,0.4444444444444444,933,398,42,64,21,0.7899999999999999,0.4195731958391368
DUK,Utilities,LSTM,classification,5,,,,0.2581988897471611,0.6956521739130435,0.5333333333333333,1.0,0.5625,0.7380952380952381,0.49507377148833714,0.819672131147541,0.6944444444444444,1.0,933,398,42,64,21,0.42999999999999994,0.49507377148833714
EXC,Utilities,LSTM,classification,5,,,,0.0,0.6382978723404256,0.46875,1.0,0.46875,0.6666666666666666,0.4472135954999579,0.75,0.6,1.0,933,398,42,64,21,0.5199999999999999,0.4472135954999579
FB,Technology,LSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.40625,0.5,0.2401922307076307,0.2222222222222222,1.0,0.125,933,398,42,64,21,0.5149999999999999,0.2401922307076307
