number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
118,0.2240007495334426,2026-02-13 05:15:30.112186,2026-02-13 05:18:26.057749,0 days 00:02:55.945563,16,0.4,0.000269259152476116,15,text_indicators,128,64,1,0.6298062045763981,0.2,0.006392914639841219,0.4,7,30,BiGRU,1,30,0.0005699032939629191,0.5676958852810605,0.6776031960558546,0.2240007495334426,0.5296607516730026,0.9599127913572993,COMPLETE,0.6776031960558546,0.2240007495334426,0.5296607516730026,0.9599127913572993,0.5676958852810605
27,0.22222141535732745,2026-02-13 01:31:35.161185,2026-02-13 01:33:07.888618,0 days 00:01:32.727433,16,0.7000000000000001,3.2305372856517196e-05,10,text_indicators,64,32,1,0.25713456430481985,0.2,0.00987688895426665,0.4,5,50,GRU,2,36,3.923557381769856e-05,0.5817773695305257,0.6781560283127603,0.22222141535732745,0.5404009000370916,0.9316277769586606,COMPLETE,0.6781560283127603,0.22222141535732745,0.5404009000370916,0.9316277769586606,0.5817773695305257
163,0.21965891988223113,2026-02-13 07:29:08.140376,2026-02-13 07:32:36.888881,0 days 00:03:28.748505,16,0.6000000000000001,0.004725797806444547,15,text_indicators,256,64,1,0.3891199792862439,0.2,0.002456090987053886,0.4,10,30,BiGRU,1,18,0.0008768618833107289,0.5816341306071766,0.6745491513380435,0.21965891988223113,0.5431072546014384,0.9180864068610934,COMPLETE,0.6745491513380435,0.21965891988223113,0.5431072546014384,0.9180864068610934,0.5816341306071766
145,0.21929029322108706,2026-02-13 06:26:26.669115,2026-02-13 06:29:06.405205,0 days 00:02:39.736090,16,0.6000000000000001,0.0028467413109738134,15,text_indicators,128,64,1,0.5515450041141049,0.2,0.007186832829576233,0.4,10,30,BiGRU,1,30,0.0006320514803845375,0.5718852802107514,0.6788101525178053,0.21929029322108706,0.5388832463867698,0.9478007830993674,COMPLETE,0.6788101525178053,0.21929029322108706,0.5388832463867698,0.9478007830993674,0.5718852802107514
123,0.21748456859722795,2026-02-13 05:29:43.917378,2026-02-13 05:32:34.638972,0 days 00:02:50.721594,16,0.4,0.0026334251125199265,15,text_indicators,128,64,1,0.4669734603190389,0.2,0.0030378118244842327,0.4,10,30,BiGRU,1,30,3.5945368178206787e-07,0.5727460322229562,0.6740005969281091,0.21748456859722795,0.5337802580230963,0.9375458525536301,COMPLETE,0.6740005969281091,0.21748456859722795,0.5337802580230963,0.9375458525536301,0.5727460322229562
149,0.21705816703401037,2026-02-13 06:36:18.144683,2026-02-13 06:40:50.735064,0 days 00:04:32.590381,16,0.6000000000000001,0.0033315654685566517,15,text_indicators,256,64,1,0.45033562945164257,0.2,0.0024385927358500877,0.4,10,30,BiGRU,1,30,0.0006439683221830465,0.565370551954839,0.6753425377048486,0.21705816703401037,0.5275906778373959,0.9560133082703325,COMPLETE,0.6753425377048486,0.21705816703401037,0.5275906778373959,0.9560133082703325,0.565370551954839
162,0.21652483914814577,2026-02-13 07:25:41.963495,2026-02-13 07:29:08.139587,0 days 00:03:26.176092,16,0.6000000000000001,0.004474212372843619,15,text_indicators,256,64,1,0.4015399928967047,0.2,0.0025290263973764167,0.4,10,30,BiGRU,1,18,0.0008876770745528147,0.5743224856222073,0.6749737679805975,0.21652483914814577,0.5389190577851586,0.9344185740176938,COMPLETE,0.6749737679805975,0.21652483914814577,0.5389190577851586,0.9344185740176938,0.5743224856222073
157,0.21512030904826981,2026-02-13 07:12:51.574037,2026-02-13 07:15:28.442078,0 days 00:02:36.868041,16,0.6000000000000001,0.0029719535202301136,15,text_indicators,256,64,1,0.39972062544230125,0.2,0.0036739777225871973,0.4,10,30,BiGRU,1,12,0.0003717991420880647,0.5596490644631504,0.6707973193553033,0.21512030904826981,0.5258547895545059,0.954807411735318,COMPLETE,0.6707973193553033,0.21512030904826981,0.5258547895545059,0.954807411735318,0.5596490644631504
99,0.2144380092912915,2026-02-13 04:06:57.312396,2026-02-13 04:10:31.350624,0 days 00:03:34.038228,16,0.5,0.002766236863937727,10,text_indicators,128,64,1,0.831384015903659,0.4,0.008665259908872836,0.4,7,50,BiGRU,2,30,0.0002888800608575936,0.5647969147387554,0.6756248374268546,0.2144380092912915,0.534311012250664,0.9488985109996344,COMPLETE,0.6756248374268546,0.2144380092912915,0.534311012250664,0.9488985109996344,0.5647969147387554
78,0.21307898152489368,2026-02-13 03:21:24.043617,2026-02-13 03:22:52.213653,0 days 00:01:28.170036,64,0.5,0.0010645844252200806,15,text_indicators,128,128,1,0.6420298667795629,0.2,0.008439677876993396,0.4,5,20,GRU,2,30,5.8053783003331106e-05,0.559619709010583,0.6728232482365496,0.21307898152489368,0.5285398626932188,0.9551086266836597,COMPLETE,0.6728232482365496,0.21307898152489368,0.5285398626932188,0.9551086266836597,0.559619709010583
