number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
130,0.6841330833076436,2026-02-04 00:19:08.804079,2026-02-04 00:20:51.255648,0 days 00:01:42.451569,32,0.4,20,text_indicators,256,64,1,0.0,0.007163577012851027,0.4,10,20,GRU,1,24,0.0021278305270125888,,0.6841330833076436,,,,COMPLETE,0.6841330833076436,,,,
122,0.6790820056792377,2026-02-04 00:03:45.778725,2026-02-04 00:07:36.907373,0 days 00:03:51.128648,32,0.5,20,text_indicators,256,64,1,0.0,0.007876032926090099,0.8,5,20,BiLSTM,1,24,0.006233337112709843,,0.6790820056792377,,,,COMPLETE,0.6790820056792377,,,,
129,0.6789273152720284,2026-02-04 00:17:26.896462,2026-02-04 00:19:08.803496,0 days 00:01:41.907034,32,0.4,20,text_indicators,256,64,1,0.0,0.007232779240118479,0.4,10,20,GRU,1,24,0.0013700333892473619,,0.6789273152720284,,,,COMPLETE,0.6789273152720284,,,,
121,0.6786317605024256,2026-02-04 00:02:08.221456,2026-02-04 00:03:45.778212,0 days 00:01:37.556756,32,0.5,20,text_indicators,256,64,1,0.0,0.008284569255366228,0.8,5,20,GRU,1,24,0.0023729736954378987,,0.6786317605024256,,,,COMPLETE,0.6786317605024256,,,,
128,0.678392959369761,2026-02-04 00:15:45.494135,2026-02-04 00:17:26.895750,0 days 00:01:41.401615,32,0.5,20,text_indicators,256,64,1,0.0,0.007287424371925647,0.8,10,20,GRU,1,24,0.003124099240269374,,0.678392959369761,,,,COMPLETE,0.678392959369761,,,,
127,0.6774965459345408,2026-02-04 00:14:06.270076,2026-02-04 00:15:45.493468,0 days 00:01:39.223392,32,0.5,20,text_indicators,256,64,1,0.0,0.005203950657472187,0.8,5,20,GRU,1,24,0.002036699082343144,,0.6774965459345408,,,,COMPLETE,0.6774965459345408,,,,
71,0.6769893734737416,2026-02-03 22:32:13.106551,2026-02-03 22:33:10.098355,0 days 00:00:56.991804,32,0.5,20,text_indicators,64,64,1,0.0,0.007703343265297757,0.8,5,20,GRU,2,24,0.0004380868003113842,,0.6769893734737416,,,,COMPLETE,0.6769893734737416,,,,
123,0.6769560471163499,2026-02-04 00:07:36.908094,2026-02-04 00:09:11.605570,0 days 00:01:34.697476,32,0.5,20,text_indicators,256,64,1,0.0,0.007948999359577255,0.8,5,20,GRU,1,24,0.006355014263053976,,0.6769560471163499,,,,COMPLETE,0.6769560471163499,,,,
34,0.6763862229393673,2026-02-03 17:53:06.350154,2026-02-03 17:57:14.970980,0 days 00:04:08.620826,32,0.4,20,text_indicators,256,64,1,0.1,0.002058078814035388,0.8,7,20,BiLSTM,1,30,2.375514361540619e-05,,0.6763862229393673,,,,COMPLETE,0.6763862229393673,,,,
85,0.6761698935468843,2026-02-03 22:51:14.845417,2026-02-03 22:52:17.628949,0 days 00:01:02.783532,32,0.4,20,text_indicators,64,64,1,0.0,0.002266276347423183,0.8,7,20,BiLSTM,1,24,1.0124079034430184e-07,,0.6761698935468843,,,,COMPLETE,0.6761698935468843,,,,
19,0.6761201404746684,2026-02-03 17:00:56.849655,2026-02-03 17:02:55.202232,0 days 00:01:58.352577,32,0.6,20,text_indicators,128,64,1,0.0,0.0030450105486219546,0.8,5,20,BiGRU,1,24,0.008835680121072692,,0.6761201404746684,,,,COMPLETE,0.6761201404746684,,,,
91,0.6760480700154359,2026-02-03 23:08:34.754881,2026-02-03 23:09:33.607381,0 days 00:00:58.852500,32,0.5,20,text_indicators,64,64,1,0.0,0.005686238021950982,0.8,5,20,BiGRU,1,24,5.680491766512081e-05,,0.6760480700154359,,,,COMPLETE,0.6760480700154359,,,,
126,0.6760230109031488,2026-02-04 00:12:28.261114,2026-02-04 00:14:06.269568,0 days 00:01:38.008454,32,0.4,20,text_indicators,256,64,1,0.0,0.007214207588453751,0.8,5,20,GRU,1,24,0.0020270141762118057,,0.6760230109031488,,,,COMPLETE,0.6760230109031488,,,,
43,0.6759711358941378,2026-02-03 18:38:18.674490,2026-02-03 18:55:02.818538,0 days 00:16:44.144048,32,0.4,20,text_indicators,256,64,1,0.0,0.0038490288820042227,0.8,10,20,BiLSTM,1,18,3.5043130580949975e-06,,0.6759711358941378,,,,COMPLETE,0.6759711358941378,,,,
22,0.6757679684263027,2026-02-03 17:06:11.161294,2026-02-03 17:08:07.256594,0 days 00:01:56.095300,32,0.5,20,text_indicators,128,64,1,0.0,0.0019827802712218483,0.8,5,20,BiGRU,1,24,0.0009975543633452752,,0.6757679684263027,,,,COMPLETE,0.6757679684263027,,,,
114,0.6755153688585445,2026-02-03 23:51:33.257431,2026-02-03 23:53:24.824395,0 days 00:01:51.566964,32,0.5,20,text_indicators,128,64,1,0.0,0.006126550705221177,0.8,5,20,BiGRU,1,24,0.0031619822356092693,,0.6755153688585445,,,,COMPLETE,0.6755153688585445,,,,
26,0.6755145676288423,2026-02-03 17:12:25.044205,2026-02-03 17:14:37.869773,0 days 00:02:12.825568,32,0.5,20,text_indicators,128,64,1,0.1,0.006521634347725887,0.8,5,20,BiGRU,1,30,0.003751642092524574,,0.6755145676288423,,,,COMPLETE,0.6755145676288423,,,,
33,0.6752551380045894,2026-02-03 17:38:48.299137,2026-02-03 17:53:06.348852,0 days 00:14:18.049715,32,0.4,20,text_indicators,256,64,1,0.0,0.0025171533100641435,0.8,5,20,BiLSTM,1,24,2.6440298517020342e-05,,0.6752551380045894,,,,COMPLETE,0.6752551380045894,,,,
111,0.6744844528620136,2026-02-03 23:45:39.281933,2026-02-03 23:47:43.838570,0 days 00:02:04.556637,32,0.5,20,text_indicators,128,64,1,0.0,0.009895116281550261,0.8,5,20,BiGRU,1,24,0.0047294915906751,,0.6744844528620136,,,,COMPLETE,0.6744844528620136,,,,
56,0.6743180042947197,2026-02-03 21:47:07.213858,2026-02-03 21:51:16.641472,0 days 00:04:09.427614,32,0.5,20,text_indicators,256,64,1,0.0,0.0015143401975843882,0.8,5,50,BiLSTM,1,24,0.0024869575144777292,,0.6743180042947197,,,,COMPLETE,0.6743180042947197,,,,
17,0.6742365431360877,2026-02-03 16:55:15.719778,2026-02-03 16:59:47.430252,0 days 00:04:31.710474,32,0.5,20,text_indicators,64,64,1,0.0,0.009955241494150485,0.8,5,20,GRU,2,24,0.00037104145121208344,,0.6742365431360877,,,,COMPLETE,0.6742365431360877,,,,
31,0.6742039270138499,2026-02-03 17:23:04.654893,2026-02-03 17:32:01.037484,0 days 00:08:56.382591,32,0.5,20,text_indicators,128,64,1,0.0,0.004598882069164998,0.8,5,20,BiGRU,1,24,0.004639342184378688,,0.6742039270138499,,,,COMPLETE,0.6742039270138499,,,,
54,0.6740428184840498,2026-02-03 21:40:48.596268,2026-02-03 21:44:51.867410,0 days 00:04:03.271142,32,0.4,20,text_indicators,256,64,1,0.0,0.004527706922080277,0.8,5,30,BiLSTM,1,24,6.861124740690061e-06,,0.6740428184840498,,,,COMPLETE,0.6740428184840498,,,,
92,0.6739403330678333,2026-02-03 23:09:33.607822,2026-02-03 23:10:32.570764,0 days 00:00:58.962942,32,0.5,20,text_indicators,64,64,1,0.0,0.005894253752514576,0.8,5,20,BiGRU,1,24,1.6024644425683197e-05,,0.6739403330678333,,,,COMPLETE,0.6739403330678333,,,,
65,0.6739385470675078,2026-02-03 22:17:49.758420,2026-02-03 22:21:01.793135,0 days 00:03:12.034715,32,0.6,20,text_indicators,256,64,1,0.0,0.0021565315410889126,0.8,5,50,BiGRU,1,24,0.0006093565732277132,,0.6739385470675078,,,,COMPLETE,0.6739385470675078,,,,
124,0.6738092482514718,2026-02-04 00:09:11.606265,2026-02-04 00:10:48.572710,0 days 00:01:36.966445,32,0.5,20,text_indicators,256,64,1,0.0,0.008191506483685862,0.8,5,20,GRU,1,24,0.006427597162240493,,0.6738092482514718,,,,COMPLETE,0.6738092482514718,,,,
108,0.6737399859362938,2026-02-03 23:37:55.951061,2026-02-03 23:41:15.927690,0 days 00:03:19.976629,32,0.4,20,text_indicators,256,64,1,0.1,0.008634941881857454,0.8,5,50,BiGRU,1,24,0.000559194726732433,,0.6737399859362938,,,,COMPLETE,0.6737399859362938,,,,
125,0.673225323605759,2026-02-04 00:10:48.573190,2026-02-04 00:12:28.260306,0 days 00:01:39.687116,32,0.5,20,text_indicators,256,64,1,0.0,0.006359935287900644,0.8,5,20,GRU,1,24,0.00963287465753714,,0.673225323605759,,,,COMPLETE,0.673225323605759,,,,
73,0.6732023543782635,2026-02-03 22:34:07.743074,2026-02-03 22:35:05.840144,0 days 00:00:58.097070,32,0.5,20,text_indicators,64,64,1,0.0,0.002898375957135771,0.8,5,20,GRU,2,24,0.004092661324599596,,0.6732023543782635,,,,COMPLETE,0.6732023543782635,,,,
94,0.6731702631434442,2026-02-03 23:11:30.864779,2026-02-03 23:12:28.266420,0 days 00:00:57.401641,32,0.4,20,text_indicators,64,64,1,0.0,0.0021574777043144905,0.8,5,20,BiGRU,1,24,5.879622137133746e-05,,0.6731702631434442,,,,COMPLETE,0.6731702631434442,,,,
