number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
161,0.7143827391002997,2026-02-05 04:29:26.404383,2026-02-05 04:32:19.085497,0 days 00:02:52.681114,32,0.8,20,sector_indicators,256,64,5,0.0,0.004012607052624495,0.8,10,30,BiGRU,1,24,5.9568853633344425e-06,,0.7143827391002997,,,,COMPLETE,0.7143827391002997,,,,
188,0.7119819858339941,2026-02-05 05:44:13.051406,2026-02-05 05:46:50.646131,0 days 00:02:37.594725,32,0.8,20,sector_indicators,256,64,5,0.4,0.0028333100838733886,0.8,10,20,BiGRU,1,24,3.7246064725127346e-05,,0.7119819858339941,,,,COMPLETE,0.7119819858339941,,,,
189,0.7106336393190947,2026-02-05 05:46:50.646642,2026-02-05 05:49:23.000317,0 days 00:02:32.353675,32,0.8,20,sector_indicators,256,64,5,0.4,0.0024410900240170058,0.8,10,20,BiGRU,1,24,2.310812651636026e-05,,0.7106336393190947,,,,COMPLETE,0.7106336393190947,,,,
165,0.7100578744128914,2026-02-05 04:40:52.848920,2026-02-05 04:43:45.036058,0 days 00:02:52.187138,32,0.8,20,sector_indicators,256,64,5,0.4,0.0027164246744941587,0.8,10,30,BiGRU,1,24,6.432946154488777e-06,,0.7100578744128914,,,,COMPLETE,0.7100578744128914,,,,
191,0.7099778396203061,2026-02-05 05:52:02.696222,2026-02-05 05:54:36.704909,0 days 00:02:34.008687,32,0.8,20,sector_indicators,256,64,5,0.4,0.003000933660046344,0.8,10,20,BiGRU,1,24,3.479774369883075e-05,,0.7099778396203061,,,,COMPLETE,0.7099778396203061,,,,
179,0.7096091495100948,2026-02-05 05:20:34.434684,2026-02-05 05:23:09.952909,0 days 00:02:35.518225,32,0.8,20,sector_indicators,256,64,5,0.4,0.004055437037661793,0.8,10,20,BiGRU,1,24,2.5692058572180293e-05,,0.7096091495100948,,,,COMPLETE,0.7096091495100948,,,,
170,0.7090513807810375,2026-02-05 04:55:00.016581,2026-02-05 04:57:50.602560,0 days 00:02:50.585979,32,0.8,20,sector_indicators,256,64,5,0.4,0.0027354306648183515,0.8,10,30,BiGRU,1,24,6.53302352078529e-06,,0.7090513807810375,,,,COMPLETE,0.7090513807810375,,,,
181,0.708985752163796,2026-02-05 05:25:43.160080,2026-02-05 05:28:16.660904,0 days 00:02:33.500824,32,0.8,20,sector_indicators,256,64,5,0.4,0.003810938166077646,0.8,10,20,BiGRU,1,24,2.326037399635542e-05,,0.708985752163796,,,,COMPLETE,0.708985752163796,,,,
135,0.7089628792742194,2026-02-05 03:12:09.270576,2026-02-05 03:16:26.241662,0 days 00:04:16.971086,16,0.7000000000000001,20,sector_text,256,32,5,0.0,0.0013786516634284641,0.8,7,30,BiGRU,1,24,1.976407251790697e-06,,0.7089628792742194,,,,COMPLETE,0.7089628792742194,,,,
159,0.7087658589675154,2026-02-05 04:23:35.988664,2026-02-05 04:26:34.796673,0 days 00:02:58.808009,32,0.8,20,sector_indicators,256,64,5,0.0,0.0011073953442542312,0.8,10,30,BiGRU,1,24,6.965175515535007e-06,,0.7087658589675154,,,,COMPLETE,0.7087658589675154,,,,
