company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiGRU,classification,20,1,1,0.9531331481646054,0.7416944049653553,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,1,2,0.7855522171336802,0.793488221509116,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,1,3,0.725651890788246,0.8174029844147819,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,1,4,0.6745261511011938,0.9081651880627587,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,1,5,0.6934208678240752,1.5061144090834118,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,1,6,0.6384820306121405,1.4205707822527205,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,1,7,0.7080451531625872,1.4888422716231573,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,1,8,0.6821708226922768,1.812934818721953,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,1,9,0.6246824935453021,2.6418345315115794,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,1,10,0.6448688812591322,2.7953197161356607,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,1,11,0.5837423256294212,2.741013731275286,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,1,1,0.8921975622225047,0.7670431420916602,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,1,2,0.7372435232502731,0.7915176209949312,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,1,3,0.6772083717973987,1.0738475322723389,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,1,4,0.6746559077171824,2.5519152595883323,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,1,5,0.6775081906486397,1.3419146083650135,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,1,6,0.6645566314908128,1.2705295994168235,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,1,7,0.6414203700707786,1.2325192406063987,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,1,8,0.6056838991054937,1.4800678888956706,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,1,9,0.5924449236548726,2.5418408938816617,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,1,10,0.5869316731266041,2.9063026564461842,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,1,11,0.551524875451572,2.84986906959897,398,42,64
ABBV,Healthcare,BiGRU,classification,20,1,1,0.8052373777137943,0.9894394477208456,326,42,64
ABBV,Healthcare,BiGRU,classification,20,1,2,0.7356524533289341,1.317952042534238,326,42,64
ABBV,Healthcare,BiGRU,classification,20,1,3,0.7278607952082815,1.2863906565166654,326,42,64
ABBV,Healthcare,BiGRU,classification,20,1,4,0.6920997906316277,1.4731975623539515,326,42,64
ABBV,Healthcare,BiGRU,classification,20,1,5,0.6591701251597493,1.4597235236849104,326,42,64
ABBV,Healthcare,BiGRU,classification,20,1,6,0.5902302382182489,2.121707178297497,326,42,64
ABBV,Healthcare,BiGRU,classification,20,1,7,0.6048956081911099,3.07913369224185,326,42,64
ABBV,Healthcare,BiGRU,classification,20,1,8,0.7245879999699036,1.7749659560975575,326,42,64
ABBV,Healthcare,BiGRU,classification,20,1,9,0.6123276766092499,2.8603856904166087,326,42,64
ABBV,Healthcare,BiGRU,classification,20,1,10,0.5628117997587824,3.301730065118699,326,42,64
ABBV,Healthcare,BiGRU,classification,20,1,11,0.5550578402960958,3.4850782666887556,326,42,64
AEP,Utilities,BiGRU,classification,20,1,1,0.8693818479926143,0.7184296477408636,398,42,64
AEP,Utilities,BiGRU,classification,20,1,2,0.7419843706653346,0.9185036591121128,398,42,64
AEP,Utilities,BiGRU,classification,20,1,3,0.6651713273034023,1.0795969111578805,398,42,64
AEP,Utilities,BiGRU,classification,20,1,4,0.7010725697680334,0.9058067628315517,398,42,64
AEP,Utilities,BiGRU,classification,20,1,5,0.6566087220182371,1.2249266874222529,398,42,64
AEP,Utilities,BiGRU,classification,20,1,6,0.6160108677705928,1.8387352511996315,398,42,64
AEP,Utilities,BiGRU,classification,20,1,7,0.6108577038774539,2.4986941927955266,398,42,64
AEP,Utilities,BiGRU,classification,20,1,8,0.63455315405999,1.6368005162193662,398,42,64
AEP,Utilities,BiGRU,classification,20,1,9,0.6088288938579847,1.6692053249904089,398,42,64
AEP,Utilities,BiGRU,classification,20,1,10,0.557737983051856,1.6366893677484422,398,42,64
AEP,Utilities,BiGRU,classification,20,1,11,0.5040981899853327,2.2921667780194963,398,42,64
AMGN,Healthcare,BiGRU,classification,20,1,1,0.9093867606254079,0.7933035634812855,398,42,64
AMGN,Healthcare,BiGRU,classification,20,1,2,0.7862161952047492,0.8484481828553336,398,42,64
AMGN,Healthcare,BiGRU,classification,20,1,3,0.7031010587011749,1.1885733945029122,398,42,64
AMGN,Healthcare,BiGRU,classification,20,1,4,0.692484245228408,1.1481606562932332,398,42,64
AMGN,Healthcare,BiGRU,classification,20,1,5,0.5955212948909357,1.4376408259073894,398,42,64
AMGN,Healthcare,BiGRU,classification,20,1,6,0.674235780035431,1.5718461672465007,398,42,64
AMGN,Healthcare,BiGRU,classification,20,1,7,0.6543949471047176,1.673269578388759,398,42,64
AMGN,Healthcare,BiGRU,classification,20,1,8,0.634336687811655,1.3760990074702673,398,42,64
AMGN,Healthcare,BiGRU,classification,20,1,9,0.5682009883861446,2.367927210671561,398,42,64
AMGN,Healthcare,BiGRU,classification,20,1,10,0.6165346566157125,1.8600720905122303,398,42,64
AMGN,Healthcare,BiGRU,classification,20,1,11,0.5656671401244312,1.6033980278741746,398,42,64
AMZN,Services,BiGRU,classification,20,1,1,0.9172149716909207,0.7417779962221781,398,42,64
AMZN,Services,BiGRU,classification,20,1,2,0.7390403546879639,0.7325733786537534,398,42,64
AMZN,Services,BiGRU,classification,20,1,3,0.7304085214533399,0.7623722893851144,398,42,64
AMZN,Services,BiGRU,classification,20,1,4,0.6978646951105127,1.1907452458427066,398,42,64
AMZN,Services,BiGRU,classification,20,1,5,0.7040317235280521,1.022066593170166,398,42,64
AMZN,Services,BiGRU,classification,20,1,6,0.6661400477490832,0.7911899941308158,398,42,64
AMZN,Services,BiGRU,classification,20,1,7,0.6390947432973277,0.9558581596329099,398,42,64
AMZN,Services,BiGRU,classification,20,1,8,0.6720702480431178,1.5184670573189145,398,42,64
AMZN,Services,BiGRU,classification,20,1,9,0.6310380385748705,0.7373317536853609,398,42,64
AMZN,Services,BiGRU,classification,20,1,10,0.6909452437156409,1.0018552541732788,398,42,64
AMZN,Services,BiGRU,classification,20,1,11,0.5791041392776834,1.1085030550048465,398,42,64
AMZN,Services,BiGRU,classification,20,1,12,0.6124402569166979,1.8927702279317946,398,42,64
BA,Industrial Goods,BiGRU,classification,20,1,1,0.9125126785968416,0.9898957354681832,398,42,64
BA,Industrial Goods,BiGRU,classification,20,1,2,0.7820188648736657,1.0082431747799827,398,42,64
BA,Industrial Goods,BiGRU,classification,20,1,3,0.6916940799310579,1.676886694771903,398,42,64
BA,Industrial Goods,BiGRU,classification,20,1,4,0.649642156296639,2.538519019172305,398,42,64
BA,Industrial Goods,BiGRU,classification,20,1,5,0.6563765292790666,3.5295416514078775,398,42,64
BA,Industrial Goods,BiGRU,classification,20,1,6,0.6414364732090553,2.7333124705723355,398,42,64
BA,Industrial Goods,BiGRU,classification,20,1,7,0.631907004207822,4.464262962341309,398,42,64
BA,Industrial Goods,BiGRU,classification,20,1,8,0.6336380075569727,2.706589494432722,398,42,64
BA,Industrial Goods,BiGRU,classification,20,1,9,0.5865986526910983,3.6219784872872487,398,42,64
BA,Industrial Goods,BiGRU,classification,20,1,10,0.629383853632002,3.6324044182187034,398,42,64
BA,Industrial Goods,BiGRU,classification,20,1,11,0.4907170417320788,5.697155316670735,398,42,64
BAC,Financial,BiGRU,classification,20,1,1,0.8415601159160461,0.8960804428373065,398,42,64
BAC,Financial,BiGRU,classification,20,1,2,0.7313975856531805,1.681453091757638,398,42,64
BAC,Financial,BiGRU,classification,20,1,3,0.7468027846897067,1.2886001496087938,398,42,64
BAC,Financial,BiGRU,classification,20,1,4,0.6681905541587715,1.501808138120742,398,42,64
BAC,Financial,BiGRU,classification,20,1,5,0.6422060789474889,2.0522081624893915,398,42,64
BAC,Financial,BiGRU,classification,20,1,6,0.6574712123104076,1.8432702677590507,398,42,64
BAC,Financial,BiGRU,classification,20,1,7,0.6443561914578155,1.7252254145486015,398,42,64
BAC,Financial,BiGRU,classification,20,1,8,0.5984527828106329,3.058612891605922,398,42,64
BAC,Financial,BiGRU,classification,20,1,9,0.5470895274500152,3.2008456048511325,398,42,64
BAC,Financial,BiGRU,classification,20,1,10,0.6275498471667419,3.599487895057315,398,42,64
BAC,Financial,BiGRU,classification,20,1,11,0.5388236357339063,2.9302145412990024,398,42,64
BBL,Basic Matierials,BiGRU,classification,20,1,1,0.8514805127627886,0.6703451502890814,398,42,64
