company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,BiGRU,classification,1,,,,-0.06859245370246428,0.47761194029850745,0.41025641025641024,0.5714285714285714,0.453125,0.5952380952380952,0.22360679774997896,0.45161290322580644,0.7,0.3333333333333333,932,398,42,64,11,0.4099999999999999,0.22360679774997896
ABB,Industrial Goods,BiGRU,classification,1,,,,0.0757356892408296,0.6027397260273972,0.5945945945945946,0.6111111111111112,0.546875,0.47619047619047616,0.2739983121755955,0.5769230769230769,0.40540540540540543,1.0,932,398,42,64,11,0.43499999999999994,0.2739983121755955
ABBV,Healthcare,BiGRU,classification,1,,,,0.22124350823336536,0.6153846153846154,0.6451612903225806,0.5882352941176471,0.609375,0.6904761904761905,0.4491707759470915,0.48,1.0,0.3157894736842105,851,326,42,64,11,0.8899999999999999,0.4491707759470915
AEP,Utilities,BiGRU,classification,1,,,,0.0821440096816907,0.14285714285714285,0.75,0.07894736842105263,0.4375,0.6666666666666666,0.32723112128146453,0.6956521739130435,0.6956521739130435,0.6956521739130435,932,398,42,64,11,0.6699999999999999,0.32723112128146453
AMGN,Healthcare,BiGRU,classification,1,,,,0.0849411985729376,0.26666666666666666,0.6666666666666666,0.16666666666666666,0.484375,0.6666666666666666,0.2850438562747845,0.2222222222222222,1.0,0.125,932,398,42,64,11,0.8499999999999999,0.2850438562747845
AMZN,Services,BiGRU,classification,1,,,,0.1377749527404283,0.64,0.6,0.6857142857142857,0.578125,0.6428571428571429,0.32900900517813303,0.6938775510204082,0.5862068965517241,0.85,932,398,42,64,12,0.24999999999999994,0.32900900517813303
BA,Industrial Goods,BiGRU,classification,1,,,,0.31697987101666647,0.6666666666666666,0.7096774193548387,0.6285714285714286,0.65625,0.5952380952380952,0.28345893926936977,0.6666666666666666,0.53125,0.8947368421052632,932,398,42,64,11,0.3499999999999999,0.28345893926936977
BAC,Financial,BiGRU,classification,1,,,,-0.028412301416375987,0.5842696629213483,0.41935483870967744,0.9629629629629629,0.421875,0.4523809523809524,0.13525044520011484,0.6101694915254238,0.43902439024390244,1.0,932,398,42,64,11,0.135,0.13525044520011484
BBL,Basic Matierials,BiGRU,classification,1,,,,0.17448048290289417,0.5423728813559322,0.47058823529411764,0.64,0.578125,0.7142857142857143,0.4743715938912332,0.7777777777777778,0.65625,0.9545454545454546,932,398,42,64,22,0.41999999999999993,0.4743715938912332
BCH,Financial,BiGRU,classification,1,,,,0.004751733362404818,0.17647058823529413,0.42857142857142855,0.1111111111111111,0.5625,0.6666666666666666,0.43261200122172483,0.5882352941176471,0.9090909090909091,0.43478260869565216,932,398,42,64,11,0.73,0.43261200122172483
