company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiLSTM,classification,15,5,1,0.6810851564359426,0.8007470113890511,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,2,0.6392611564703323,1.839975016457694,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,3,0.5558384462217589,3.0917771657307944,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,4,0.5085417736115767,4.470844518570673,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,5,0.5499182619042133,1.9491501989818754,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,6,0.5411182453284911,1.3108730940591722,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,7,0.5320823989321838,1.987391812460763,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,8,0.4606129817627183,2.674243313925607,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,9,0.4487972361358566,3.366918995266869,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,10,0.430672446387497,2.4841952664511546,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,11,0.4403952881319439,2.8751684597560336,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,12,0.39539312357878564,2.4229139486948648,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,13,0.42829421806575063,4.378970009940011,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,14,0.3922806776049149,3.7920142809549966,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,15,0.3764308262709996,4.218886738731747,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,16,0.3578398351992794,4.073640210287912,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,17,0.35645380960637,3.752760637374151,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,15,5,18,0.3521500568294046,3.639009952545166,398,42,64
