company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,BiLSTM,classification,5,,,,0.011817161289227779,0.20512820512820512,0.5,0.12903225806451613,0.515625,0.6190476190476191,0.3402785236893603,0.3333333333333333,1.0,0.2,928,398,42,64,16,0.615,0.3402785236893603
ABB,Industrial Goods,BiLSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.578125,0.7380952380952381,0.3922322702763681,0.35294117647058826,1.0,0.21428571428571427,928,398,42,64,16,0.6849999999999999,0.3922322702763681
ABBV,Healthcare,BiLSTM,classification,5,,,,0.4603174603174603,0.71875,0.6388888888888888,0.8214285714285714,0.71875,0.8333333333333334,0.544656513504933,0.5333333333333333,1.0,0.36363636363636365,847,326,42,64,17,0.625,0.544656513504933
AEP,Utilities,BiLSTM,classification,5,,,,0.25673599474580255,0.24390243902439024,1.0,0.1388888888888889,0.515625,0.7380952380952381,0.4902903378454601,0.7659574468085106,0.8571428571428571,0.6923076923076923,928,398,42,64,17,0.595,0.4902903378454601
AMGN,Healthcare,BiLSTM,classification,5,,,,0.13078700560091738,0.19047619047619047,0.8,0.10810810810810811,0.46875,0.7857142857142857,0.5198752449100363,0.5263157894736842,1.0,0.35714285714285715,928,398,42,64,16,0.5299999999999999,0.5198752449100363
AMZN,Services,BiLSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.328125,0.5952380952380952,0.3557795189372136,0.5405405405405406,0.9090909090909091,0.38461538461538464,928,398,42,64,16,0.4749999999999999,0.3557795189372136
BA,Industrial Goods,BiLSTM,classification,5,,,,0.23608834134288118,0.18181818181818182,1.0,0.1,0.578125,0.7380952380952381,0.5181036310903636,0.7441860465116279,0.8888888888888888,0.64,928,398,42,64,16,0.5449999999999999,0.5181036310903636
BAC,Financial,BiLSTM,classification,5,,,,-0.13951311175942296,0.4307692307692308,0.5,0.3783783783783784,0.421875,0.6190476190476191,0.39285714285714285,0.6190476190476191,0.4642857142857143,0.9285714285714286,928,398,42,64,16,0.4599999999999999,0.39285714285714285
BBL,Basic Matierials,BiLSTM,classification,5,,,,-0.03879849812265332,0.375,0.2553191489361702,0.7058823529411765,0.375,0.7619047619047619,0.5017203455689636,0.6428571428571429,0.8181818181818182,0.5294117647058824,928,398,42,64,18,0.6549999999999999,0.5017203455689636
BCH,Financial,BiLSTM,classification,5,,,,0.21449154984286298,0.5172413793103449,0.39473684210526316,0.75,0.5625,0.8095238095238095,0.6264144833056663,0.8333333333333334,0.7692307692307693,0.9090909090909091,928,398,42,64,16,0.625,0.6264144833056663
BHP,Basic Matierials,BiLSTM,classification,5,,,,0.08644588894208206,0.42857142857142855,0.2830188679245283,0.8823529411764706,0.375,0.8333333333333334,0.6333333333333333,0.72,0.9,0.6,928,398,42,64,30,0.6399999999999999,0.6333333333333333
BP,Basic Matierials,BiLSTM,classification,5,,,,-0.2444144502094572,0.39436619718309857,0.2916666666666667,0.6086956521739131,0.328125,0.5714285714285714,0.27056123347436256,0.625,0.4838709677419355,0.8823529411764706,928,398,42,64,16,0.4799999999999999,0.27056123347436256
BRK-A,Financial,BiLSTM,classification,5,,,,0.0,0.6526315789473685,0.484375,1.0,0.484375,0.6190476190476191,0.3915554237491469,0.6363636363636364,0.4827586206896552,0.9333333333333333,928,398,42,64,16,0.44499999999999995,0.3915554237491469
