company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,classification,20,5,1,0.881597035494282,1.7223407541002547,398,42,64
AAPL,Consumer Goods,GRU,classification,20,5,2,0.6999962401749501,1.009896613302685,398,42,64
AAPL,Consumer Goods,GRU,classification,20,5,3,0.6323848480555281,1.293131294704619,398,42,64
AAPL,Consumer Goods,GRU,classification,20,5,4,0.5585165002837253,1.3979966243108113,398,42,64
AAPL,Consumer Goods,GRU,classification,20,5,5,0.4823100252367144,2.0147942361377535,398,42,64
AAPL,Consumer Goods,GRU,classification,20,5,6,0.4862511900801155,3.049065362839472,398,42,64
AAPL,Consumer Goods,GRU,classification,20,5,7,0.527426769086464,4.377248809451149,398,42,64
AAPL,Consumer Goods,GRU,classification,20,5,8,0.4139227399873973,5.492622103009905,398,42,64
AAPL,Consumer Goods,GRU,classification,20,5,9,0.42853064513086675,4.751673289707729,398,42,64
AAPL,Consumer Goods,GRU,classification,20,5,10,0.36505894744815537,5.560388201758975,398,42,64
AAPL,Consumer Goods,GRU,classification,20,5,11,0.34558497900938867,8.614259946913947,398,42,64
AAPL,Consumer Goods,GRU,classification,20,5,12,0.37884470505930073,6.809043838864281,398,42,64
AAPL,Consumer Goods,GRU,classification,20,5,13,0.3471867052753966,6.705641246977306,398,42,64
AAPL,Consumer Goods,GRU,classification,20,5,14,0.208182333327418,8.164183480398995,398,42,64
AAPL,Consumer Goods,GRU,classification,20,5,15,0.15762346563626772,9.362348284040179,398,42,64
AAPL,Consumer Goods,GRU,classification,20,5,16,0.11755406781656658,9.58736837477911,398,42,64
AAPL,Consumer Goods,GRU,classification,20,5,17,0.15586392948375874,10.007768812633696,398,42,64
ABB,Industrial Goods,GRU,classification,20,5,1,0.8928708224440339,0.6198226468903678,398,42,64
ABB,Industrial Goods,GRU,classification,20,5,2,0.7649245717417654,0.6805908027149382,398,42,64
ABB,Industrial Goods,GRU,classification,20,5,3,0.7690112078609179,0.8980007483845666,398,42,64
ABB,Industrial Goods,GRU,classification,20,5,4,0.5902213986644793,1.4464947098777408,398,42,64
ABB,Industrial Goods,GRU,classification,20,5,5,0.5021267099745909,0.6778987419037592,398,42,64
ABB,Industrial Goods,GRU,classification,20,5,6,0.5513736980794063,0.8783702225912184,398,42,64
ABB,Industrial Goods,GRU,classification,20,5,7,0.4816332708052055,0.6830322330906278,398,42,64
ABB,Industrial Goods,GRU,classification,20,5,8,0.41385254619558853,0.8138982029188246,398,42,64
ABB,Industrial Goods,GRU,classification,20,5,9,0.3725852457871988,0.6361055743126642,398,42,64
ABB,Industrial Goods,GRU,classification,20,5,10,0.33613131689516146,0.7057954867680868,398,42,64
ABB,Industrial Goods,GRU,classification,20,5,11,0.4069659024776526,0.7378780742486318,398,42,64
