company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,GRU,classification,5,,,,-0.08738077349703083,0.2916666666666667,0.4117647058823529,0.22580645161290322,0.46875,0.7380952380952381,0.47434713106427434,0.717948717948718,0.7368421052631579,0.7,938,398,42,64,21,0.7849999999999999,0.47434713106427434
ABB,Industrial Goods,GRU,classification,5,,,,0.2596059785840372,0.2,1.0,0.1111111111111111,0.625,0.7857142857142857,0.5198752449100363,0.5263157894736842,1.0,0.35714285714285715,938,398,42,64,21,0.9249999999999999,0.5198752449100363
ABBV,Healthcare,GRU,classification,5,,,,0.12158607754020519,0.4489795918367347,0.5238095238095238,0.39285714285714285,0.578125,0.8333333333333334,0.544656513504933,0.5333333333333333,1.0,0.36363636363636365,857,336,42,64,21,0.95,0.544656513504933
AEP,Utilities,GRU,classification,5,,,,0.42857142857142855,0.782608695652174,0.6428571428571429,1.0,0.6875,0.7857142857142857,0.570087712549569,0.8524590163934426,0.7428571428571429,1.0,938,398,42,64,21,0.30999999999999994,0.570087712549569
AMGN,Healthcare,GRU,classification,5,,,,0.13078700560091738,0.19047619047619047,0.8,0.10810810810810811,0.46875,0.8095238095238095,0.5893689584893059,0.7333333333333333,0.6875,0.7857142857142857,938,398,42,64,21,0.72,0.5893689584893059
AMZN,Services,GRU,classification,5,,,,0.2034390953343172,0.20833333333333334,1.0,0.11627906976744186,0.40625,0.6666666666666666,0.33190618145300227,0.7083333333333334,0.7727272727272727,0.6538461538461539,938,398,42,64,21,0.16499999999999998,0.33190618145300227
BA,Industrial Goods,GRU,classification,5,,,,0.2805550872420795,0.5306122448979592,0.6842105263157895,0.43333333333333335,0.640625,0.7380952380952381,0.4620924277292432,0.7755102040816326,0.7916666666666666,0.76,938,398,42,64,21,0.5399999999999999,0.4620924277292432
BAC,Financial,GRU,classification,5,,,,0.15521197577535942,0.7252747252747253,0.6111111111111112,0.8918918918918919,0.609375,0.6190476190476191,0.39285714285714285,0.6190476190476191,0.4642857142857143,0.9285714285714286,938,398,42,64,21,0.26499999999999996,0.39285714285714285
BBL,Basic Matierials,GRU,classification,5,,,,0.10017620157467383,0.4262295081967213,0.29545454545454547,0.7647058823529411,0.453125,0.8095238095238095,0.6333004963811236,0.6923076923076923,1.0,0.5294117647058824,938,398,42,64,21,0.6449999999999999,0.6333004963811236
BCH,Financial,GRU,classification,5,,,,0.17806849308658554,0.42105263157894735,0.4444444444444444,0.4,0.65625,0.7142857142857143,0.533001790889026,0.625,1.0,0.45454545454545453,938,398,42,64,21,0.6599999999999999,0.533001790889026
BHP,Basic Matierials,GRU,classification,5,,,,0.3472281323374084,0.5230769230769231,0.3541666666666667,1.0,0.515625,0.6904761904761905,0.4121880516208468,0.6486486486486487,0.5454545454545454,0.8,938,398,42,64,21,0.69,0.4121880516208468
BP,Basic Matierials,GRU,classification,5,,,,0.21211596557327592,0.4888888888888889,0.5,0.4782608695652174,0.640625,0.7857142857142857,0.5734966396779716,0.7567567567567568,0.7,0.8235294117647058,938,398,42,64,21,0.8099999999999999,0.5734966396779716
BRK-A,Financial,GRU,classification,5,,,,0.2374905254044498,0.35,0.7777777777777778,0.22580645161290322,0.59375,0.6904761904761905,0.35860956909327935,0.6060606060606061,0.5555555555555556,0.6666666666666666,938,398,42,64,21,0.9149999999999999,0.35860956909327935
BSAC,Financial,GRU,classification,5,,,,0.25344644750795337,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.65625,0.7857142857142857,0.5661773810827602,0.7567567567567568,0.7368421052631579,0.7777777777777778,938,398,42,64,21,0.605,0.5661773810827602
BUD,Consumer Goods,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.3125,0.6904761904761905,0.35198210567432564,0.6060606060606061,0.5882352941176471,0.625,938,398,42,64,21,0.7899999999999999,0.35198210567432564
C,Financial,GRU,classification,5,,,,0.2764377597914668,0.425531914893617,0.8333333333333334,0.2857142857142857,0.578125,0.6904761904761905,0.39284657334702455,0.6060606060606061,0.5,0.7692307692307693,938,398,42,64,21,0.735,0.39284657334702455
CAT,Industrial Goods,GRU,classification,5,,,,0.0902550601789804,0.6419753086419753,0.5416666666666666,0.7878787878787878,0.546875,0.6904761904761905,0.39344473768231686,0.38095238095238093,1.0,0.23529411764705882,938,398,42,64,29,0.48999999999999994,0.39344473768231686
CELG,Healthcare,GRU,classification,5,,,,0.16294759249954838,0.3829787234042553,0.6923076923076923,0.2647058823529412,0.546875,0.8571428571428571,0.7076731463403724,0.8235294117647058,0.875,0.7777777777777778,938,398,42,64,21,0.7599999999999999,0.7076731463403724
CHL,Technology,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.6875,0.6666666666666666,0.3302891295379082,0.631578947368421,0.6,0.6666666666666666,938,398,42,64,21,0.5349999999999999,0.3302891295379082
CHTR,Services,GRU,classification,5,,,,0.1447879476646816,0.49056603773584906,0.5652173913043478,0.43333333333333335,0.578125,0.7619047619047619,0.5058823529411764,0.8,0.8,0.8,938,398,42,64,21,0.285,0.5058823529411764
CMCSA,Services,GRU,classification,5,,,,0.015653689050413564,0.2564102564102564,0.45454545454545453,0.17857142857142858,0.546875,0.7857142857142857,0.6030226891555273,0.8421052631578947,0.7272727272727273,1.0,938,398,42,64,21,0.24,0.6030226891555273
CODI,Conglomerates,GRU,classification,5,,,,0.16813597355426035,0.5822784810126582,0.42592592592592593,0.92,0.484375,0.5952380952380952,0.31311533989626145,0.6222222222222222,0.4827586206896552,0.875,938,398,42,64,21,0.62,0.31311533989626145
CSCO,Technology,GRU,classification,5,,,,0.3214968983494672,0.7105263157894737,0.627906976744186,0.8181818181818182,0.65625,0.5714285714285714,0.2773500981126146,0.7,0.5384615384615384,1.0,938,398,42,64,21,0.22999999999999998,0.2773500981126146
CVX,Basic Matierials,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.5,0.5476190476190477,0.26444294267397256,0.24,1.0,0.13636363636363635,938,398,42,64,21,0.9049999999999999,0.26444294267397256
D,Utilities,GRU,classification,5,,,,0.35043832202523123,0.7191011235955056,0.5614035087719298,1.0,0.609375,0.6666666666666666,0.31506301890630223,0.7586206896551724,0.6470588235294118,0.9166666666666666,938,398,42,64,21,0.05,0.31506301890630223
DHR,Industrial Goods,GRU,classification,5,,,,0.22880833080875376,0.17647058823529413,1.0,0.0967741935483871,0.5625,0.7142857142857143,0.4121678698554467,0.5,0.8571428571428571,0.35294117647058826,938,398,42,64,21,0.5149999999999999,0.4121678698554467
DIS,Services,GRU,classification,5,,,,0.11834526708278773,0.05714285714285714,1.0,0.029411764705882353,0.484375,0.7619047619047619,0.5172935265326569,0.6666666666666666,0.8333333333333334,0.5555555555555556,938,398,42,64,21,0.7499999999999999,0.5172935265326569
DUK,Utilities,GRU,classification,5,,,,0.1259881576697424,0.6736842105263158,0.5079365079365079,1.0,0.515625,0.7380952380952381,0.49507377148833714,0.819672131147541,0.6944444444444444,1.0,938,398,42,64,21,0.31999999999999995,0.49507377148833714
EXC,Utilities,GRU,classification,5,,,,-0.10024600283175306,0.4067796610169492,0.41379310344827586,0.4,0.453125,0.7142857142857143,0.4873773249664941,0.625,0.9090909090909091,0.47619047619047616,938,398,42,64,21,0.8499999999999999,0.4873773249664941
FB,Technology,GRU,classification,5,,,,0.0860060178003035,0.2222222222222222,0.7142857142857143,0.13157894736842105,0.453125,0.7142857142857143,0.4812177395114532,0.7,0.875,0.5833333333333334,938,398,42,64,21,0.25999999999999995,0.4812177395114532
GD,Industrial Goods,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.59375,0.6190476190476191,0.25819888974716115,0.2,1.0,0.1111111111111111,938,398,42,64,21,0.9249999999999999,0.25819888974716115
GE,Industrial Goods,GRU,classification,5,,,,0.1495148637622428,0.1276595744680851,1.0,0.06818181818181818,0.359375,0.7619047619047619,0.5262013605584339,0.7727272727272727,0.8095238095238095,0.7391304347826086,938,398,42,64,21,0.7,0.5262013605584339
GOOG,Technology,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.34375,0.5,0.13192175024385533,0.2222222222222222,0.75,0.13043478260869565,938,398,42,64,21,0.05,0.13192175024385533
HD,Services,GRU,classification,5,,,,0.22549380840084865,0.2222222222222222,1.0,0.125,0.453125,0.6190476190476191,0.25674162013381635,0.7333333333333333,0.5945945945945946,0.9565217391304348,938,398,42,64,21,0.32999999999999996,0.25674162013381635
HON,Industrial Goods,GRU,classification,5,,,,0.2734514088116147,0.2564102564102564,1.0,0.14705882352941177,0.546875,0.7857142857142857,0.5919965312804868,0.7692307692307693,0.8823529411764706,0.6818181818181818,938,398,42,64,21,0.845,0.5919965312804868
HRG,Conglomerates,GRU,classification,5,,,,0.21494115924458687,0.16666666666666666,1.0,0.09090909090909091,0.53125,0.7857142857142857,0.5166666666666667,0.64,0.8,0.5333333333333333,938,398,42,64,21,0.5449999999999999,0.5166666666666667
HSBC,Financial,GRU,classification,5,,,,0.12998877418150556,0.0625,1.0,0.03225806451612903,0.53125,0.8095238095238095,0.5490494526500336,0.5555555555555556,1.0,0.38461538461538464,938,398,42,64,21,0.845,0.5490494526500336
IEP,Conglomerates,GRU,classification,5,,,,0.047878341926898,0.40816326530612246,0.37037037037037035,0.45454545454545453,0.546875,0.9523809523809523,0.903876907577734,0.9375,0.8823529411764706,1.0,938,398,42,64,21,0.8499999999999999,0.903876907577734
INTC,Technology,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.453125,0.6904761904761905,0.37924777785156183,0.723404255319149,0.7727272727272727,0.68,938,398,42,64,21,0.43999999999999995,0.37924777785156183
JNJ,Healthcare,GRU,classification,5,,,,0.12998877418150556,0.09090909090909091,1.0,0.047619047619047616,0.375,0.7619047619047619,0.5465936063340355,0.6666666666666666,0.9090909090909091,0.5263157894736842,938,398,42,64,21,0.8499999999999999,0.5465936063340355
JPM,Financial,GRU,classification,5,,,,0.003704593116088124,0.13953488372093023,0.6,0.07894736842105263,0.421875,0.7142857142857143,0.3686299079697329,0.5,0.75,0.375,938,398,42,64,21,0.83,0.3686299079697329
KO,Consumer Goods,GRU,classification,5,,,,0.18156825980064073,0.375,0.75,0.25,0.53125,0.7142857142857143,0.5477225575051661,0.75,0.6,1.0,938,398,42,64,21,0.4149999999999999,0.5477225575051661
LMT,Industrial Goods,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.546875,0.7142857142857143,0.533001790889026,0.625,1.0,0.45454545454545453,938,398,42,64,21,0.7,0.533001790889026
MA,Financial,GRU,classification,5,,,,0.08214400968169071,0.717391304347826,0.6111111111111112,0.868421052631579,0.59375,0.5238095238095238,0.2809757434745082,0.6428571428571429,0.47368421052631576,1.0,938,398,42,64,21,0.19999999999999996,0.2809757434745082
MCD,Services,GRU,classification,5,,,,0.1441007540660505,0.125,1.0,0.06666666666666667,0.34375,0.7380952380952381,0.49507377148833714,0.819672131147541,0.6944444444444444,1.0,938,398,42,64,21,0.27999999999999997,0.49507377148833714
MDT,Healthcare,GRU,classification,5,,,,0.20672455764868078,0.38461538461538464,0.8333333333333334,0.25,0.5,0.7857142857142857,0.5487954724560282,0.7096774193548387,0.7857142857142857,0.6470588235294118,938,398,42,64,29,0.8899999999999999,0.5487954724560282
MMM,Industrial Goods,GRU,classification,5,,,,0.14750121068026756,0.375,0.6923076923076923,0.2571428571428571,0.53125,0.6904761904761905,0.47576082676004205,0.723404255319149,0.5862068965517241,0.9444444444444444,938,398,42,64,21,0.6699999999999999,0.47576082676004205
MO,Consumer Goods,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.390625,0.6428571428571429,0.4264014327112209,0.4827586206896552,1.0,0.3181818181818182,938,398,42,64,21,0.95,0.4264014327112209
MRK,Healthcare,GRU,classification,5,,,,0.13855164404183676,0.3333333333333333,0.6363636363636364,0.22580645161290322,0.5625,0.6904761904761905,0.29855619650098675,0.5185185185185185,0.5833333333333334,0.4666666666666667,938,398,42,64,21,0.95,0.29855619650098675
MSFT,Technology,GRU,classification,5,,,,0.17755520605710873,0.14285714285714285,1.0,0.07692307692307693,0.4375,0.6666666666666666,0.337099931231621,0.72,0.6428571428571429,0.8181818181818182,938,398,42,64,21,0.4799999999999999,0.337099931231621
NEE,Utilities,GRU,classification,5,,,,0.20365326999063918,0.7346938775510204,0.5806451612903226,1.0,0.59375,0.6428571428571429,0.4264014327112209,0.7272727272727273,0.5714285714285714,1.0,938,398,42,64,21,0.21999999999999997,0.4264014327112209
NGG,Utilities,GRU,classification,5,,,,0.4343181023388398,0.6785714285714286,0.6333333333333333,0.7307692307692307,0.71875,0.8571428571428571,0.6171186116423494,0.9117647058823529,0.8378378378378378,1.0,938,398,42,64,21,0.3549999999999999,0.6171186116423494
NVS,Healthcare,GRU,classification,5,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,0.6666666666666666,0.3348554112644579,0.65,0.6190476190476191,0.6842105263157895,938,398,42,64,21,0.72,0.3348554112644579
ORCL,Technology,GRU,classification,5,,,,0.19120444499264716,0.125,1.0,0.06666666666666667,0.5625,0.7619047619047619,0.5296964548820617,0.6875,0.8461538461538461,0.5789473684210527,938,398,42,64,21,0.83,0.5296964548820617
PCG,Utilities,GRU,classification,5,,,,0.28365431446558775,0.6511627906976745,0.4827586206896552,1.0,0.53125,0.8095238095238095,0.6,0.8709677419354839,0.7714285714285715,1.0,938,398,42,64,21,0.25999999999999995,0.6
PCLN,Services,GRU,classification,5,,,,0.26498663678673456,0.25,1.0,0.14285714285714285,0.53125,0.8809523809523809,0.7616920277666713,0.8717948717948718,0.8947368421052632,0.85,938,398,42,64,21,0.145,0.7616920277666713
PEP,Consumer Goods,GRU,classification,5,,,,0.37053872305702945,0.56,0.8235294117647058,0.42424242424242425,0.65625,0.5952380952380952,0.18477395417486236,0.6530612244897959,0.5925925925925926,0.7272727272727273,938,398,42,64,21,0.61,0.18477395417486236
PFE,Healthcare,GRU,classification,5,,,,0.06859245370246428,0.4528301886792453,0.42857142857142855,0.48,0.546875,0.7380952380952381,0.4689790496105418,0.6206896551724138,0.8181818181818182,0.5,938,398,42,64,21,0.6799999999999999,0.4689790496105418
PG,Consumer Goods,GRU,classification,5,,,,0.0,0.6666666666666666,0.5,1.0,0.5,0.5,0.0,0.6666666666666666,0.5,1.0,938,398,42,64,21,0.05,0.0
PICO,Conglomerates,GRU,classification,5,,,,0.14518704881564082,0.35555555555555557,0.6666666666666666,0.24242424242424243,0.546875,0.7857142857142857,0.5098499285104608,0.6666666666666666,0.6428571428571429,0.6923076923076923,938,398,42,64,21,0.7849999999999999,0.5098499285104608
PM,Consumer Goods,GRU,classification,5,,,,0.03975947419755525,0.1,0.6666666666666666,0.05405405405405406,0.4375,0.7619047619047619,0.49894005298290917,0.6875,0.6470588235294118,0.7333333333333333,938,398,42,64,21,0.6699999999999999,0.49894005298290917
PPL,Utilities,GRU,classification,5,,,,0.24829391066651044,0.391304347826087,0.8181818181818182,0.2571428571428571,0.5625,0.9285714285714286,0.8478227519967949,0.9433962264150944,0.9259259259259259,0.9615384615384616,938,398,42,64,30,0.12,0.8478227519967949
PTR,Basic Matierials,GRU,classification,5,,,,-0.04026381159801356,0.5517241379310345,0.3870967741935484,0.96,0.390625,0.7142857142857143,0.3471242937824793,0.5384615384615384,0.4666666666666667,0.6363636363636364,918,398,42,64,27,0.815,0.3471242937824793
RDS-B,Basic Matierials,GRU,classification,5,,,,-0.0657951694959769,0.37037037037037035,0.3125,0.45454545454545453,0.46875,0.6904761904761905,0.27116307227332026,0.43478260869565216,0.625,0.3333333333333333,938,398,42,64,21,0.8749999999999999,0.27116307227332026
REX,Conglomerates,GRU,classification,5,,,,0.4295336761907471,0.56,0.9333333333333333,0.4,0.65625,0.8095238095238095,0.6123724356957946,0.8461538461538461,0.7857142857142857,0.9166666666666666,918,398,42,64,21,0.8699999999999999,0.6123724356957946
SLB,Basic Matierials,GRU,classification,5,,,,0.0,0.6086956521739131,0.4375,1.0,0.4375,0.7619047619047619,0.5516187241049897,0.7368421052631579,0.6363636363636364,0.875,938,398,42,64,31,0.33499999999999996,0.5516187241049897
SNP,Basic Matierials,GRU,classification,5,,,,0.09951888604691309,0.425531914893617,0.47619047619047616,0.38461538461538464,0.578125,0.6666666666666666,0.3194444444444444,0.6111111111111112,0.6111111111111112,0.6111111111111112,918,398,42,64,21,0.9049999999999999,0.3194444444444444
SNY,Healthcare,GRU,classification,5,,,,0.23294541397390262,0.6666666666666666,0.5813953488372093,0.78125,0.609375,0.7619047619047619,0.4951923076923077,0.6875,0.6875,0.6875,938,398,42,64,21,0.7699999999999999,0.4951923076923077
SO,Utilities,GRU,classification,5,,,,0.44786837417491376,0.7164179104477612,0.8571428571428571,0.6153846153846154,0.703125,0.8095238095238095,0.6085989058527203,0.84,0.875,0.8076923076923077,938,398,42,64,26,0.36499999999999994,0.6085989058527203
SPLP,Conglomerates,GRU,classification,5,,,,0.2277100170213244,0.5666666666666667,0.4722222222222222,0.7083333333333334,0.59375,0.5952380952380952,0.4,0.48484848484848486,1.0,0.32,938,398,42,64,24,0.7849999999999999,0.4
SRE,Utilities,GRU,classification,5,,,,-0.0731089354297218,0.5454545454545454,0.44680851063829785,0.7,0.453125,0.6904761904761905,0.4979295977319692,0.7547169811320755,0.6060606060606061,1.0,938,398,42,64,21,0.38999999999999996,0.4979295977319692
