company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,LSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.515625,0.6666666666666666,0.42817441928883765,0.46153846153846156,1.0,0.3,1184,398,42,64,20,0.74,0.42817441928883765
ABB,Industrial Goods,LSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.578125,0.8095238095238095,0.5773502691896257,0.6,1.0,0.42857142857142855,1184,398,42,64,20,0.725,0.5773502691896257
ABBV,Healthcare,LSTM,classification,5,,,,0.18527427542315386,0.46808510638297873,0.5789473684210527,0.39285714285714285,0.609375,0.8095238095238095,0.4655998462018826,0.42857142857142855,1.0,0.2727272727272727,1103,398,42,64,20,0.6649999999999999,0.4655998462018826
AEP,Utilities,LSTM,classification,5,,,,0.46103133651808054,0.7901234567901234,0.7111111111111111,0.8888888888888888,0.734375,0.9047619047619048,0.806225774829855,0.9285714285714286,0.8666666666666667,1.0,1184,398,42,64,20,0.4149999999999999,0.806225774829855
AGFS,Conglomerates,LSTM,classification,5,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,0.6428571428571429,0.4714045207910317,0.6666666666666666,0.5,1.0,627,105,42,64,20,0.575,0.4714045207910317
AMGN,Healthcare,LSTM,classification,5,,,,0.330845379315203,0.7123287671232876,0.7222222222222222,0.7027027027027027,0.671875,0.6428571428571429,0.4216370213557839,0.6341463414634146,0.48148148148148145,0.9285714285714286,1184,398,42,64,20,0.135,0.4216370213557839
AMZN,Services,LSTM,classification,5,,,,0.33571007169302497,0.43636363636363634,1.0,0.27906976744186046,0.515625,0.7380952380952381,0.4248113658951804,0.8070175438596491,0.7419354838709677,0.8846153846153846,1184,398,42,64,20,0.615,0.4248113658951804
BA,Industrial Goods,LSTM,classification,5,,,,0.1807753815155468,0.43478260869565216,0.625,0.3333333333333333,0.59375,0.7857142857142857,0.5919965312804868,0.8,0.9,0.72,1184,398,42,64,20,0.6849999999999999,0.5919965312804868
BABA,Services,LSTM,classification,5,,,,0.17177950029416045,0.13953488372093023,1.0,0.075,0.421875,0.6666666666666666,0.4471856830298584,0.631578947368421,0.48,0.9230769230769231,671,149,42,64,20,0.27999999999999997,0.4471856830298584
BAC,Financial,LSTM,classification,5,,,,0.12682630177432805,0.5396825396825397,0.6538461538461539,0.4594594594594595,0.546875,0.5952380952380952,0.421211769587116,0.6222222222222222,0.45161290322580644,1.0,1184,398,42,64,20,0.3999999999999999,0.421211769587116
