number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
38,0.32026070026522463,2026-02-28 16:06:01.378462,2026-02-28 16:12:45.130963,0 days 00:06:43.752501,16,0.6000000000000001,0.004064001393796457,20,base,256,64,1,0.5848024628795246,0.0,0.00199955606679024,0.8,5,50,LSTM,1,10,1.6604449666145692e-07,0.6310892172961139,0.5645009861507213,0.32026070026522463,0.686424672112323,0.6288186747171031,COMPLETE,0.5645009861507213,0.32026070026522463,0.686424672112323,0.6288186747171031,0.6310892172961139
96,0.3195809427652136,2026-02-28 22:21:36.479252,2026-02-28 22:28:49.543613,0 days 00:07:13.064361,16,0.30000000000000004,0.0010762511502117253,20,base,256,128,1,1.0319680276712426,0.0,0.006960094599362179,0.4,5,50,GRU,1,20,0.0009240988468699165,0.6242474001094692,0.5293601436925417,0.3195809427652136,0.7197018316435448,0.5882444720798609,COMPLETE,0.5293601436925417,0.3195809427652136,0.7197018316435448,0.5882444720798609,0.6242474001094692
50,0.31910281240697047,2026-02-28 17:07:51.084480,2026-02-28 17:14:14.338038,0 days 00:06:23.253558,16,0.8,0.0005552376690637687,10,base,256,32,1,1.6596807698801312,0.0,0.003737668024429374,0.4,10,30,GRU,2,20,1.0787600684744028e-06,0.6302681992337165,0.5470280051174204,0.31910281240697047,0.7097256879076281,0.5984999281891933,COMPLETE,0.5470280051174204,0.31910281240697047,0.7097256879076281,0.5984999281891933,0.6302681992337165
47,0.31758391532532537,2026-02-28 16:52:07.839161,2026-02-28 16:57:44.056980,0 days 00:05:36.217819,16,0.8,0.0013082034139374878,10,base,128,32,1,1.8295153181248207,0.1,0.0016126709236497035,0.8,10,50,GRU,2,20,3.426081384645686e-07,0.6237000547345375,0.5454323641675505,0.31758391532532537,0.6957207424612986,0.606470865599467,COMPLETE,0.5454323641675505,0.31758391532532537,0.6957207424612986,0.606470865599467,0.6237000547345375
76,0.31581731854809014,2026-02-28 20:04:30.715779,2026-02-28 20:11:39.719764,0 days 00:07:09.003985,16,0.4,0.002037544838907404,20,base,256,32,1,0.43319720442807674,0.0,0.0040338075434661405,0.4,5,50,LSTM,1,20,7.704525502599273e-06,0.6313628899835797,0.5305691565022304,0.31581731854809014,0.726726357209289,0.560067231309536,COMPLETE,0.5305691565022304,0.31581731854809014,0.726726357209289,0.560067231309536,0.6313628899835797
59,0.3155679029285646,2026-02-28 18:01:03.920388,2026-02-28 18:08:24.810001,0 days 00:07:20.889613,16,0.30000000000000004,0.0003387073614690519,20,base,256,64,1,0.7752446315475736,0.1,0.004828748848536355,0.4,5,50,LSTM,1,20,1.891547447252914e-06,0.6324575807334428,0.5376083498508551,0.3155679029285646,0.7128690251103873,0.5812006051490373,COMPLETE,0.5376083498508551,0.3155679029285646,0.7128690251103873,0.5812006051490373,0.6324575807334428
23,0.31357827656079895,2026-02-28 15:13:27.737503,2026-02-28 15:16:21.875529,0 days 00:02:54.138026,64,0.8,0.0002591385493229423,10,base,256,32,1,1.6980856740423793,0.0,0.006617469538669184,0.8,10,50,GRU,2,15,2.307531672998692e-07,0.632183908045977,0.5527458863774568,0.31357827656079895,0.6964775053246064,0.6034886289049494,COMPLETE,0.5527458863774568,0.31357827656079895,0.6964775053246064,0.6034886289049494,0.632183908045977
86,0.3126939660030311,2026-02-28 21:15:40.160978,2026-02-28 21:23:10.079968,0 days 00:07:29.918990,16,0.4,0.002014828908650801,20,base,256,128,1,0.48165388453531666,0.0,0.007501485382729957,0.4,5,50,LSTM,1,20,0.0005982215530011305,0.6302681992337165,0.54006838225107,0.3126939660030311,0.7040382559530167,0.5909702464479797,COMPLETE,0.54006838225107,0.3126939660030311,0.7040382559530167,0.5909702464479797,0.6302681992337165
65,0.3126928993767035,2026-02-28 18:37:16.894768,2026-02-28 18:47:43.121889,0 days 00:10:26.227121,16,0.4,0.0002496750185413557,20,base,256,64,1,0.9291744778104339,0.0,0.0053429588872706,0.4,5,50,BiGRU,2,20,4.0810454772500984e-06,0.6204159824849481,0.5201502064245511,0.3126928993767035,0.7267920208039217,0.5669974924499714,COMPLETE,0.5201502064245511,0.3126928993767035,0.7267920208039217,0.5669974924499714,0.6204159824849481
26,0.31238629926629574,2026-02-28 15:24:37.840549,2026-02-28 15:27:34.899667,0 days 00:02:57.059118,64,0.7000000000000001,0.0023439933532649793,20,base,256,64,1,0.8158650478333662,0.2,0.0025336336138668744,0.8,7,50,GRU,1,5,1.74167762827425e-07,0.6294471811713191,0.5351058285623866,0.31238629926629574,0.6998048496049156,0.5858972009057571,COMPLETE,0.5351058285623866,0.31238629926629574,0.6998048496049156,0.5858972009057571,0.6294471811713191
