number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc,params_horizon_steps
24,0.0829074167490341,2026-03-04 05:08:26.959247,2026-03-04 05:36:07.331356,0 days 00:27:40.372109,16,2,0.4,0.0025066418346471,20,all_nlp,256,64,0.7509393590780342,0.1,0.0646756616995562,0.0010808495244545,0.4,10,20,GRU,6,1,coral,15,2.367011427939359,1.0622553054371433,15,0.7486056789558281,0.2637606760863009,41,1.0889386807523065e-06,0.5242456896551724,0.12706347138049,0.0829074167490341,0.1691810344827586,COMPLETE,0.12706347138049,0.1691810344827586,0.5242456896551724,0.0829074167490341,1
26,0.0819638746610109,2026-03-04 06:03:40.602036,2026-03-04 06:29:31.437748,0 days 00:25:50.835712,16,2,0.2,0.0025957410649158,10,sentiment,256,64,1.1793986317726253,0.1,0.0737518836924867,0.0003622751031581,0.8,5,30,BiGRU,6,1,coral,10,2.768058310473718,1.0793703960675485,15,0.8224478133514215,0.2589821367669765,41,4.075164096235417e-06,0.5235272988505747,0.1174079794862625,0.0819638746610109,0.1691810344827586,COMPLETE,0.1174079794862625,0.1691810344827586,0.5235272988505747,0.0819638746610109,1
25,0.0788343871086363,2026-03-04 05:36:07.332063,2026-03-04 06:03:40.600481,0 days 00:27:33.268418,16,2,0.3,0.0016732858194723,20,all_nlp,256,64,0.8331533895665603,0.0,0.0731159021245764,0.0011362405616443,0.8,5,20,GRU,6,1,coral,15,2.205618358196069,0.8964860014644395,15,0.8205377580097288,0.2565737943937393,41,9.849898694141115e-07,0.5220905172413793,0.1163766115510449,0.0788343871086363,0.1585847701149425,COMPLETE,0.1163766115510449,0.1585847701149425,0.5220905172413793,0.0788343871086363,1
18,0.0778021799570488,2026-03-04 02:03:54.132009,2026-03-04 02:30:41.018231,0 days 00:26:46.886222,16,4,0.2,0.0029038676208522,20,all_nlp,256,128,1.0433668927209336,0.0,0.0782699690412678,4.3225696022684075e-05,0.8,5,20,GRU,6,2,coral,10,2.411456203862061,0.6008769968092127,9,0.6737849829228133,0.2528443696412923,31,1.999713796685527e-05,0.5271192528735632,0.1271100468847599,0.0778021799570488,0.179058908045977,COMPLETE,0.1271100468847599,0.179058908045977,0.5271192528735632,0.0778021799570488,1
63,0.0774453594766318,2026-03-05 00:32:15.716625,2026-03-05 01:00:38.920152,0 days 00:28:23.203527,16,2,0.2,0.0029843689957952,20,all_nlp,256,32,0.630087779255526,0.0,0.0941098319691529,0.0009723062050257,0.8,5,20,GRU,6,1,coral,15,2.318777602202001,0.9892069418430868,15,0.7901099618226861,0.2914450115767271,41,4.960873450410354e-06,0.5167025862068966,0.1233251214621514,0.0774453594766318,0.1650502873563218,COMPLETE,0.1233251214621514,0.1650502873563218,0.5167025862068966,0.0774453594766318,1
53,0.0774191759760217,2026-03-04 19:14:56.688008,2026-03-04 19:43:08.525446,0 days 00:28:11.837438,16,2,0.4,0.0039143824621022,15,emotion,256,128,1.616614973688377,0.0,0.0648210003193005,0.0001316328585773,0.8,5,20,GRU,6,1,coral,20,1.8666002541209583,1.1668735382549953,15,0.8545015857284833,0.2634843699911439,41,9.69553367077533e-06,0.5199353448275862,0.1078599731857249,0.0774191759760217,0.1569683908045977,COMPLETE,0.1078599731857249,0.1569683908045977,0.5199353448275862,0.0774191759760217,1
89,0.0763897337696116,2026-03-05 12:21:34.666865,2026-03-05 12:36:31.162600,0 days 00:14:56.495735,16,2,0.2,0.0001958009156173,10,sentiment,256,64,1.5065921696315594,0.2,0.0558370655166823,0.0012908940446813,0.8,10,50,LSTM,6,1,corn,10,2.0316124977151633,0.8895739990128078,15,0.8292672993722785,0.2377647710333243,21,1.193130581444266e-06,0.515625,0.1107955720733916,0.0763897337696116,0.1826508620689655,COMPLETE,0.1107955720733916,0.1826508620689655,0.515625,0.0763897337696116,1
36,0.0741251805749717,2026-03-04 11:18:35.369732,2026-03-04 11:42:35.550726,0 days 00:24:00.180994,16,2,0.3,0.0020298106573999,20,all_nlp,256,64,0.4568111865536743,0.1,0.0400339068545962,0.0004331012089093,0.4,10,20,GRU,6,2,coral,5,2.7833994589182596,1.0866308920538643,15,0.7349779345267965,0.2499384684111824,31,4.0830418649197354e-06,0.5238864942528736,0.1269668054725722,0.0741251805749717,0.1734913793103448,COMPLETE,0.1269668054725722,0.1734913793103448,0.5238864942528736,0.0741251805749717,1
88,0.0737388320896856,2026-03-05 12:06:12.878705,2026-03-05 12:21:34.665959,0 days 00:15:21.787254,16,2,0.2,5.087720663521757e-05,10,sentiment,256,64,1.1274860983532893,0.0,0.072705001803211,0.000267284331287,0.8,10,30,BiGRU,6,1,corn,10,2.6556924296367725,1.0436500340742008,15,0.8066526593663096,0.2384300699519191,21,1.0090461451604102e-06,0.5206537356321839,0.1248589480973466,0.0737388320896856,0.1855244252873563,COMPLETE,0.1248589480973466,0.1855244252873563,0.5206537356321839,0.0737388320896856,1
39,0.0737256045761258,2026-03-04 12:32:27.018563,2026-03-04 13:00:47.169836,0 days 00:28:20.151273,16,2,0.5,0.0001306690330448,20,all_nlp,256,128,1.3100377420661689,0.0,0.0892257194433112,0.0004751995711575,0.8,5,20,GRU,6,1,coral,20,2.269922311976337,0.7479385061033232,15,0.8522947859801573,0.2938164166650475,41,4.648652037881042e-05,0.5210129310344828,0.1078116497466756,0.0737256045761258,0.1564295977011494,COMPLETE,0.1078116497466756,0.1564295977011494,0.5210129310344828,0.0737256045761258,1
