number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc,params_horizon_steps
65,0.0956028787045944,2026-03-05 03:27:53.178539,2026-03-05 03:59:40.173668,0 days 00:31:46.995129,32,6,0.0,0.0027505767962602,10,sector_emotion,128,32,0.971441927429346,0.4,0.0453664145329689,0.0009642467390609,0.8,5,50,BiGRU,6,1,coral,5,2.5741533358410043,0.3637575633380756,9,0.8445078179922536,0.1501089169205881,31,0.0003396559064462,0.5249640804597702,0.1173842607045104,0.0956028787045944,0.1724137931034483,COMPLETE,0.1173842607045104,0.1724137931034483,0.5249640804597702,0.0956028787045944,1
22,0.0934762325016543,2026-03-04 09:17:12.117730,2026-03-04 09:30:57.070195,0 days 00:13:44.952465,32,2,0.1,0.0070490596510948,15,sector_emotion,64,32,0.5406001945824682,0.1,0.0158336977955924,0.0054779400424597,0.8,7,50,BiGRU,6,1,corn,20,2.8115999820328423,0.6729689782196786,15,0.7963346962463368,0.2730404003814419,21,7.455510807645993e-06,0.5222701149425287,0.1179060826926258,0.0934762325016543,0.1844468390804597,COMPLETE,0.1179060826926258,0.1844468390804597,0.5222701149425287,0.0934762325016543,1
9,0.0927911903498213,2026-03-03 23:18:09.543606,2026-03-04 00:28:02.580826,0 days 01:09:53.037220,32,6,0.0,0.0050871275511688,10,sector_emotion,128,32,0.9487732505513242,0.3,0.0463836106421188,0.0020685325345203,0.8,5,50,BiGRU,6,1,coral,5,2.585331459675883,0.2556541908619862,21,0.8729856297500959,0.1867040171611679,31,0.0001178116994589,0.5283764367816092,0.1148077990736875,0.0927911903498213,0.1715158045977011,COMPLETE,0.1148077990736875,0.1715158045977011,0.5283764367816092,0.0927911903498213,1
30,0.0920832041193018,2026-03-04 12:58:50.299276,2026-03-04 13:23:30.103908,0 days 00:24:39.804632,32,4,0.3,0.0099814110648021,15,sector_emotion,128,32,0.6917378799766057,0.1,0.0170727223300575,0.0028620689744041,0.8,7,50,BiGRU,6,1,corn,15,2.8876850678760344,0.6162518410023091,15,0.8623257382985532,0.2026437389248357,21,1.6193749840905058e-05,0.5231681034482759,0.1205714642761728,0.0920832041193018,0.1891163793103448,COMPLETE,0.1205714642761728,0.1891163793103448,0.5231681034482759,0.0920832041193018,1
53,0.0919872008175227,2026-03-04 22:51:57.322739,2026-03-04 23:04:57.894185,0 days 00:13:00.571446,64,2,0.6000000000000001,0.0026371601075682,15,sector_unified_emotion,128,32,0.2044528097749351,0.3,0.0096480871132853,0.0033022527561189,0.4,7,20,BiGRU,6,1,coral,15,2.737859772061439,0.9081987456825936,15,0.8414039871395863,0.2349976042134452,21,0.000613937882953,0.5335847701149425,0.1174343042593608,0.0919872008175227,0.1760057471264367,COMPLETE,0.1174343042593608,0.1760057471264367,0.5335847701149425,0.0919872008175227,1
92,0.0912131256550168,2026-03-05 15:55:40.027190,2026-03-05 16:21:18.621256,0 days 00:25:38.594066,32,4,0.1,0.0092932364788012,15,sector_emotion,128,128,0.1717226745011144,0.0,0.0694124644433623,0.0027408050803213,0.8,5,20,GRU,6,1,corn,10,2.7431604620056556,0.7619853598010625,15,0.8067354360183001,0.1799365248437486,21,0.0006503368057496,0.5269396551724138,0.1159128255961365,0.0912131256550168,0.1779813218390804,COMPLETE,0.1159128255961365,0.1779813218390804,0.5269396551724138,0.0912131256550168,1
91,0.0902350949927854,2026-03-05 15:29:35.365449,2026-03-05 15:55:40.026197,0 days 00:26:04.660748,32,4,0.1,0.0096273108899661,15,sector_emotion,128,32,0.5379428610817858,0.0,0.0376531737420348,0.0026172052949698,0.8,5,20,BiGRU,6,1,corn,15,3.180281438570338,0.800575974255793,15,0.8360990844293973,0.122716357792168,21,0.0009783898429055,0.5314295977011494,0.1230946412788519,0.0902350949927854,0.1887571839080459,COMPLETE,0.1230946412788519,0.1887571839080459,0.5314295977011494,0.0902350949927854,1
17,0.0883117405353831,2026-03-04 07:44:30.435170,2026-03-04 08:01:35.206033,0 days 00:17:04.770863,32,2,0.1,0.0078645400102319,10,sector_emotion,64,64,0.4997568084994689,0.1,0.0139608492755876,0.0031780602727852,0.8,7,20,BiGRU,6,1,corn,20,2.6144237914380524,0.372593687455576,21,0.7377979499251662,0.3728209725731501,21,1.2856574170965597e-06,0.5274784482758621,0.1287476336938743,0.0883117405353831,0.2011494252873563,COMPLETE,0.1287476336938743,0.2011494252873563,0.5274784482758621,0.0883117405353831,1
85,0.086873085002326,2026-03-05 13:29:41.121092,2026-03-05 13:44:50.125049,0 days 00:15:09.003957,32,2,0.0,0.0058552508046425,15,sector_emotion,64,32,0.6421118054346626,0.0,0.0051307803245451,0.0029595187079779,0.8,10,50,BiGRU,6,1,corn,15,2.707241630401962,0.5932843705739169,15,0.8611107712382557,0.3108312650380478,21,6.423287500686397e-06,0.5247844827586207,0.1246584875982709,0.086873085002326,0.2016882183908045,COMPLETE,0.1246584875982709,0.2016882183908045,0.5247844827586207,0.086873085002326,1
76,0.0864533592203974,2026-03-05 09:53:37.118656,2026-03-05 10:07:59.838943,0 days 00:14:22.720287,64,2,0.6000000000000001,0.003473604034958,15,sector_unified_emotion,128,32,0.9093873302386348,0.1,0.0115385020504243,0.0044040216066107,0.8,10,30,BiGRU,6,1,coral,15,2.507327659311052,0.6726989372209071,15,0.8166177789343102,0.2764019334121036,21,0.0003977613228536,0.5256824712643678,0.1093565068936533,0.0864533592203974,0.1614583333333333,COMPLETE,0.1093565068936533,0.1614583333333333,0.5256824712643678,0.0864533592203974,1
