number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
49,0.46780555167536,2026-03-11 18:16:36.079451,2026-03-11 18:22:13.041188,0 days 00:05:36.961737,32,0.4,0.009991541418223584,20,meta,64,128,5,0.5845440772864282,0.4,0.008937833995358236,0.8,5,50,GRU,1,20,7.131787768672209e-07,0.7156862745098038,0.6908263348089433,0.46780555167536,0.7120290504632593,0.7690610715032132,COMPLETE,0.6908263348089433,0.46780555167536,0.7120290504632593,0.7690610715032132,0.7156862745098038
64,0.4658603127192004,2026-03-11 19:30:46.404367,2026-03-11 19:35:30.340286,0 days 00:04:43.935919,32,0.6000000000000001,0.004643719182898397,10,meta,128,32,5,0.7690871971698894,0.0,0.0014157456287090609,0.8,10,50,BiGRU,1,15,2.5137050405220336e-07,0.7187675070028012,0.685066943116638,0.4658603127192004,0.7275920730404832,0.7505257034790893,COMPLETE,0.685066943116638,0.4658603127192004,0.7275920730404832,0.7505257034790893,0.7187675070028012
34,0.463271416130138,2026-03-11 17:16:07.701963,2026-03-11 17:20:06.888665,0 days 00:03:59.186702,32,0.6000000000000001,0.005932554941560203,10,meta,128,32,5,0.49629993967556724,0.0,0.0027548198868092393,0.4,10,50,BiLSTM,1,10,2.243892409308081e-07,0.7201680672268909,0.673944545883173,0.463271416130138,0.7471038381704019,0.7101352877602314,COMPLETE,0.673944545883173,0.463271416130138,0.7471038381704019,0.7101352877602314,0.7201680672268909
75,0.4626832509271005,2026-03-11 20:25:18.376048,2026-03-11 20:30:06.519365,0 days 00:04:48.143317,32,0.8,0.006019335406770308,10,meta_err,128,32,5,0.42806580133607985,0.0,0.003694653176218346,0.8,5,30,BiGRU,1,10,8.461086619845796e-06,0.7218487394957984,0.648895203149668,0.4626832509271005,0.7750874293080675,0.6792905900736739,COMPLETE,0.648895203149668,0.4626832509271005,0.7750874293080675,0.6792905900736739,0.7218487394957984
69,0.46149337807597735,2026-03-11 19:55:21.586679,2026-03-11 20:00:31.801100,0 days 00:05:10.214421,32,0.7000000000000001,0.0014842994600308326,10,meta,128,32,5,0.8373592937164166,0.1,0.006912649229625494,0.8,5,20,BiLSTM,1,10,1.4204131396161291e-06,0.7170868347338936,0.6639823157322964,0.46149337807597735,0.7477033917922361,0.6998939917514542,COMPLETE,0.6639823157322964,0.46149337807597735,0.7477033917922361,0.6998939917514542,0.7170868347338936
72,0.4599502983781797,2026-03-11 20:11:51.451084,2026-03-11 20:16:12.300719,0 days 00:04:20.849635,32,0.7000000000000001,0.001975899060654542,10,meta,128,32,5,0.5930663096055003,0.0,0.001383625690351675,0.4,5,20,BiGRU,1,15,9.56040273553432e-07,0.7173669467787116,0.6631929759523438,0.4599502983781797,0.7623110779547753,0.6859274643788394,COMPLETE,0.6631929759523438,0.4599502983781797,0.7623110779547753,0.6859274643788394,0.7173669467787116
18,0.459680825527256,2026-03-11 15:56:51.571277,2026-03-11 16:02:09.802153,0 days 00:05:18.230876,32,0.30000000000000004,0.0066800405661382135,20,meta,64,32,5,0.6833079072858366,0.4,0.001655970201496796,0.4,5,50,GRU,1,15,1.1599223421273514e-07,0.7081232492997199,0.6692813707500627,0.459680825527256,0.7345291646880812,0.7260410130226983,COMPLETE,0.6692813707500627,0.459680825527256,0.7345291646880812,0.7260410130226983,0.7081232492997199
65,0.45840510157529113,2026-03-11 19:35:30.341429,2026-03-11 19:40:24.662943,0 days 00:04:54.321514,32,0.8,0.002816406499191486,10,meta,128,32,5,1.008531037385278,0.0,0.0008388311269801392,0.8,5,50,BiGRU,1,15,7.468887062984467e-07,0.7123249299719888,0.6833335342156753,0.45840510157529113,0.718846998430497,0.7445407012238586,COMPLETE,0.6833335342156753,0.45840510157529113,0.718846998430497,0.7445407012238586,0.7123249299719888
84,0.4577029547890345,2026-03-11 21:06:53.234162,2026-03-11 21:12:15.488255,0 days 00:05:22.254093,32,0.8,0.0071167013973952534,15,meta,64,32,5,0.2654835179877252,0.1,0.0059807300959178675,0.8,5,30,BiGRU,1,10,2.6562047075501482e-06,0.7137254901960786,0.6744245790893968,0.4577029547890345,0.7353557871062748,0.7292966082338573,COMPLETE,0.6744245790893968,0.4577029547890345,0.7353557871062748,0.7292966082338573,0.7137254901960786
66,0.4571578831947552,2026-03-11 19:40:24.663994,2026-03-11 19:45:11.387344,0 days 00:04:46.723350,32,0.7000000000000001,0.00187912784795008,10,meta,128,32,5,0.834863492524596,0.0,0.001015650087488641,0.8,5,50,BiGRU,1,10,1.0264462014947386e-06,0.712044817927171,0.6732593865908474,0.4571578831947552,0.7344644309088475,0.7295717731764425,COMPLETE,0.6732593865908474,0.4571578831947552,0.7344644309088475,0.7295717731764425,0.712044817927171
