company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiGRU,multiclass,5,1,1,1.924910507309976,3.302711146218436,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,2,1.612160758756513,2.837089771316165,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,3,1.5730685915180187,1.9751173626808893,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,4,1.4360847419230782,1.4018588264783223,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,5,1.2130774142754137,1.348603884379069,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,6,1.1048649714220709,1.4526473851430983,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,7,1.1026242333440925,1.4838474903787886,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,8,1.1044301306782056,1.6031907938775563,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,9,1.0544293157419367,1.647685366017478,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,10,1.1681339267510265,1.7046468655268352,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,11,1.006474503919707,1.736836089974358,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,12,1.0729146322712826,1.8516906386330014,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,13,1.0201204146572094,1.7321258726574125,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,14,0.9674762592243789,1.7164599157515026,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,15,1.0553914197725267,1.7938670232182456,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,1,1.9622252664374347,1.945518360251472,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,2,1.6360451836681844,1.2700903756277901,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,3,1.3695238001981573,1.1819983096349806,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,4,1.307047236804387,1.9239648410252161,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,5,1.246346175071582,2.5743560336885,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,6,1.130762068170998,3.1142757733662925,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,7,1.095020571246219,3.7466931570143926,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,8,1.1558758505624742,3.8897706894647506,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,9,1.0008209018252003,4.4228041512625555,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,10,1.0103720342693616,4.556451161702474,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,11,1.0670722366577416,4.133566879090809,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,12,0.9258703418712521,4.264818282354446,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,13,0.894994523956548,4.453863961356027,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,1,1.8260060872264843,1.7432877109164284,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,2,1.5418871769953013,1.4148184855779011,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,3,1.40701946331628,0.967319301196507,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,4,1.1542724245157674,0.9362524577549526,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,5,1.232559494037724,0.9749407257352557,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,6,1.2339583732674468,0.9687497331982567,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,7,1.0586314641650598,0.9632222368603661,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,8,1.1398350794111665,0.9905850716999599,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,9,1.0554755419942004,0.9628557704743885,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,10,1.0461530812721156,0.9670892613274711,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,11,1.0022615269200885,0.9959782305217925,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,12,1.1196862537058154,1.0006086712791806,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,13,1.0959148430944088,1.0019907383691697,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,14,1.0872686274686651,1.0073607932953608,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,1,1.7996383623861187,2.139851836931138,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,2,1.5934426023732478,1.8429694005421229,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,3,1.3699569270838445,1.3561800775073825,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,4,1.2259660312278786,1.0796451710519337,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,5,1.086018615332081,0.9784600592794872,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,6,1.011189003685611,0.9865677214804149,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,7,1.0580533179805507,0.9706790589150929,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,8,1.1550698226420724,0.9949454438118708,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,9,1.040990175314285,1.057288062004816,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,10,0.9369248346467713,1.0969207144918895,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,11,1.0742275217669692,1.0677633171989804,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,12,0.9444507689931285,1.0435014225187755,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,13,0.8884481008927426,1.1087753943034582,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,14,1.0065654600085925,1.0564931574321927,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,15,0.9553358701605293,1.1591798492840357,398,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,1,2.2499877134958903,3.643472739628383,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,2,2.056513023376465,3.5346253712972007,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,3,1.8307071765263876,3.3605203855605352,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,4,1.7858513991038005,3.1286001886640276,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,5,1.6491748889287312,2.9133502415248325,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,6,1.6707384745279947,2.59004579271589,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,7,1.5026365836461386,2.2154957907540456,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,8,1.1345924973487853,1.83211772782462,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,9,1.2522432446479796,1.4763997055235363,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,10,1.3106921672821046,1.2330873012542725,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,11,1.175275492668152,1.1247663441158475,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,12,1.2851614316304525,1.128931550752549,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,13,1.2350309054056803,1.1859514770053683,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,14,1.0285146633783977,1.2613627172651745,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,15,1.0157153725624084,1.3635214056287492,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,16,0.9708903312683106,1.4666543404261272,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,17,1.0934844891230264,1.580548876807803,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,18,1.0535358230272929,1.706186748686291,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,19,0.9590146938959757,1.8355907145000638,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,20,1.0183562596638998,1.8923427831558954,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,21,0.9482074896494548,1.934806471779233,120,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,1,1.716230489500803,1.6839087350027901,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,2,1.3606119431442951,1.1871544605209714,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,3,1.2265683095059803,0.941779823530288,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,4,1.172810656341476,0.9436648374512082,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,5,1.1379384958564336,0.9859010378519694,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,6,1.0894592287552416,0.96848197778066,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,7,1.0043360743690375,0.9497372139067877,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,8,1.0754953652770076,0.9405352132661002,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,9,1.0316618201720655,0.9233035161381676,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,10,0.9769567347052109,0.956830715849286,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,11,0.9803814444709663,0.9494952857494354,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,12,1.0150786141055312,0.9092307119142442,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,13,1.0128695976794067,0.9022436681247893,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,14,1.045014266991735,0.9447845986911229,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,15,0.8763447664490897,0.9640986039524987,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,16,0.9921024953899671,0.9323159186612993,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,17,0.8883508515717397,0.9024067535286858,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,18,0.8972937201135721,0.889402992668606,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,19,0.8496236333894969,0.9069266688256037,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,20,0.8071061288891126,0.8642512758572897,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,21,0.8942161145521768,0.8489983564331418,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,22,0.8377098599870001,0.8656441697052547,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,23,0.8440236303974037,0.8917603946867443,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,24,0.7612227339241373,0.8706052629720598,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,25,0.8123784616364905,0.8506717483202616,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,26,0.7974878998857048,0.8275513081323533,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,27,0.7898864883873331,0.8418515352975755,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,28,0.7494676703184693,0.8562425857498532,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,29,0.7051450050056879,0.9156923790772756,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,30,0.8709665620746325,0.9339823722839355,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,31,0.8345663080263377,0.8895727665651412,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,32,0.8097999766843402,0.8981525897979736,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,33,0.7290031508584718,0.9537820518016815,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,34,0.7687320122167692,0.9620939933118366,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,35,0.72165363188365,0.938830988747733,398,42,64
AMGN,Healthcare,BiGRU,multiclass,5,1,36,0.7541749303664395,0.9322347640991211,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,1,1.9117693565598683,2.1683024622145153,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,2,1.6967216670213632,1.9611829689570837,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,3,1.4398565681735476,1.5314686411903018,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,4,1.4160645553215065,1.1923919433639163,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,5,1.2346158321179337,1.1728832579794384,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,6,1.2126023613627832,1.1366131930124193,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,7,1.2404849373515527,1.0408444972265334,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,8,1.1093615554085927,1.0703089180446805,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,9,1.0588059467286919,1.0925166720435733,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,10,1.093697535033202,0.9800678690274557,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,11,1.1093382410068608,0.9490237406321934,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,12,1.1122746287877836,0.8915490479696364,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,13,1.0374593219565387,0.8055793870063055,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,14,1.083690012519683,0.8023173241388231,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,15,1.018693053542669,0.8130058163688296,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,16,0.9362034141717843,0.8663861155509949,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,17,1.0900185536499598,1.122417682693118,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,18,0.9426810130402071,1.211461027463277,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,19,0.9489263487820649,1.4632930415017265,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,20,0.9335207747454619,1.2850723777498518,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,21,1.0320289117008,1.1563069423039753,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,22,0.9219135657027738,1.3101178521201724,398,42,64
AMZN,Services,BiGRU,multiclass,5,1,23,0.827153474242244,1.3600108850569952,398,42,64
BA,Industrial Goods,BiGRU,multiclass,5,1,1,1.8869640231132507,3.1066838644799732,398,42,64
BA,Industrial Goods,BiGRU,multiclass,5,1,2,1.6137688603233453,2.3179134215627397,398,42,64
BA,Industrial Goods,BiGRU,multiclass,5,1,3,1.4487068107978782,1.6176812393324715,398,42,64
BA,Industrial Goods,BiGRU,multiclass,5,1,4,1.1623589531261118,1.5033670039404006,398,42,64
BA,Industrial Goods,BiGRU,multiclass,5,1,5,1.14260727346842,1.6330900419326055,398,42,64
BA,Industrial Goods,BiGRU,multiclass,5,1,6,1.0431569560089302,1.687685149056571,398,42,64
BA,Industrial Goods,BiGRU,multiclass,5,1,7,1.1502246667991332,1.7116020917892456,398,42,64
BA,Industrial Goods,BiGRU,multiclass,5,1,8,1.1233292374778632,1.7753676857267107,398,42,64
BA,Industrial Goods,BiGRU,multiclass,5,1,9,1.148447135884558,1.7645311866487776,398,42,64
BA,Industrial Goods,BiGRU,multiclass,5,1,10,0.9550888831891007,1.7294331278119768,398,42,64
BA,Industrial Goods,BiGRU,multiclass,5,1,11,1.039678130617094,1.7495590505145846,398,42,64
BA,Industrial Goods,BiGRU,multiclass,5,1,12,1.0489227127789253,1.7398899339494251,398,42,64
BA,Industrial Goods,BiGRU,multiclass,5,1,13,0.9669970525569053,1.767649667603629,398,42,64
BA,Industrial Goods,BiGRU,multiclass,5,1,14,0.9862903623125661,1.8438746361505418,398,42,64
BABA,Services,BiGRU,multiclass,5,1,1,2.018115810504774,2.747501492500305,164,42,64
BABA,Services,BiGRU,multiclass,5,1,2,1.7089812835542166,2.444445402849288,164,42,64
BABA,Services,BiGRU,multiclass,5,1,3,1.5709622611359852,2.077535691715422,164,42,64
BABA,Services,BiGRU,multiclass,5,1,4,1.419573911806432,1.6446398553394137,164,42,64
