company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiLSTM,multiclass,5,0.05982905982905983,0.21875,0.00561116635799408,,,,0.0,0.6526315789473685,0.484375,1.0,0.484375,1184,398,42,64,16,"[[0, 0, 0, 0, 0, 23], [0, 0, 0, 0, 0, 7], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 0, 12], [0, 0, 0, 0, 0, 14]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
ABB,Industrial Goods,BiLSTM,multiclass,5,0.05627705627705628,0.203125,0.005638457369059324,,,,0.0,0.5934065934065934,0.421875,1.0,0.421875,1184,398,42,64,16,"[[0, 0, 0, 0, 0, 16], [0, 0, 0, 0, 0, 17], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 0, 11], [0, 0, 0, 0, 0, 13]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
ABBV,Healthcare,BiLSTM,multiclass,5,0.15873015873015875,0.3125,0.023320378735661507,,,,0.25673599474580255,0.6436781609195402,0.4745762711864407,1.0,0.515625,1103,398,42,64,19,"[[4, 1, 0, 0, 0, 19], [0, 0, 0, 0, 0, 7], [0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 2, 9], [0, 0, 0, 0, 1, 14]]","[[0.16666666666666666, 0.041666666666666664, 0.0, 0.0, 0.0, 0.7916666666666666], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5], [0.0, 0.0, 0.0, 0.0, 0.18181818181818182, 0.8181818181818182], [0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.9333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AEP,Utilities,BiLSTM,multiclass,5,0.05982905982905983,0.21875,0.0005240525933913887,,,,0.0,0.72,0.5625,1.0,0.5625,1184,398,42,64,16,"[[0, 0, 0, 0, 0, 9], [0, 0, 0, 0, 0, 13], [0, 0, 0, 0, 0, 6], [0, 0, 0, 0, 0, 9], [0, 0, 0, 0, 0, 13], [0, 0, 0, 0, 0, 14]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AGFS,Conglomerates,BiLSTM,multiclass,5,0.06995884773662552,0.265625,0.022140178829431534,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,627,105,42,64,16,"[[0, 0, 0, 0, 0, 33], [0, 0, 0, 0, 0, 7], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 0, 17]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AMGN,Healthcare,BiLSTM,multiclass,5,0.12742812742812745,0.265625,-0.01150541938841343,,,,0.3936272119601516,0.5818181818181818,0.8888888888888888,0.43243243243243246,0.640625,1184,398,42,64,20,"[[12, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0], [6, 0, 0, 0, 0, 2], [2, 0, 0, 0, 0, 0], [7, 1, 0, 1, 0, 4], [6, 5, 0, 2, 4, 5]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.75, 0.0, 0.0, 0.0, 0.0, 0.25], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.5384615384615384, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0, 0.3076923076923077], [0.2727272727272727, 0.22727272727272727, 0.0, 0.09090909090909091, 0.18181818181818182, 0.22727272727272727]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AMZN,Services,BiLSTM,multiclass,5,0.11268939393939394,0.21875,0.0018432473298162222,,,,0.19369919939163724,0.7741935483870968,0.72,0.8372093023255814,0.671875,1184,398,42,64,16,"[[0, 0, 0, 0, 9, 0], [1, 4, 0, 0, 5, 0], [0, 2, 0, 0, 0, 0], [0, 1, 0, 0, 1, 0], [0, 4, 0, 0, 10, 0], [1, 1, 0, 0, 25, 0]]","[[0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.1, 0.4, 0.0, 0.0, 0.5, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.5, 0.0, 0.0, 0.5, 0.0], [0.0, 0.2857142857142857, 0.0, 0.0, 0.7142857142857143, 0.0], [0.037037037037037035, 0.037037037037037035, 0.0, 0.0, 0.9259259259259259, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BA,Industrial Goods,BiLSTM,multiclass,5,0.2410947712418301,0.40625,0.000586624548304826,,,,0.21732769392835002,0.5901639344262295,0.5806451612903226,0.6,0.609375,1184,398,42,64,18,"[[11, 0, 0, 0, 3, 1], [9, 0, 0, 0, 3, 4], [1, 0, 0, 0, 2, 0], [1, 0, 0, 0, 1, 0], [4, 0, 0, 0, 5, 0], [7, 0, 0, 0, 2, 10]]","[[0.7333333333333333, 0.0, 0.0, 0.0, 0.2, 0.06666666666666667], [0.5625, 0.0, 0.0, 0.0, 0.1875, 0.25], [0.3333333333333333, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0], [0.5, 0.0, 0.0, 0.0, 0.5, 0.0], [0.4444444444444444, 0.0, 0.0, 0.0, 0.5555555555555556, 0.0], [0.3684210526315789, 0.0, 0.0, 0.0, 0.10526315789473684, 0.5263157894736842]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BABA,Services,BiLSTM,multiclass,5,0.20274874177313199,0.296875,0.001062510535120964,,,,0.4547940268270977,0.8260869565217391,0.7307692307692307,0.95,0.75,671,149,42,64,19,"[[9, 0, 0, 1, 6, 2], [0, 0, 0, 1, 3, 1], [1, 0, 0, 0, 0, 0], [0, 0, 0, 2, 2, 0], [1, 0, 0, 1, 2, 0], [1, 0, 0, 12, 13, 6]]","[[0.5, 0.0, 0.0, 0.05555555555555555, 0.3333333333333333, 0.1111111111111111], [0.0, 0.0, 0.0, 0.2, 0.6, 0.2], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.5, 0.5, 0.0], [0.25, 0.0, 0.0, 0.25, 0.5, 0.0], [0.03125, 0.0, 0.0, 0.375, 0.40625, 0.1875]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BAC,Financial,BiLSTM,multiclass,5,0.19242424242424241,0.34375,0.0021165600046515465,,,,0.31159465034477757,0.6857142857142857,0.7272727272727273,0.6486486486486487,0.65625,1184,398,42,64,17,"[[11, 0, 1, 0, 0, 2], [5, 0, 0, 0, 0, 5], [1, 0, 0, 0, 0, 2], [3, 0, 0, 1, 0, 0], [7, 0, 0, 1, 0, 8], [3, 0, 0, 4, 0, 10]]","[[0.7857142857142857, 0.0, 0.07142857142857142, 0.0, 0.0, 0.14285714285714285], [0.5, 0.0, 0.0, 0.0, 0.0, 0.5], [0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666], [0.75, 0.0, 0.0, 0.25, 0.0, 0.0], [0.4375, 0.0, 0.0, 0.0625, 0.0, 0.5], [0.17647058823529413, 0.0, 0.0, 0.23529411764705882, 0.0, 0.5882352941176471]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
