company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,multiclass,10,5,1,0.677677025148018,0.8501221537590027,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,2,0.6166212573722379,1.4337169726689656,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,3,0.5928800681128574,1.5901385091599964,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,4,0.5635320933619935,2.0704382885070074,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,5,0.5458355156620543,2.061218057359968,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,6,0.5186177617940472,2.5163732369740806,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,7,0.49083856991188013,2.602750710078648,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,8,0.46169554408471186,2.9099302746000744,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,9,0.43635459671068433,3.3508495603288924,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,10,0.4433050353323395,3.5167449088323686,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,11,0.4343138714531558,4.169912383669899,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,12,0.40791333680176856,4.120027882712228,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,13,0.3899256137747261,3.8208750997270857,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,14,0.3629108742253864,5.0068746748424715,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,15,0.34052723122002493,4.303524653116862,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,16,0.35222113342141387,4.937945865449452,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,1,0.8003523328795505,0.9956009160904657,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,2,0.7184316632735669,2.292315346854074,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,3,0.6806062702557549,2.886625891640073,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,4,0.6530404441320716,3.2826965763455345,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,5,0.6501675526700427,4.154050191243489,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,6,0.5957844705138374,4.198462191082182,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,7,0.5556773732055971,5.725344862256732,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,8,0.5594992098496787,3.085546221051897,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,9,0.5497841876954889,5.373251812798636,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,10,0.5135657830753518,5.111720028377714,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,11,0.5372737905188422,5.1696956271216985,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,12,0.48940027074598186,4.987815584455218,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,13,0.4627408010875759,4.776630708149502,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,14,0.44789757650701245,5.489672910599482,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,15,0.40933553762172337,5.7225519589015414,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,16,0.4217460986657358,5.645861739204044,398,42,64
ABBV,Healthcare,GRU,multiclass,10,5,1,0.6953450399427558,0.7487910276367551,398,42,64
ABBV,Healthcare,GRU,multiclass,10,5,2,0.6371684724362052,0.980512227330889,398,42,64
ABBV,Healthcare,GRU,multiclass,10,5,3,0.6311365866181838,0.7993617738996234,398,42,64
ABBV,Healthcare,GRU,multiclass,10,5,4,0.5983468752410543,1.1651523851213001,398,42,64
ABBV,Healthcare,GRU,multiclass,10,5,5,0.5844922239456943,1.1786250500451951,398,42,64
ABBV,Healthcare,GRU,multiclass,10,5,6,0.5701043509957778,1.2375840856915428,398,42,64
ABBV,Healthcare,GRU,multiclass,10,5,7,0.5339255045406782,1.7271099771772112,398,42,64
ABBV,Healthcare,GRU,multiclass,10,5,8,0.501943731128271,1.6490624405088878,398,42,64
ABBV,Healthcare,GRU,multiclass,10,5,9,0.46395330093613824,1.0429862538973491,398,42,64
ABBV,Healthcare,GRU,multiclass,10,5,10,0.4774695444646193,2.7832781189963933,398,42,64
ABBV,Healthcare,GRU,multiclass,10,5,11,0.4712063560833284,1.3305739987464178,398,42,64
ABBV,Healthcare,GRU,multiclass,10,5,12,0.4593424759618002,1.1027433503241766,398,42,64
ABBV,Healthcare,GRU,multiclass,10,5,13,0.4231135388415063,0.9498716167041233,398,42,64
ABBV,Healthcare,GRU,multiclass,10,5,14,0.3920256805479826,1.5024110987072898,398,42,64
ABBV,Healthcare,GRU,multiclass,10,5,15,0.4065819177495774,1.4390212850911277,398,42,64
ABBV,Healthcare,GRU,multiclass,10,5,16,0.3826748039854232,1.2276140025683813,398,42,64
AEP,Utilities,GRU,multiclass,10,5,1,0.7037381733482208,0.7421638256027585,398,42,64
AEP,Utilities,GRU,multiclass,10,5,2,0.6377191522612644,0.8557701195989337,398,42,64
AEP,Utilities,GRU,multiclass,10,5,3,0.6226785796970579,0.9693779576392401,398,42,64
AEP,Utilities,GRU,multiclass,10,5,4,0.5945828895473001,1.072850227355957,398,42,64
AEP,Utilities,GRU,multiclass,10,5,5,0.5774034722965566,1.2234095817520505,398,42,64
AEP,Utilities,GRU,multiclass,10,5,6,0.5643627204787192,1.6685525207292466,398,42,64
AEP,Utilities,GRU,multiclass,10,5,7,0.5423697378467675,1.630436048621223,398,42,64
AEP,Utilities,GRU,multiclass,10,5,8,0.5148100174551633,1.5932051198823112,398,42,64
AEP,Utilities,GRU,multiclass,10,5,9,0.4833658679046823,1.9328620887938,398,42,64
AEP,Utilities,GRU,multiclass,10,5,10,0.4698928157288825,2.1088728195145015,398,42,64
AEP,Utilities,GRU,multiclass,10,5,11,0.46231918538635103,1.6367659029506503,398,42,64
AEP,Utilities,GRU,multiclass,10,5,12,0.4750093235142866,1.9264290957223802,398,42,64
AEP,Utilities,GRU,multiclass,10,5,13,0.43795961366226926,2.2758832375208535,398,42,64
AEP,Utilities,GRU,multiclass,10,5,14,0.4072900179343008,1.817178413981483,398,42,64
AEP,Utilities,GRU,multiclass,10,5,15,0.430062473194683,1.7455669613111586,398,42,64
AEP,Utilities,GRU,multiclass,10,5,16,0.4028604607186725,2.618293645836058,398,42,64
AGFS,Conglomerates,GRU,multiclass,10,5,1,0.7603156711744226,0.7791857463972909,115,42,64
AGFS,Conglomerates,GRU,multiclass,10,5,2,0.6949981264446092,0.785803999219622,115,42,64
AGFS,Conglomerates,GRU,multiclass,10,5,3,0.6768206378687983,0.8156880253837222,115,42,64
AGFS,Conglomerates,GRU,multiclass,10,5,4,0.6281824231147766,0.8814805377097357,115,42,64
AGFS,Conglomerates,GRU,multiclass,10,5,5,0.5968625732090163,1.000533157870883,115,42,64
AGFS,Conglomerates,GRU,multiclass,10,5,6,0.5836705969727558,1.1566469640958876,115,42,64
AGFS,Conglomerates,GRU,multiclass,10,5,7,0.5251128779805225,1.421029317946661,115,42,64
AGFS,Conglomerates,GRU,multiclass,10,5,8,0.4836571654547816,1.8243811471121651,115,42,64
AGFS,Conglomerates,GRU,multiclass,10,5,9,0.4969105267006418,1.9873794203712827,115,42,64
AGFS,Conglomerates,GRU,multiclass,10,5,10,0.45900590756665105,2.533470176515125,115,42,64
AGFS,Conglomerates,GRU,multiclass,10,5,11,0.43043195190637007,2.660860617955526,115,42,64
AGFS,Conglomerates,GRU,multiclass,10,5,12,0.4048205316066742,2.423997305688404,115,42,64
AGFS,Conglomerates,GRU,multiclass,10,5,13,0.38093742702318273,2.9861968698955716,115,42,64
AGFS,Conglomerates,GRU,multiclass,10,5,14,0.3652282002179519,3.3146509556543258,115,42,64
AGFS,Conglomerates,GRU,multiclass,10,5,15,0.35011047345140706,2.9263218414215815,115,42,64
AGFS,Conglomerates,GRU,multiclass,10,5,16,0.3443924092728159,3.215811229887463,115,42,64
AMGN,Healthcare,GRU,multiclass,10,5,1,0.7179260598355203,0.6359205558186486,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,2,0.6531906118944063,0.5796451057706561,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,3,0.6157405136817664,0.5157798471904936,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,4,0.5966737866401672,0.4879222299371447,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,5,0.5733011712380989,0.5435063583510262,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,6,0.5430046688372167,0.6449980622246152,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,7,0.515337205112879,0.5198141449973697,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,8,0.5152873474748889,0.5923079394158863,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,9,0.5120674153069156,0.6829358027094886,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,10,0.5058892995268855,0.5405088776633853,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,11,0.4882804170325773,0.5689087141127813,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,12,0.4501729610577301,0.8950348382904416,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,13,0.46401726660416953,0.6405146405810401,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,14,0.45439321940867744,1.0873555853253318,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,15,0.4565842433191424,0.933282732963562,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,16,0.41658204134984234,0.7618718828473773,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,17,0.3921239449450718,0.8147674004236857,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,18,0.38229274075833997,0.7871058753558567,398,42,64
AMGN,Healthcare,GRU,multiclass,10,5,19,0.3576689407454064,1.0043690999348958,398,42,64
AMZN,Services,GRU,multiclass,10,5,1,0.7687790759244756,1.0296588852292015,398,42,64
AMZN,Services,GRU,multiclass,10,5,2,0.7121522549408764,1.5891322181338357,398,42,64
AMZN,Services,GRU,multiclass,10,5,3,0.691954507600123,1.785273063750494,398,42,64
AMZN,Services,GRU,multiclass,10,5,4,0.6661481384056896,1.9303454103923978,398,42,64
AMZN,Services,GRU,multiclass,10,5,5,0.6277577303462292,2.532181700070699,398,42,64
AMZN,Services,GRU,multiclass,10,5,6,0.6127606079206994,2.617877659343538,398,42,64
AMZN,Services,GRU,multiclass,10,5,7,0.5792485836462758,2.5735762062526883,398,42,64
AMZN,Services,GRU,multiclass,10,5,8,0.5585417539330583,3.0702709016345797,398,42,64
AMZN,Services,GRU,multiclass,10,5,9,0.5378622217993041,3.8471873033614385,398,42,64
AMZN,Services,GRU,multiclass,10,5,10,0.5339120572535836,3.2390554632459367,398,42,64
AMZN,Services,GRU,multiclass,10,5,11,0.5222152880388289,3.8025672549293157,398,42,64
AMZN,Services,GRU,multiclass,10,5,12,0.5214328698476954,3.23207227956681,398,42,64
AMZN,Services,GRU,multiclass,10,5,13,0.52082221606868,5.7873018355596635,398,42,64
AMZN,Services,GRU,multiclass,10,5,14,0.44583813179677456,4.546903053919475,398,42,64
AMZN,Services,GRU,multiclass,10,5,15,0.44304201426218504,4.150133064814976,398,42,64
AMZN,Services,GRU,multiclass,10,5,16,0.4341426732851632,5.516719307218279,398,42,64
BA,Industrial Goods,GRU,multiclass,10,5,1,0.7761812755210915,0.6986350417137146,398,42,64
BA,Industrial Goods,GRU,multiclass,10,5,2,0.7333754337013666,0.6960592042832148,398,42,64
BA,Industrial Goods,GRU,multiclass,10,5,3,0.6915176789365222,0.7051843518302554,398,42,64
BA,Industrial Goods,GRU,multiclass,10,5,4,0.655872742434842,0.9502590894699097,398,42,64
BA,Industrial Goods,GRU,multiclass,10,5,5,0.6336335063579693,0.8568172000703358,398,42,64
BA,Industrial Goods,GRU,multiclass,10,5,6,0.6044836870989009,0.8972870622362409,398,42,64
BA,Industrial Goods,GRU,multiclass,10,5,7,0.5588152880345157,1.086138231413705,398,42,64
BA,Industrial Goods,GRU,multiclass,10,5,8,0.5546961736738981,1.1573912416185652,398,42,64
BA,Industrial Goods,GRU,multiclass,10,5,9,0.5103468559495169,1.0223315045947121,398,42,64
BA,Industrial Goods,GRU,multiclass,10,5,10,0.5017942097318832,1.2359319868541898,398,42,64
BA,Industrial Goods,GRU,multiclass,10,5,11,0.47255851126196396,1.2278760444550287,398,42,64
