company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,multiclass,20,5,1,0.722447553771225,0.7074919286228362,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,2,0.651133266525652,0.724671829314459,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,3,0.6332899832246291,0.7667222250075567,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,4,0.613542816746774,0.7791186514354888,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,5,0.6068666721109169,0.9314131566456386,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,6,0.5804855790569554,1.8462138119198026,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,7,0.544066231753958,1.7516733805338542,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,8,0.5053118197762188,3.631096363067627,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,9,0.4956399034615138,2.4757794652666365,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,10,0.4566906518373058,3.9051908538455056,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,11,0.48569485200709434,3.5049503644307456,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,12,0.45161375598092773,3.2658152353195917,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,13,0.41661319540972686,4.288856529054188,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,14,0.4183257970977668,3.8198859578087214,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,15,0.4062598006210135,3.7241578556242443,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,16,0.4008388995525226,4.089330764043899,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,1,0.8597647700477485,0.8179400960604349,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,2,0.7800749489410439,0.9590779542922974,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,3,0.7353033914637925,1.46583320413317,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,4,0.6741130091437143,2.5966994989485968,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,5,0.6583584756707427,3.85215577625093,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,6,0.5885802002707917,4.818106685365949,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,7,0.6095428591098019,3.931200685955229,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,8,0.6694988942326013,1.6065969523929415,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,9,0.5867212944893382,3.02586038907369,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,10,0.6713161709620126,2.872020755495344,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,11,0.6429153655342121,2.449179626646496,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,12,0.5260896522495615,3.2544783637637185,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,13,0.524405998051466,3.7365649200621105,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,14,0.5217558678670146,3.730098077229091,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,15,0.4777862634790603,3.8465146791367304,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,16,0.4627454893373365,4.02717171396528,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,5,1,0.7055328191824295,0.6685834356716701,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,5,2,0.6400321155936275,0.6652823232469105,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,5,3,0.5982046945011197,0.7278753462291899,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,5,4,0.5533892665077095,0.9122618777411324,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,5,5,0.5396538969859406,0.9300965808686756,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,5,6,0.49650496843472197,0.7287772496541342,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,5,7,0.49569254379775657,0.5903976758321127,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,5,8,0.5243470575941268,0.9344783851078579,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,5,9,0.5481808775633423,0.9059781006404332,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,5,10,0.48623843828038354,1.2029124895731609,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,5,11,0.47899403329470647,0.7934784151258922,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,5,12,0.42730198283890386,0.8492497092201596,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,5,13,0.42180421334415225,0.8111199367614019,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,5,14,0.42261719359225364,0.5100245958282834,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,5,15,0.4259693995492542,0.6809406394050235,398,42,64
ABBV,Healthcare,LSTM,multiclass,20,5,16,0.4138248110536355,0.703105954896836,398,42,64
