company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiGRU,multiclass,10,5,1,1.356799752268959,0.9797009598641169,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,2,0.9273115884718584,1.10625901392528,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,3,0.7853824217714857,1.3794793287913005,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,4,0.7143281737164636,1.4611652010963077,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,5,0.6627740419689735,1.8504412543205988,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,6,0.6062099026076159,1.9870012260618664,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,7,0.535727039952973,2.702868030184791,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,8,0.4985240497181763,2.6921466759272983,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,9,0.4864583018437103,2.9690518492744085,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,10,0.4529804289340973,2.920100246156965,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,10,5,11,0.41648603728668177,3.109603927249,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,1,1.728063749907604,1.170121011279878,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,2,1.1497034858818629,1.112881030355181,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,3,0.8879754980604853,2.755240565254575,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,4,0.8109900624907795,3.7031110468364896,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,5,0.7655506015722476,3.971522569656372,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,6,0.7746993322767805,3.9122041634150913,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,7,0.6896720995855092,4.799647490183513,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,8,0.6703906701737313,4.796878587631952,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,9,0.6452716425735148,4.503083524249849,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,10,0.589419869097633,5.064456417447045,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,11,0.5299857370368201,4.963526089986165,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,10,5,12,0.4844210372498287,5.238509110042027,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,1,1.298171496271488,0.5277411824180966,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,2,0.8616846212789641,0.907259810538519,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,3,0.7584455705168259,1.2966600372677757,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,4,0.6641027642853895,1.059953246797834,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,5,0.5976073421425556,0.9030385585058303,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,6,0.5440988377410563,0.845690199307033,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,7,0.49857946211968235,1.3471055257888067,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,8,0.46930131600729785,2.4300001916431246,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,9,0.44240568465922947,1.4903685365404402,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,10,0.43247347650815493,1.8309995901016962,398,42,64
ABBV,Healthcare,BiGRU,multiclass,10,5,11,0.3909842783781751,1.6960999965667725,398,42,64
AEP,Utilities,BiGRU,multiclass,10,5,1,1.2700766888096104,1.5842495872860862,398,42,64
AEP,Utilities,BiGRU,multiclass,10,5,2,0.8937579303530593,1.146285593509674,398,42,64
AEP,Utilities,BiGRU,multiclass,10,5,3,0.7378230861682987,1.0058020977746873,398,42,64
AEP,Utilities,BiGRU,multiclass,10,5,4,0.6330314348989995,1.0395957004456293,398,42,64
AEP,Utilities,BiGRU,multiclass,10,5,5,0.5707077422932764,1.195027348541078,398,42,64
AEP,Utilities,BiGRU,multiclass,10,5,6,0.5452772224668282,1.6747388697805858,398,42,64
AEP,Utilities,BiGRU,multiclass,10,5,7,0.5165107347557892,1.3342419153168088,398,42,64
AEP,Utilities,BiGRU,multiclass,10,5,8,0.47809409780717976,1.348951947121393,398,42,64
AEP,Utilities,BiGRU,multiclass,10,5,9,0.5270425740198873,1.3599965941338312,398,42,64
AEP,Utilities,BiGRU,multiclass,10,5,10,0.4777759512764725,1.3060342754636491,398,42,64
AEP,Utilities,BiGRU,multiclass,10,5,11,0.4178698711359321,1.3595692543756395,398,42,64
AEP,Utilities,BiGRU,multiclass,10,5,12,0.3903596070244085,1.4669410614740281,398,42,64
AEP,Utilities,BiGRU,multiclass,10,5,13,0.37216815322487795,1.4817621594383603,398,42,64
AGFS,Conglomerates,BiGRU,multiclass,10,5,1,1.7462856896545575,1.3871296587444486,115,42,64
