company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiGRU,multiclass,5,0.13673202614379085,0.203125,-0.013954879716038704,,,,-0.1929364015162026,0.14285714285714285,0.2727272727272727,0.0967741935483871,0.4375,1194,398,42,64,11,"[[8, 6, 2, 7, 0, 0], [3, 3, 0, 1, 0, 0], [2, 1, 0, 0, 0, 0], [2, 2, 0, 0, 1, 0], [5, 2, 3, 0, 2, 0], [8, 4, 2, 0, 0, 0]]","[[0.34782608695652173, 0.2608695652173913, 0.08695652173913043, 0.30434782608695654, 0.0, 0.0], [0.42857142857142855, 0.42857142857142855, 0.0, 0.14285714285714285, 0.0, 0.0], [0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0], [0.4, 0.4, 0.0, 0.0, 0.2, 0.0], [0.4166666666666667, 0.16666666666666666, 0.25, 0.0, 0.16666666666666666, 0.0], [0.5714285714285714, 0.2857142857142857, 0.14285714285714285, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
ABB,Industrial Goods,BiGRU,multiclass,5,0.13472067385110864,0.15625,0.005238418001681566,,,,-0.009475800096308811,0.5142857142857142,0.4186046511627907,0.6666666666666666,0.46875,1194,398,42,64,12,"[[0, 3, 3, 5, 4, 1], [0, 1, 5, 4, 4, 3], [0, 0, 0, 3, 0, 1], [0, 1, 0, 2, 0, 0], [0, 2, 2, 3, 1, 3], [0, 2, 2, 0, 3, 6]]","[[0.0, 0.1875, 0.1875, 0.3125, 0.25, 0.0625], [0.0, 0.058823529411764705, 0.29411764705882354, 0.23529411764705882, 0.23529411764705882, 0.17647058823529413], [0.0, 0.0, 0.0, 0.75, 0.0, 0.25], [0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0], [0.0, 0.18181818181818182, 0.18181818181818182, 0.2727272727272727, 0.09090909090909091, 0.2727272727272727], [0.0, 0.15384615384615385, 0.15384615384615385, 0.0, 0.23076923076923078, 0.46153846153846156]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
ABBV,Healthcare,BiGRU,multiclass,5,0.11108974358974359,0.171875,-0.010433373041450977,,,,0.1271849058234485,0.47058823529411764,0.5217391304347826,0.42857142857142855,0.578125,1113,398,42,64,11,"[[9, 3, 6, 6, 0, 0], [4, 0, 1, 2, 0, 0], [1, 0, 1, 3, 0, 0], [0, 1, 0, 1, 0, 0], [1, 5, 1, 4, 0, 0], [0, 6, 2, 7, 0, 0]]","[[0.375, 0.125, 0.25, 0.25, 0.0, 0.0], [0.5714285714285714, 0.0, 0.14285714285714285, 0.2857142857142857, 0.0, 0.0], [0.2, 0.0, 0.2, 0.6, 0.0, 0.0], [0.0, 0.5, 0.0, 0.5, 0.0, 0.0], [0.09090909090909091, 0.45454545454545453, 0.09090909090909091, 0.36363636363636365, 0.0, 0.0], [0.0, 0.4, 0.13333333333333333, 0.4666666666666667, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AEP,Utilities,BiGRU,multiclass,5,0.13003274432302567,0.1875,-0.011830903589725494,,,,0.23809523809523808,0.3181818181818182,0.875,0.19444444444444445,0.53125,1194,398,42,64,13,"[[2, 2, 4, 1, 0, 0], [4, 8, 1, 0, 0, 0], [0, 5, 1, 0, 0, 0], [1, 6, 1, 1, 0, 0], [2, 6, 3, 2, 0, 0], [5, 4, 1, 3, 1, 0]]","[[0.2222222222222222, 0.2222222222222222, 0.4444444444444444, 0.1111111111111111, 0.0, 0.0], [0.3076923076923077, 0.6153846153846154, 0.07692307692307693, 0.0, 0.0, 0.0], [0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0], [0.1111111111111111, 0.6666666666666666, 0.1111111111111111, 0.1111111111111111, 0.0, 0.0], [0.15384615384615385, 0.46153846153846156, 0.23076923076923078, 0.15384615384615385, 0.0, 0.0], [0.35714285714285715, 0.2857142857142857, 0.07142857142857142, 0.21428571428571427, 0.07142857142857142, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AGFS,Conglomerates,BiGRU,multiclass,5,0.09620596205962058,0.109375,-0.0008113622898235917,,,,0.2424273078869408,0.5306122448979592,0.5,0.5652173913043478,0.640625,637,115,42,64,15,"[[5, 11, 6, 10, 1, 0], [2, 1, 2, 1, 1, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 4, 1, 0], [0, 5, 4, 8, 0, 0]]","[[0.15151515151515152, 0.3333333333333333, 0.18181818181818182, 0.30303030303030304, 0.030303030303030304, 0.0], [0.2857142857142857, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.8, 0.2, 0.0], [0.0, 0.29411764705882354, 0.23529411764705882, 0.47058823529411764, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AMGN,Healthcare,BiGRU,multiclass,5,0.13225916453537936,0.21875,-0.017093408852815628,,,,0.18944220058835148,0.15,1.0,0.08108108108108109,0.46875,1194,398,42,64,12,"[[11, 1, 0, 0, 0, 0], [6, 1, 0, 0, 0, 0], [5, 1, 2, 0, 0, 0], [0, 1, 1, 0, 0, 0], [5, 7, 0, 1, 0, 0], [7, 7, 6, 2, 0, 0]]","[[0.9166666666666666, 0.08333333333333333, 0.0, 0.0, 0.0, 0.0], [0.8571428571428571, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0], [0.625, 0.125, 0.25, 0.0, 0.0, 0.0], [0.0, 0.5, 0.5, 0.0, 0.0, 0.0], [0.38461538461538464, 0.5384615384615384, 0.0, 0.07692307692307693, 0.0, 0.0], [0.3181818181818182, 0.3181818181818182, 0.2727272727272727, 0.09090909090909091, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AMZN,Services,BiGRU,multiclass,5,0.03966808338393037,0.09375,0.02482886053621769,,,,0.0,0.8037383177570093,0.671875,1.0,0.671875,1194,398,42,64,14,"[[0, 0, 0, 2, 0, 7], [0, 0, 0, 3, 0, 7], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 1, 12], [0, 0, 0, 11, 11, 5]]","[[0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.7777777777777778], [0.0, 0.0, 0.0, 0.3, 0.0, 0.7], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5], [0.0, 0.0, 0.0, 0.07142857142857142, 0.07142857142857142, 0.8571428571428571], [0.0, 0.0, 0.0, 0.4074074074074074, 0.4074074074074074, 0.18518518518518517]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BA,Industrial Goods,BiGRU,multiclass,5,0.1309996883278791,0.25,-0.01668979413807392,,,,0.12756275329753713,0.2222222222222222,0.6666666666666666,0.13333333333333333,0.5625,1194,398,42,64,12,"[[11, 3, 0, 0, 1, 0], [13, 1, 1, 0, 1, 0], [3, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0], [9, 0, 0, 0, 0, 0], [9, 4, 2, 0, 0, 4]]","[[0.7333333333333333, 0.2, 0.0, 0.0, 0.06666666666666667, 0.0], [0.8125, 0.0625, 0.0625, 0.0, 0.0625, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.47368421052631576, 0.21052631578947367, 0.10526315789473684, 0.0, 0.0, 0.21052631578947367]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BABA,Services,BiGRU,multiclass,5,0.1286549707602339,0.234375,-0.01630818471312523,,,,0.17177950029416045,0.13953488372093023,1.0,0.075,0.421875,681,159,42,64,13,"[[13, 5, 0, 0, 0, 0], [3, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0], [1, 3, 0, 0, 0, 0], [3, 19, 7, 3, 0, 0]]","[[0.7222222222222222, 0.2777777777777778, 0.0, 0.0, 0.0, 0.0], [0.6, 0.4, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.25, 0.75, 0.0, 0.0, 0.0, 0.0], [0.09375, 0.59375, 0.21875, 0.09375, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BAC,Financial,BiGRU,multiclass,5,0.1098360655737705,0.234375,-0.02026655711233616,,,,-0.17155007848855516,0.04878048780487805,0.25,0.02702702702702703,0.390625,1194,398,42,64,11,"[[14, 0, 0, 0, 0, 0], [7, 0, 0, 3, 0, 0], [2, 0, 1, 0, 0, 0], [4, 0, 0, 0, 0, 0], [11, 2, 2, 1, 0, 0], [9, 4, 4, 0, 0, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.7, 0.0, 0.0, 0.3, 0.0, 0.0], [0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.6875, 0.125, 0.125, 0.0625, 0.0, 0.0], [0.5294117647058824, 0.23529411764705882, 0.23529411764705882, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
