company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,multiclass,15,1,1,1.732422947584085,2.6177118023236594,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,2,1.1766915743674464,1.331578785464877,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,3,0.9091302980130641,1.4337926450229825,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,4,0.8485670170592303,1.3028324700537182,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,5,0.7727069167336028,1.4957363804181416,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,6,0.7580062227333011,1.514855478491102,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,7,0.7074917604276283,1.8161306125777108,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,8,0.6853813606890002,1.4389809568723042,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,9,0.6191485184221411,1.4605192683991932,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,10,0.5585780025427066,1.5141465550377256,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,11,0.5784294761005958,1.5282433401970636,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,12,0.49243949436063145,1.3696783695902144,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,13,0.5094083346913209,1.8241393935112726,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,14,0.5249351206137307,1.6535733115105402,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,15,0.504893316845199,1.6509337027867634,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,16,0.47268299676066067,1.6030866361799694,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,17,0.3914151971963183,1.5589304594766527,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,18,0.3891632634790699,1.5949057340621948,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,19,0.3714109455520783,1.5357467106410436,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,1,20,0.3700394638668952,1.6231016999199277,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,1,1,1.340238775440197,1.148358838898795,398,42,64
