company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,LSTM,multiclass,5,0.05982905982905983,0.21875,0.005163929425179958,,,,0.0,0.6526315789473685,0.484375,1.0,0.484375,1189,398,42,64,11,"[[0, 0, 0, 0, 0, 23], [0, 0, 0, 0, 0, 7], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 0, 12], [0, 0, 0, 0, 0, 14]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
ABB,Industrial Goods,LSTM,multiclass,5,0.10266900448081044,0.203125,0.0007589536253362894,,,,0.0,0.5934065934065934,0.421875,1.0,0.421875,1189,398,42,64,11,"[[0, 0, 0, 0, 13, 3], [0, 0, 0, 0, 14, 3], [0, 0, 0, 0, 2, 2], [0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 8, 3], [0, 0, 0, 0, 8, 5]]","[[0.0, 0.0, 0.0, 0.0, 0.8125, 0.1875], [0.0, 0.0, 0.0, 0.0, 0.8235294117647058, 0.17647058823529413], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.7272727272727273, 0.2727272727272727], [0.0, 0.0, 0.0, 0.0, 0.6153846153846154, 0.38461538461538464]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
ABBV,Healthcare,LSTM,multiclass,5,0.0881009938221864,0.25,0.009366493672132492,,,,0.0,0.6086956521739131,0.4375,1.0,0.4375,1108,398,42,64,12,"[[0, 0, 0, 0, 4, 20], [0, 0, 0, 0, 0, 7], [0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 10], [0, 0, 0, 0, 0, 15]]","[[0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5], [0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.9090909090909091], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AEP,Utilities,LSTM,multiclass,5,0.09999999999999999,0.234375,-0.00015646925021428615,,,,0.29095718698132317,0.7380952380952381,0.6458333333333334,0.8611111111111112,0.65625,1189,398,42,64,12,"[[2, 0, 0, 1, 0, 6], [8, 0, 0, 0, 0, 5], [1, 0, 0, 0, 0, 5], [2, 1, 0, 0, 0, 6], [2, 0, 0, 0, 0, 11], [0, 0, 0, 1, 0, 13]]","[[0.2222222222222222, 0.0, 0.0, 0.1111111111111111, 0.0, 0.6666666666666666], [0.6153846153846154, 0.0, 0.0, 0.0, 0.0, 0.38461538461538464], [0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.8333333333333334], [0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.0, 0.6666666666666666], [0.15384615384615385, 0.0, 0.0, 0.0, 0.0, 0.8461538461538461], [0.0, 0.0, 0.0, 0.07142857142857142, 0.0, 0.9285714285714286]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AGFS,Conglomerates,LSTM,multiclass,5,0.07456140350877193,0.265625,0.017998121678829193,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,632,110,42,64,13,"[[0, 0, 0, 0, 4, 29], [0, 0, 0, 0, 1, 6], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 0, 17]]","[[0.0, 0.0, 0.0, 0.0, 0.12121212121212122, 0.8787878787878788], [0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.8571428571428571], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AMGN,Healthcare,LSTM,multiclass,5,0.15727751101068113,0.28125,0.0017629261128604412,,,,0.12529113460674984,0.4827586206896552,0.6666666666666666,0.3783783783783784,0.53125,1189,398,42,64,14,"[[7, 2, 0, 0, 1, 2], [5, 1, 0, 0, 1, 0], [4, 1, 0, 0, 1, 2], [0, 2, 0, 0, 0, 0], [7, 3, 0, 0, 0, 3], [8, 3, 0, 0, 1, 10]]","[[0.5833333333333334, 0.16666666666666666, 0.0, 0.0, 0.08333333333333333, 0.16666666666666666], [0.7142857142857143, 0.14285714285714285, 0.0, 0.0, 0.14285714285714285, 0.0], [0.5, 0.125, 0.0, 0.0, 0.125, 0.25], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.5384615384615384, 0.23076923076923078, 0.0, 0.0, 0.0, 0.23076923076923078], [0.36363636363636365, 0.13636363636363635, 0.0, 0.0, 0.045454545454545456, 0.45454545454545453]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AMZN,Services,LSTM,multiclass,5,0.1528727556596409,0.359375,0.012660900130867958,,,,0.21134315315821947,0.7692307692307693,0.7291666666666666,0.813953488372093,0.671875,1189,398,42,64,21,"[[1, 0, 0, 0, 3, 5], [5, 0, 0, 0, 3, 2], [2, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1], [4, 0, 0, 0, 3, 7], [3, 0, 0, 0, 5, 19]]","[[0.1111111111111111, 0.0, 0.0, 0.0, 0.3333333333333333, 0.5555555555555556], [0.5, 0.0, 0.0, 0.0, 0.3, 0.2], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.0, 0.5], [0.2857142857142857, 0.0, 0.0, 0.0, 0.21428571428571427, 0.5], [0.1111111111111111, 0.0, 0.0, 0.0, 0.18518518518518517, 0.7037037037037037]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BA,Industrial Goods,LSTM,multiclass,5,0.20489699425869637,0.34375,0.006271267309784889,,,,0.22798817869720447,0.6486486486486487,0.5454545454545454,0.8,0.59375,1189,398,42,64,14,"[[6, 0, 0, 5, 0, 4], [7, 0, 0, 1, 1, 7], [1, 0, 0, 0, 1, 1], [0, 0, 0, 0, 2, 0], [3, 0, 0, 0, 3, 3], [3, 0, 0, 1, 2, 13]]","[[0.4, 0.0, 0.0, 0.3333333333333333, 0.0, 0.26666666666666666], [0.4375, 0.0, 0.0, 0.0625, 0.0625, 0.4375], [0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333], [0.15789473684210525, 0.0, 0.0, 0.05263157894736842, 0.10526315789473684, 0.6842105263157895]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BABA,Services,LSTM,multiclass,5,0.1111111111111111,0.5,0.004362625535577536,,,,0.0,0.7692307692307693,0.625,1.0,0.625,676,154,42,64,12,"[[0, 0, 0, 0, 0, 18], [0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 32]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BAC,Financial,LSTM,multiclass,5,0.15042523697126373,0.265625,0.0025281752459704876,,,,0.09423188886809433,0.631578947368421,0.6153846153846154,0.6486486486486487,0.5625,1189,398,42,64,12,"[[0, 7, 0, 0, 6, 1], [0, 5, 0, 0, 0, 5], [0, 0, 0, 0, 1, 2], [0, 3, 0, 0, 1, 0], [0, 8, 0, 0, 2, 6], [0, 2, 0, 0, 5, 10]]","[[0.0, 0.5, 0.0, 0.0, 0.42857142857142855, 0.07142857142857142], [0.0, 0.5, 0.0, 0.0, 0.0, 0.5], [0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666], [0.0, 0.75, 0.0, 0.0, 0.25, 0.0], [0.0, 0.5, 0.0, 0.0, 0.125, 0.375], [0.0, 0.11764705882352941, 0.0, 0.0, 0.29411764705882354, 0.5882352941176471]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
