company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,GRU,multiclass,1,0.10384615384615385,0.125,0.0024798628874123096,,,,-0.1024464386416373,0.5842696629213483,0.4262295081967213,0.9285714285714286,0.421875,1198,398,42,64,16,"[[1, 0, 0, 1, 1, 4], [0, 0, 0, 4, 7, 8], [0, 0, 0, 2, 5, 3], [0, 0, 0, 1, 4, 3], [1, 0, 0, 3, 5, 6], [1, 0, 0, 1, 2, 1]]","[[0.14285714285714285, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714], [0.0, 0.0, 0.0, 0.21052631578947367, 0.3684210526315789, 0.42105263157894735], [0.0, 0.0, 0.0, 0.2, 0.5, 0.3], [0.0, 0.0, 0.0, 0.125, 0.5, 0.375], [0.06666666666666667, 0.0, 0.0, 0.2, 0.3333333333333333, 0.4], [0.2, 0.0, 0.0, 0.2, 0.4, 0.2]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
ABB,Industrial Goods,GRU,multiclass,1,0.010101010101010102,0.03125,0.005474179983139038,,,,0.0,0.72,0.5625,1.0,0.5625,1198,398,42,64,16,"[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 0, 19], [0, 0, 0, 0, 0, 6], [0, 0, 0, 0, 0, 15], [0, 0, 0, 0, 0, 19], [0, 0, 0, 0, 0, 2]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
ABBV,Healthcare,GRU,multiclass,1,0.047619047619047616,0.15625,0.014088757336139679,,,,0.08795448010813221,0.6947368421052632,0.5409836065573771,0.9705882352941176,0.546875,1117,398,42,64,18,"[[0, 0, 0, 0, 0, 11], [1, 0, 0, 0, 0, 14], [1, 0, 0, 0, 0, 3], [0, 0, 0, 0, 0, 5], [1, 0, 0, 1, 0, 17], [0, 0, 0, 0, 0, 10]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.9333333333333333], [0.25, 0.0, 0.0, 0.0, 0.0, 0.75], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.05263157894736842, 0.0, 0.0, 0.05263157894736842, 0.0, 0.8947368421052632], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AEP,Utilities,GRU,multiclass,1,0.1808823529411765,0.25,-4.865025402978063e-06,,,,0.16976428667549412,0.7391304347826086,0.6296296296296297,0.8947368421052632,0.625,1198,398,42,64,17,"[[1, 1, 0, 0, 1, 2], [1, 1, 0, 0, 6, 2], [1, 1, 0, 1, 6, 2], [0, 3, 0, 1, 10, 1], [0, 1, 0, 0, 11, 7], [0, 0, 0, 0, 2, 2]]","[[0.2, 0.2, 0.0, 0.0, 0.2, 0.4], [0.1, 0.1, 0.0, 0.0, 0.6, 0.2], [0.09090909090909091, 0.09090909090909091, 0.0, 0.09090909090909091, 0.5454545454545454, 0.18181818181818182], [0.0, 0.2, 0.0, 0.06666666666666667, 0.6666666666666666, 0.06666666666666667], [0.0, 0.05263157894736842, 0.0, 0.0, 0.5789473684210527, 0.3684210526315789], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AGFS,Conglomerates,GRU,multiclass,1,0.05263157894736842,0.1875,0.028624214231967926,,,,0.0,0.5617977528089888,0.390625,1.0,0.390625,641,115,42,64,18,"[[0, 0, 0, 0, 0, 15], [0, 0, 0, 0, 0, 12], [0, 0, 0, 0, 0, 12], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 11], [0, 0, 0, 0, 0, 12]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AMGN,Healthcare,GRU,multiclass,1,0.14695071010860483,0.1875,-0.00283735990524292,,,,0.20634920634920634,0.59375,0.6785714285714286,0.5277777777777778,0.59375,1198,398,42,64,19,"[[3, 0, 0, 0, 2, 1], [10, 2, 0, 0, 2, 2], [4, 0, 0, 1, 0, 1], [5, 1, 0, 0, 1, 2], [7, 1, 0, 1, 5, 3], [3, 0, 0, 2, 3, 2]]","[[0.5, 0.0, 0.0, 0.0, 0.3333333333333333, 0.16666666666666666], [0.625, 0.125, 0.0, 0.0, 0.125, 0.125], [0.6666666666666666, 0.0, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666], [0.5555555555555556, 0.1111111111111111, 0.0, 0.0, 0.1111111111111111, 0.2222222222222222], [0.4117647058823529, 0.058823529411764705, 0.0, 0.058823529411764705, 0.29411764705882354, 0.17647058823529413], [0.3, 0.0, 0.0, 0.2, 0.3, 0.2]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AMZN,Services,GRU,multiclass,1,0.18853423559305912,0.25,0.009069831110537052,,,,0.03559091993731713,0.6813186813186813,0.5535714285714286,0.8857142857142857,0.546875,1198,398,42,64,20,"[[0, 0, 1, 1, 0, 2], [0, 0, 1, 2, 7, 5], [0, 0, 2, 0, 3, 5], [1, 0, 0, 2, 0, 3], [0, 0, 2, 3, 7, 5], [0, 0, 1, 1, 5, 5]]","[[0.0, 0.0, 0.25, 0.25, 0.0, 0.5], [0.0, 0.0, 0.06666666666666667, 0.13333333333333333, 0.4666666666666667, 0.3333333333333333], [0.0, 0.0, 0.2, 0.0, 0.3, 0.5], [0.16666666666666666, 0.0, 0.0, 0.3333333333333333, 0.0, 0.5], [0.0, 0.0, 0.11764705882352941, 0.17647058823529413, 0.4117647058823529, 0.29411764705882354], [0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.4166666666666667, 0.4166666666666667]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BA,Industrial Goods,GRU,multiclass,1,0.047409579667644176,0.078125,-0.00024157832376658916,,,,0.3599695377511863,0.5660377358490566,0.8333333333333334,0.42857142857142855,0.640625,1198,398,42,64,17,"[[2, 0, 1, 0, 1, 0], [12, 0, 2, 0, 0, 0], [9, 0, 0, 0, 1, 1], [6, 0, 0, 0, 3, 1], [9, 1, 2, 0, 3, 6], [2, 0, 0, 0, 2, 0]]","[[0.5, 0.0, 0.25, 0.0, 0.25, 0.0], [0.8571428571428571, 0.0, 0.14285714285714285, 0.0, 0.0, 0.0], [0.8181818181818182, 0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091], [0.6, 0.0, 0.0, 0.0, 0.3, 0.1], [0.42857142857142855, 0.047619047619047616, 0.09523809523809523, 0.0, 0.14285714285714285, 0.2857142857142857], [0.5, 0.0, 0.0, 0.0, 0.5, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BABA,Services,GRU,multiclass,1,0.0942942942942943,0.265625,0.005792614538222551,,,,0.06104362873533078,0.6666666666666666,0.5263157894736842,0.9090909090909091,0.53125,685,159,42,64,16,"[[0, 0, 2, 0, 0, 5], [0, 0, 1, 0, 0, 14], [0, 0, 1, 0, 0, 8], [0, 0, 0, 0, 0, 4], [0, 1, 1, 0, 0, 10], [0, 0, 1, 0, 0, 16]]","[[0.0, 0.0, 0.2857142857142857, 0.0, 0.0, 0.7142857142857143], [0.0, 0.0, 0.06666666666666667, 0.0, 0.0, 0.9333333333333333], [0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.8888888888888888], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.08333333333333333, 0.08333333333333333, 0.0, 0.0, 0.8333333333333334], [0.0, 0.0, 0.058823529411764705, 0.0, 0.0, 0.9411764705882353]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BAC,Financial,GRU,multiclass,1,0.0886039886039886,0.125,0.0018635782180354,,,,0.24857256270790642,0.631578947368421,0.4897959183673469,0.8888888888888888,0.5625,1198,398,42,64,16,"[[1, 0, 0, 0, 2, 2], [7, 0, 0, 4, 4, 5], [4, 0, 0, 0, 1, 7], [1, 0, 0, 0, 2, 2], [2, 0, 0, 3, 2, 6], [0, 0, 0, 2, 2, 5]]","[[0.2, 0.0, 0.0, 0.0, 0.4, 0.4], [0.35, 0.0, 0.0, 0.2, 0.2, 0.25], [0.3333333333333333, 0.0, 0.0, 0.0, 0.08333333333333333, 0.5833333333333334], [0.2, 0.0, 0.0, 0.0, 0.4, 0.4], [0.15384615384615385, 0.0, 0.0, 0.23076923076923078, 0.15384615384615385, 0.46153846153846156], [0.0, 0.0, 0.0, 0.2222222222222222, 0.2222222222222222, 0.5555555555555556]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
