company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,multiclass,15,5,1,0.7235916334780017,0.7097137570381165,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,2,0.6210514687413546,0.7553661465644836,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,3,0.5674848212069602,0.8261078000068665,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,4,0.5060406671696572,0.9633809924125671,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,5,0.4368305678044132,1.2680548429489136,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,6,0.38435654903776084,1.4603465795516968,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,7,0.36481831256468694,2.298964738845825,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,8,0.337074467434955,2.003267765045166,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,9,0.3622766192534461,2.584754705429077,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,10,0.2865424115004851,2.721177339553833,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,11,0.2549886600156525,2.6482484340667725,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,12,0.2324929263573795,2.565685749053955,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,13,0.2172461598737156,2.607701063156128,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,14,0.20401567883377697,2.7426419258117676,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,15,0.19197794768828244,2.8814475536346436,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,16,0.18388497402620077,2.9649498462677,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,17,0.17708402261811884,3.1617860794067383,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,18,0.1672566406166733,3.2263505458831787,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,19,0.16164113798333174,3.2109322547912598,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,20,0.1561904319903659,3.2097785472869873,398,42,64
AAPL,Consumer Goods,GRU,multiclass,15,5,21,0.1514441017529473,3.26251220703125,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,5,1,0.8527727941771848,0.8384437561035156,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,5,2,0.7368035526131865,1.0138250589370728,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,5,3,0.6458647427846439,1.3072538375854492,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,5,4,0.5587417078976655,1.598643183708191,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,5,5,0.48105402732614294,2.333815336227417,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,5,6,0.4301850158889689,2.143638849258423,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,5,7,0.4813018792388427,3.002243757247925,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,5,8,0.4105470665735216,3.7069289684295654,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,5,9,0.36568604840255864,3.1852567195892334,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,5,10,0.31868787192220066,3.037635087966919,398,42,64
ABB,Industrial Goods,GRU,multiclass,15,5,11,0.2965292398204756,3.2848732471466064,398,42,64
