company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,LSTM,multiclass,5,0.06060606060606061,0.21875,0.0031665863934904337,,,,-0.12998877418150556,0.6382978723404256,0.47619047619047616,0.967741935483871,0.46875,1184,398,42,64,11,"[[0, 0, 0, 0, 0, 23], [0, 0, 0, 0, 0, 7], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 0, 5], [1, 0, 0, 0, 0, 11], [0, 0, 0, 0, 0, 14]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.08333333333333333, 0.0, 0.0, 0.0, 0.0, 0.9166666666666666], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
ABB,Industrial Goods,LSTM,multiclass,5,0.05627705627705628,0.203125,0.0008459623204544187,,,,0.0,0.5934065934065934,0.421875,1.0,0.421875,1184,398,42,64,11,"[[0, 0, 0, 0, 0, 16], [0, 0, 0, 0, 0, 17], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 0, 11], [0, 0, 0, 0, 0, 13]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
ABBV,Healthcare,LSTM,multiclass,5,0.1111111111111111,0.265625,0.0033045460004359484,,,,0.0,0.6086956521739131,0.4375,1.0,0.4375,1103,398,42,64,11,"[[0, 0, 0, 0, 9, 15], [0, 0, 0, 0, 2, 5], [0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 3, 8], [0, 0, 0, 0, 1, 14]]","[[0.0, 0.0, 0.0, 0.0, 0.375, 0.625], [0.0, 0.0, 0.0, 0.0, 0.2857142857142857, 0.7142857142857143], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5], [0.0, 0.0, 0.0, 0.0, 0.2727272727272727, 0.7272727272727273], [0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.9333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AEP,Utilities,LSTM,multiclass,5,0.1074074074074074,0.21875,-0.0015947306528687477,,,,0.07936507936507936,0.53125,0.6071428571428571,0.4722222222222222,0.53125,1184,398,42,64,14,"[[7, 0, 0, 0, 0, 2], [8, 0, 0, 0, 0, 5], [2, 0, 0, 0, 0, 4], [5, 0, 0, 0, 0, 4], [7, 0, 0, 0, 0, 6], [7, 0, 0, 0, 0, 7]]","[[0.7777777777777778, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222], [0.6153846153846154, 0.0, 0.0, 0.0, 0.0, 0.38461538461538464], [0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666], [0.5555555555555556, 0.0, 0.0, 0.0, 0.0, 0.4444444444444444], [0.5384615384615384, 0.0, 0.0, 0.0, 0.0, 0.46153846153846156], [0.5, 0.0, 0.0, 0.0, 0.0, 0.5]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AGFS,Conglomerates,LSTM,multiclass,5,0.12632383447974668,0.359375,0.02376493439078331,,,,0.23262445130349474,0.5714285714285714,0.4074074074074074,0.9565217391304348,0.484375,627,105,42,64,16,"[[6, 0, 0, 0, 0, 27], [3, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 17]]","[[0.18181818181818182, 0.0, 0.0, 0.0, 0.0, 0.8181818181818182], [0.42857142857142855, 0.0, 0.0, 0.0, 0.0, 0.5714285714285714], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.2, 0.0, 0.0, 0.0, 0.0, 0.8], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AMGN,Healthcare,LSTM,multiclass,5,0.057971014492753624,0.1875,-0.012821138836443424,,,,0.13078700560091738,0.19047619047619047,0.8,0.10810810810810811,0.46875,1184,398,42,64,15,"[[12, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0], [7, 0, 0, 0, 1, 0], [2, 0, 0, 0, 0, 0], [13, 0, 0, 0, 0, 0], [16, 2, 0, 0, 4, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.875, 0.0, 0.0, 0.0, 0.125, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.7272727272727273, 0.09090909090909091, 0.0, 0.0, 0.18181818181818182, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AMZN,Services,LSTM,multiclass,5,0.04861111111111111,0.109375,0.001744154840707779,,,,-0.031761346610716945,0.4927536231884058,0.6538461538461539,0.3953488372093023,0.453125,1184,398,42,64,11,"[[0, 3, 0, 6, 0, 0], [0, 7, 0, 3, 0, 0], [0, 2, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 5, 0, 9, 0, 0], [0, 19, 0, 8, 0, 0]]","[[0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0], [0.0, 0.7, 0.0, 0.3, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.35714285714285715, 0.0, 0.6428571428571429, 0.0, 0.0], [0.0, 0.7037037037037037, 0.0, 0.2962962962962963, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BA,Industrial Goods,LSTM,multiclass,5,0.1977000863238377,0.34375,-0.005780315026640892,,,,0.21057989315866538,0.5454545454545454,0.6,0.5,0.609375,1184,398,42,64,14,"[[8, 0, 0, 0, 1, 6], [12, 1, 0, 0, 1, 2], [3, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1], [8, 0, 0, 0, 1, 0], [6, 0, 0, 1, 0, 12]]","[[0.5333333333333333, 0.0, 0.0, 0.0, 0.06666666666666667, 0.4], [0.75, 0.0625, 0.0, 0.0, 0.0625, 0.125], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.0, 0.5], [0.8888888888888888, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0], [0.3157894736842105, 0.0, 0.0, 0.05263157894736842, 0.0, 0.631578947368421]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BABA,Services,LSTM,multiclass,5,0.02150537634408602,0.0625,0.0020446733105927706,,,,0.0,0.7692307692307693,0.625,1.0,0.625,671,149,42,64,11,"[[0, 0, 0, 16, 2, 0], [0, 0, 0, 4, 1, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 4, 0, 0], [0, 0, 0, 4, 0, 0], [0, 0, 0, 29, 3, 0]]","[[0.0, 0.0, 0.0, 0.8888888888888888, 0.1111111111111111, 0.0], [0.0, 0.0, 0.0, 0.8, 0.2, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.90625, 0.09375, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BAC,Financial,LSTM,multiclass,5,0.10235191637630663,0.234375,0.0011112686479464173,,,,0.0,0.7326732673267327,0.578125,1.0,0.578125,1184,398,42,64,11,"[[0, 0, 0, 0, 3, 11], [0, 0, 0, 0, 5, 5], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 3, 1], [0, 0, 0, 0, 6, 10], [0, 0, 0, 0, 8, 9]]","[[0.0, 0.0, 0.0, 0.0, 0.21428571428571427, 0.7857142857142857], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.75, 0.25], [0.0, 0.0, 0.0, 0.0, 0.375, 0.625], [0.0, 0.0, 0.0, 0.0, 0.47058823529411764, 0.5294117647058824]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
