company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiGRU,multiclass,1,0.10405323653962494,0.15625,0.007875841110944748,,,,0.10251423416428378,0.5866666666666667,0.46808510638297873,0.7857142857142857,0.515625,1203,398,42,64,14,"[[0, 1, 1, 0, 2, 3], [1, 5, 0, 0, 4, 9], [3, 0, 0, 0, 2, 5], [0, 1, 0, 0, 4, 3], [2, 3, 0, 0, 1, 9], [0, 0, 0, 0, 1, 4]]","[[0.0, 0.14285714285714285, 0.14285714285714285, 0.0, 0.2857142857142857, 0.42857142857142855], [0.05263157894736842, 0.2631578947368421, 0.0, 0.0, 0.21052631578947367, 0.47368421052631576], [0.3, 0.0, 0.0, 0.0, 0.2, 0.5], [0.0, 0.125, 0.0, 0.0, 0.5, 0.375], [0.13333333333333333, 0.2, 0.0, 0.0, 0.06666666666666667, 0.6], [0.0, 0.0, 0.0, 0.0, 0.2, 0.8]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6951722502708435, 0.4599565267562866, 0.493558794260025, 0.3759509325027466, 0.3759509325027466]"
ABB,Industrial Goods,BiGRU,multiclass,1,0.09500000000000001,0.171875,0.008554693311452866,,,,0.005662746571529173,0.6813186813186813,0.5636363636363636,0.8611111111111112,0.546875,1203,398,42,64,12,"[[0, 0, 0, 2, 1, 0], [1, 1, 0, 17, 0, 0], [0, 2, 0, 4, 0, 0], [1, 2, 0, 7, 2, 3], [0, 1, 1, 9, 3, 5], [0, 0, 0, 2, 0, 0]]","[[0.0, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0], [0.05263157894736842, 0.05263157894736842, 0.0, 0.8947368421052632, 0.0, 0.0], [0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0], [0.06666666666666667, 0.13333333333333333, 0.0, 0.4666666666666667, 0.13333333333333333, 0.2], [0.0, 0.05263157894736842, 0.05263157894736842, 0.47368421052631576, 0.15789473684210525, 0.2631578947368421], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6951722502708435, 0.6783711314201355, 0.6111666560173035, 0.6951722502708435, 0.5943655371665955]"
ABBV,Healthcare,BiGRU,multiclass,1,0.0981638418079096,0.1875,0.016487060114741325,,,,0.11030375355930092,0.6744186046511628,0.5576923076923077,0.8529411764705882,0.5625,1122,398,42,64,13,"[[0, 0, 3, 0, 0, 8], [0, 0, 2, 0, 1, 12], [0, 0, 2, 0, 0, 2], [0, 0, 1, 0, 1, 3], [0, 0, 4, 1, 0, 14], [0, 0, 0, 0, 0, 10]]","[[0.0, 0.0, 0.2727272727272727, 0.0, 0.0, 0.7272727272727273], [0.0, 0.0, 0.13333333333333333, 0.0, 0.06666666666666667, 0.8], [0.0, 0.0, 0.5, 0.0, 0.0, 0.5], [0.0, 0.0, 0.2, 0.0, 0.2, 0.6], [0.0, 0.0, 0.21052631578947367, 0.05263157894736842, 0.0, 0.7368421052631579], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.476757675409317, 0.4599565267562866, 0.6615700125694275, 0.5943655371665955, 0.6279677748680115]"
AEP,Utilities,BiGRU,multiclass,1,0.1268437893151852,0.15625,-0.005828783847391605,,,,0.12024651756097046,0.2608695652173913,0.75,0.15789473684210525,0.46875,1203,398,42,64,23,"[[2, 2, 0, 1, 0, 0], [5, 4, 1, 0, 0, 0], [2, 5, 3, 1, 0, 0], [4, 8, 2, 1, 0, 0], [4, 9, 2, 3, 0, 1], [1, 0, 2, 1, 0, 0]]","[[0.4, 0.4, 0.0, 0.2, 0.0, 0.0], [0.5, 0.4, 0.1, 0.0, 0.0, 0.0], [0.18181818181818182, 0.45454545454545453, 0.2727272727272727, 0.09090909090909091, 0.0, 0.0], [0.26666666666666666, 0.5333333333333333, 0.13333333333333333, 0.06666666666666667, 0.0, 0.0], [0.21052631578947367, 0.47368421052631576, 0.10526315789473684, 0.15789473684210525, 0.0, 0.05263157894736842], [0.25, 0.0, 0.5, 0.25, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5103598833084106, 0.5271610021591187, 0.5103598833084106, 0.6447688937187195, 0.6279677748680115]"
AGFS,Conglomerates,BiGRU,multiclass,1,0.056338028169014086,0.1875,0.03318541496992111,,,,0.0,0.5617977528089888,0.390625,1.0,0.390625,646,120,42,64,16,"[[0, 0, 0, 0, 0, 15], [0, 0, 0, 0, 3, 9], [0, 0, 0, 0, 1, 11], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 11], [0, 0, 0, 0, 0, 12]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.25, 0.75], [0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.9166666666666666], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3591498136520386, 0.6615700125694275, 0.493558794260025, 0.493558794260025, 0.6615700125694275]"
AMGN,Healthcare,BiGRU,multiclass,1,0.10997965929316043,0.21875,-0.006471963133662939,,,,0.17554514371740437,0.3111111111111111,0.7777777777777778,0.19444444444444445,0.515625,1203,398,42,64,12,"[[0, 4, 2, 0, 0, 0], [0, 11, 4, 0, 0, 1], [0, 4, 1, 0, 1, 0], [0, 7, 2, 0, 0, 0], [0, 11, 2, 0, 2, 2], [0, 4, 3, 0, 3, 0]]","[[0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0], [0.0, 0.6875, 0.25, 0.0, 0.0, 0.0625], [0.0, 0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0], [0.0, 0.7777777777777778, 0.2222222222222222, 0.0, 0.0, 0.0], [0.0, 0.6470588235294118, 0.11764705882352941, 0.0, 0.11764705882352941, 0.11764705882352941], [0.0, 0.4, 0.3, 0.0, 0.3, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3591498136520386, 0.6447688937187195, 0.3591498136520386, 0.4599565267562866, 0.476757675409317]"
AMZN,Services,BiGRU,multiclass,1,0.15238095238095237,0.203125,-0.01227901317179203,,,,-0.04052204492365539,0.2222222222222222,0.5,0.14285714285714285,0.453125,1203,398,42,64,44,"[[2, 1, 0, 1, 0, 0], [3, 5, 4, 3, 0, 0], [2, 1, 6, 1, 0, 0], [3, 0, 2, 0, 1, 0], [3, 10, 4, 0, 0, 0], [3, 3, 2, 4, 0, 0]]","[[0.5, 0.25, 0.0, 0.25, 0.0, 0.0], [0.2, 0.3333333333333333, 0.26666666666666666, 0.2, 0.0, 0.0], [0.2, 0.1, 0.6, 0.1, 0.0, 0.0], [0.5, 0.0, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0], [0.17647058823529413, 0.5882352941176471, 0.23529411764705882, 0.0, 0.0, 0.0], [0.25, 0.25, 0.16666666666666666, 0.3333333333333333, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3591498136520386, 0.3927520513534546, 0.3759509325027466, 0.4095531702041626, 0.476757675409317]"
BA,Industrial Goods,BiGRU,multiclass,1,0.10277636253983281,0.15625,-0.0077149588614702225,,,,0.16348734079150698,0.10810810810810811,1.0,0.05714285714285714,0.484375,1203,398,42,64,12,"[[2, 1, 1, 0, 0, 0], [8, 6, 0, 0, 0, 0], [6, 4, 1, 0, 0, 0], [4, 4, 2, 0, 0, 0], [5, 13, 1, 0, 1, 1], [2, 1, 1, 0, 0, 0]]","[[0.5, 0.25, 0.25, 0.0, 0.0, 0.0], [0.5714285714285714, 0.42857142857142855, 0.0, 0.0, 0.0, 0.0], [0.5454545454545454, 0.36363636363636365, 0.09090909090909091, 0.0, 0.0, 0.0], [0.4, 0.4, 0.2, 0.0, 0.0, 0.0], [0.23809523809523808, 0.6190476190476191, 0.047619047619047616, 0.0, 0.047619047619047616, 0.047619047619047616], [0.5, 0.25, 0.25, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5103598833084106, 0.6951722502708435, 0.6951722502708435, 0.6615700125694275, 0.476757675409317]"
BABA,Services,BiGRU,multiclass,1,0.05344129554655871,0.125,-0.002862490713596344,,,,0.16565042996291704,0.21052631578947367,0.8,0.12121212121212122,0.53125,690,164,42,64,13,"[[7, 0, 0, 0, 0, 0], [15, 0, 0, 0, 0, 0], [8, 0, 0, 1, 0, 0], [4, 0, 0, 0, 0, 0], [10, 1, 0, 0, 0, 1], [14, 0, 0, 2, 0, 1]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8888888888888888, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8333333333333334, 0.08333333333333333, 0.0, 0.0, 0.0, 0.08333333333333333], [0.8235294117647058, 0.0, 0.0, 0.11764705882352941, 0.0, 0.058823529411764705]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6951722502708435, 0.6111666560173035, 0.6447688937187195, 0.476757675409317, 0.5607632398605347]"
BAC,Financial,BiGRU,multiclass,1,0.09786324786324785,0.125,-0.002641572616994381,,,,0.05018131547624402,0.3333333333333333,0.4666666666666667,0.25925925925925924,0.5625,1203,398,42,64,12,"[[0, 0, 5, 0, 0, 0], [4, 2, 11, 1, 1, 1], [2, 1, 4, 0, 3, 2], [0, 1, 3, 0, 1, 0], [0, 1, 10, 1, 0, 1], [1, 1, 3, 0, 2, 2]]","[[0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.2, 0.1, 0.55, 0.05, 0.05, 0.05], [0.16666666666666666, 0.08333333333333333, 0.3333333333333333, 0.0, 0.25, 0.16666666666666666], [0.0, 0.2, 0.6, 0.0, 0.2, 0.0], [0.0, 0.07692307692307693, 0.7692307692307693, 0.07692307692307693, 0.0, 0.07692307692307693], [0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.0, 0.2222222222222222, 0.2222222222222222]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.4263542890548706, 0.3927520513534546, 0.6783711314201355, 0.5271610021591187, 0.493558794260025]"
