company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiLSTM,multiclass,1,0.09344729344729345,0.203125,0.0017117568058893085,,,,0.0,0.6086956521739131,0.4375,1.0,0.4375,1188,398,42,64,16,"[[0, 0, 0, 1, 6, 0], [0, 0, 0, 2, 15, 2], [0, 0, 0, 1, 9, 0], [0, 0, 0, 2, 5, 1], [0, 0, 0, 3, 11, 1], [0, 0, 0, 1, 4, 0]]","[[0.0, 0.0, 0.0, 0.14285714285714285, 0.8571428571428571, 0.0], [0.0, 0.0, 0.0, 0.10526315789473684, 0.7894736842105263, 0.10526315789473684], [0.0, 0.0, 0.0, 0.1, 0.9, 0.0], [0.0, 0.0, 0.0, 0.25, 0.625, 0.125], [0.0, 0.0, 0.0, 0.2, 0.7333333333333333, 0.06666666666666667], [0.0, 0.0, 0.0, 0.2, 0.8, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5589921474456787, 0.300470769405365, 0.300470769405365, 0.300470769405365, 0.4969470202922821]"
ABB,Industrial Goods,BiLSTM,multiclass,1,0.0957070707070707,0.140625,0.0002608132781460881,,,,0.25673599474580255,0.24390243902439024,1.0,0.1388888888888889,0.515625,1188,398,42,64,16,"[[3, 0, 0, 0, 0, 0], [12, 4, 3, 0, 0, 0], [6, 0, 0, 0, 0, 0], [8, 3, 3, 0, 1, 0], [7, 6, 2, 2, 2, 0], [1, 1, 0, 0, 0, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.631578947368421, 0.21052631578947367, 0.15789473684210525, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.5333333333333333, 0.2, 0.2, 0.0, 0.06666666666666667, 0.0], [0.3684210526315789, 0.3157894736842105, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.0], [0.5, 0.5, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.569333016872406, 0.5796738862991333, 0.569333016872406, 0.5279695987701416, 0.4969470202922821]"
ABBV,Healthcare,BiLSTM,multiclass,1,0.1059640522875817,0.171875,0.0009269571746699512,,,,0.1341246360271594,0.7010309278350515,0.5396825396825397,1.0,0.546875,1107,398,42,64,16,"[[0, 0, 1, 7, 3, 0], [0, 0, 0, 13, 2, 0], [0, 0, 0, 3, 1, 0], [0, 0, 0, 5, 0, 0], [0, 0, 0, 10, 5, 4], [0, 0, 0, 5, 4, 1]]","[[0.0, 0.0, 0.09090909090909091, 0.6363636363636364, 0.2727272727272727, 0.0], [0.0, 0.0, 0.0, 0.8666666666666667, 0.13333333333333333, 0.0], [0.0, 0.0, 0.0, 0.75, 0.25, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.5263157894736842, 0.2631578947368421, 0.21052631578947367], [0.0, 0.0, 0.0, 0.5, 0.4, 0.1]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6106964349746704, 0.507287859916687, 0.4969470202922821, 0.5796738862991333, 0.4762653112411499]"
AEP,Utilities,BiLSTM,multiclass,1,0.15823278029160384,0.234375,-0.002367577515542507,,,,0.14060420405767388,0.5396825396825397,0.68,0.4473684210526316,0.546875,1188,398,42,64,17,"[[0, 3, 1, 1, 0, 0], [0, 3, 5, 1, 1, 0], [0, 2, 4, 2, 3, 0], [0, 4, 8, 1, 2, 0], [0, 4, 5, 3, 7, 0], [0, 0, 0, 1, 3, 0]]","[[0.0, 0.6, 0.2, 0.2, 0.0, 0.0], [0.0, 0.3, 0.5, 0.1, 0.1, 0.0], [0.0, 0.18181818181818182, 0.36363636363636365, 0.18181818181818182, 0.2727272727272727, 0.0], [0.0, 0.26666666666666666, 0.5333333333333333, 0.06666666666666667, 0.13333333333333333, 0.0], [0.0, 0.21052631578947367, 0.2631578947368421, 0.15789473684210525, 0.3684210526315789, 0.0], [0.0, 0.0, 0.0, 0.25, 0.75, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6106964349746704, 0.4452427327632904, 0.507287859916687, 0.507287859916687, 0.507287859916687]"
AGFS,Conglomerates,BiLSTM,multiclass,1,0.05333333333333334,0.1875,0.02115597203373909,,,,0.0,0.5617977528089888,0.390625,1.0,0.390625,631,105,42,64,18,"[[0, 0, 0, 0, 1, 14], [0, 0, 0, 0, 0, 12], [0, 0, 0, 0, 0, 12], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 11], [0, 0, 0, 0, 0, 12]]","[[0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.9333333333333333], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5900146961212158, 0.5176287293434143, 0.5279695987701416, 0.5900146961212158, 0.4969470202922821]"
AMGN,Healthcare,BiLSTM,multiclass,1,0.08038914490527393,0.203125,-0.005079260095953941,,,,0.11927667558259851,0.30434782608695654,0.7,0.19444444444444445,0.5,1188,398,42,64,19,"[[0, 5, 1, 0, 0, 0], [2, 12, 0, 0, 1, 1], [1, 4, 0, 1, 0, 0], [1, 7, 1, 0, 0, 0], [0, 13, 0, 0, 1, 3], [0, 5, 2, 1, 2, 0]]","[[0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0], [0.125, 0.75, 0.0, 0.0, 0.0625, 0.0625], [0.16666666666666666, 0.6666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0], [0.1111111111111111, 0.7777777777777778, 0.1111111111111111, 0.0, 0.0, 0.0], [0.0, 0.7647058823529411, 0.0, 0.0, 0.058823529411764705, 0.17647058823529413], [0.0, 0.5, 0.2, 0.1, 0.2, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6106964349746704, 0.300470769405365, 0.507287859916687, 0.5279695987701416, 0.507287859916687]"
AMZN,Services,BiLSTM,multiclass,1,0.11863711001642036,0.15625,-0.0028663817793130875,,,,0.019772733298509516,0.5633802816901409,0.5555555555555556,0.5714285714285714,0.515625,1188,398,42,64,16,"[[1, 1, 0, 1, 1, 0], [3, 6, 0, 3, 3, 0], [0, 2, 0, 5, 3, 0], [2, 1, 0, 2, 1, 0], [2, 6, 0, 8, 1, 0], [0, 4, 0, 5, 3, 0]]","[[0.25, 0.25, 0.0, 0.25, 0.25, 0.0], [0.2, 0.4, 0.0, 0.2, 0.2, 0.0], [0.0, 0.2, 0.0, 0.5, 0.3, 0.0], [0.3333333333333333, 0.16666666666666666, 0.0, 0.3333333333333333, 0.16666666666666666, 0.0], [0.11764705882352941, 0.35294117647058826, 0.0, 0.47058823529411764, 0.058823529411764705, 0.0], [0.0, 0.3333333333333333, 0.0, 0.4166666666666667, 0.25, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.569333016872406, 0.5589921474456787, 0.569333016872406, 0.5796738862991333, 0.300470769405365]"
BA,Industrial Goods,BiLSTM,multiclass,1,0.11010101010101009,0.25,-0.00034913921263068914,,,,0.20186484220860829,0.15789473684210525,1.0,0.08571428571428572,0.5,1188,398,42,64,16,"[[0, 4, 0, 0, 0, 0], [0, 13, 1, 0, 0, 0], [0, 10, 1, 0, 0, 0], [0, 7, 2, 0, 1, 0], [0, 14, 5, 0, 2, 0], [0, 4, 0, 0, 0, 0]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.9285714285714286, 0.07142857142857142, 0.0, 0.0, 0.0], [0.0, 0.9090909090909091, 0.09090909090909091, 0.0, 0.0, 0.0], [0.0, 0.7, 0.2, 0.0, 0.1, 0.0], [0.0, 0.6666666666666666, 0.23809523809523808, 0.0, 0.09523809523809523, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6106964349746704, 0.6003555655479431, 0.300470769405365, 0.569333016872406, 0.4866061508655548]"
BABA,Services,BiLSTM,multiclass,1,0.036458333333333336,0.109375,0.0024745382834225893,,,,0.17407765595569782,0.11428571428571428,1.0,0.06060606060606061,0.515625,675,149,42,64,17,"[[7, 0, 0, 0, 0, 0], [15, 0, 0, 0, 0, 0], [8, 1, 0, 0, 0, 0], [3, 1, 0, 0, 0, 0], [11, 0, 0, 0, 0, 1], [13, 1, 2, 0, 1, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8888888888888888, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0], [0.75, 0.25, 0.0, 0.0, 0.0, 0.0], [0.9166666666666666, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333], [0.7647058823529411, 0.058823529411764705, 0.11764705882352941, 0.0, 0.058823529411764705, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6106964349746704, 0.6003555655479431, 0.5900146961212158, 0.5589921474456787, 0.5796738862991333]"
BAC,Financial,BiLSTM,multiclass,1,0.1473721340388007,0.28125,0.0006941038882359862,,,,0.059322539724914275,0.36363636363636365,0.47058823529411764,0.2962962962962963,0.5625,1188,398,42,64,16,"[[0, 3, 2, 0, 0, 0], [0, 14, 3, 0, 1, 2], [0, 5, 1, 0, 1, 5], [0, 2, 0, 0, 2, 1], [0, 6, 5, 1, 0, 1], [0, 4, 2, 0, 0, 3]]","[[0.0, 0.6, 0.4, 0.0, 0.0, 0.0], [0.0, 0.7, 0.15, 0.0, 0.05, 0.1], [0.0, 0.4166666666666667, 0.08333333333333333, 0.0, 0.08333333333333333, 0.4166666666666667], [0.0, 0.4, 0.0, 0.0, 0.4, 0.2], [0.0, 0.46153846153846156, 0.38461538461538464, 0.07692307692307693, 0.0, 0.07692307692307693], [0.0, 0.4444444444444444, 0.2222222222222222, 0.0, 0.0, 0.3333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6106964349746704, 0.4142201840877533, 0.6003555655479431, 0.5900146961212158, 0.5176287293434143]"
