company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,multiclass,10,1,1,0.8150137345395495,0.9942658373287746,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,2,0.7555400618356676,1.1579545367331732,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,3,0.7240429939936154,1.5142837450617836,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,4,0.6846417200625242,1.5841782972926186,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,5,0.6626451455768029,1.4851898068473453,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,6,0.6596179325975965,1.5552789597284227,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,7,0.6330680658469847,1.3714399962198167,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,8,0.6355456673919256,1.5292119979858398,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,9,0.6317151043582802,2.0264028906822205,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,10,0.5806141594546524,1.5246111410004752,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,11,0.5901906295637389,1.6837683149746485,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,12,0.5516793609564029,1.5241906018484206,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,13,0.5433534997791502,1.878879847980681,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,14,0.5324270466164728,1.8671232916059948,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,15,0.5310677399287871,1.7730740791275388,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,1,16,0.5007772596936729,2.122899827503023,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,1,0.8983787669608342,0.8742183106286185,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,2,0.8063662103073082,1.1457296382813227,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,3,0.7531786216563315,1.7789284274691628,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,4,0.7481158714198587,1.9461041632152738,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,5,0.73111107870562,1.8245265597388858,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,6,0.6945157314664755,2.44454102289109,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,7,0.6983780043209018,2.081387315477644,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,8,0.6271622240842887,2.9174805595761253,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,9,0.6166793662099982,2.3404578935532343,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,10,0.6349192573197523,3.3293260846819197,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,11,0.600036325915974,2.3650715351104736,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,1,12,0.5806277238543908,3.109497865041097,398,42,64
